REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE - SANTO AGOSTINHO
CODIGO (WMO):;A572
LATITUDE:;-19,93388888
LONGITUDE:;-43,95222222
ALTITUDE:;915,47
DATA DE FUNDACAO:;28/08/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;912,6;912,6;911,5;0;27,4;19,1;28,5;27,4;19,7;18,8;61;57;61;184;4,5;,4;
2026/01/01;0100 UTC;0;913,1;913,1;912,6;0;26,9;19,2;27,4;26,7;19,5;19,1;64;61;63;271;2,7;1,2;
2026/01/01;0200 UTC;0;913,4;913,4;913;0;26,7;19,7;27,3;26,6;19,7;18,5;65;59;65;127;3,5;1;
2026/01/01;0300 UTC;0;912,6;913,4;912,6;0;24,8;20,6;26,7;24,7;21;19,4;79;65;78;84;3;1,3;
2026/01/01;0400 UTC;0;912,1;912,6;912,1;0;23,6;19,4;24,8;23,6;20,7;18,7;78;71;77;9;4,1;,3;
2026/01/01;0500 UTC;0;911,6;912,4;911,6;0;23,3;19,2;24,2;23,3;20;19,1;80;76;78;8;6,6;,3;
2026/01/01;0600 UTC;0;911,2;911,7;911,2;0;22,7;19,4;23,3;22,7;19,9;19,1;83;77;81;305;1,7;,5;
2026/01/01;0700 UTC;0;911,1;911,2;911;0;23,9;18,8;23,9;22,5;19,9;18,4;85;72;74;94;1,7;,5;
2026/01/01;0800 UTC;0;911,2;911,2;911,1;0;23,5;19,2;24,1;23,5;19,2;18,4;77;70;77;94;1,7;,1;
2026/01/01;0900 UTC;0;911,8;911,8;911,2;78,5;24,1;19,3;24,1;23,2;19,5;19,1;78;75;75;91;1;,2;
2026/01/01;1000 UTC;0;912,2;912,2;911,8;729,2;25,6;19,7;26,4;24,1;20;19,2;75;66;70;102;1,7;,9;
2026/01/01;1100 UTC;0;912,3;912,4;912,2;1611,6;26,9;19,6;27;25,4;20,1;19;72;62;64;154;2,7;1,1;
2026/01/01;1200 UTC;0;912,4;912,5;912,3;2169,5;27,8;19,6;28,4;26,8;20,4;19,2;66;59;61;140;3,9;1,3;
2026/01/01;1300 UTC;0;912,4;912,5;912,4;2584,3;27,9;19,4;28,9;27;20,3;19,2;65;58;60;98;5,4;2,3;
2026/01/01;1400 UTC;0;911,9;912,4;911,9;2400;29,3;19;29,9;27,6;20,5;18,9;62;53;54;116;5,2;2,1;
2026/01/01;1500 UTC;0;911,1;911,9;911,1;3317,3;31,6;19,3;31,6;29,2;20,1;16,9;57;44;48;110;6,2;2,4;
2026/01/01;1600 UTC;0;910;911,1;910;4063,3;32,4;17,6;32,9;31;19,4;16;50;38;41;98;6,3;2,2;
2026/01/01;1700 UTC;0;908,8;910;908,8;3535,7;32,3;17,3;32,7;31,5;18,7;16,8;46;39;41;117;6,7;2,7;
2026/01/01;1800 UTC;0;908,1;908,9;908,1;3169,1;32,6;17,5;33;31,1;19,2;17,2;46;40;41;115;6,2;2,7;
2026/01/01;1900 UTC;0;907,5;908,1;907,5;2589,2;33;17;33,2;31,7;18,1;16,6;43;38;38;87;6,9;2,5;
2026/01/01;2000 UTC;0;907,2;907,6;907,2;1127,6;31,3;17,9;33,1;31,3;19,1;17,1;46;39;45;78;7,8;1,8;
2026/01/01;2100 UTC;0;909,1;909,9;907,2;122,6;23,6;18,3;31,3;23,2;19;18;76;45;72;46;15,4;3,2;
2026/01/01;2200 UTC;0;910,2;910,4;908,7;29,4;24,3;17,7;25;23;18,6;17,6;76;64;67;11;8,4;1,3;
2026/01/01;2300 UTC;0;910,2;910,3;910;0;23,4;18,2;24,5;23,3;18,9;17,7;77;67;72;326;3,4;0;
2026/01/02;0000 UTC;,2;910,1;910,3;909,8;0;24,1;18,8;24,3;23;19,1;18,2;78;71;73;226;3,5;,9;
2026/01/02;0100 UTC;0;910,8;910,9;910,1;0;23,3;18,9;24,2;23,1;19,1;18,6;78;71;76;231;4;1,6;
2026/01/02;0200 UTC;0;910,6;910,9;910,6;0;23,7;18,7;23,7;23,2;18,9;18,5;77;73;73;4;3,1;,1;
2026/01/02;0300 UTC;0;910;910,7;910;0;24;19,4;24,1;23,6;19,5;18,7;76;73;76;108;2,2;,9;
2026/01/02;0400 UTC;0;909,3;910;909,3;0;23,9;19,7;24,1;23,8;19,9;19,4;79;75;77;102;2,2;,9;
2026/01/02;0500 UTC;0;908,9;909,3;908,9;0;23,4;20,1;24;23,4;20,1;19,6;82;77;82;158;2,3;,9;
2026/01/02;0600 UTC;0;908,4;909;908,4;0;22,9;19,9;23,4;22,6;20,1;19,9;85;82;83;152;2,2;,8;
2026/01/02;0700 UTC;0;908,6;908,6;908,2;0;22,5;19,8;22,9;22,5;19,9;19,6;85;83;85;138;1,8;,8;
2026/01/02;0800 UTC;0;908,9;908,9;908,6;0;22,6;19,8;22,7;22,3;19,9;19,7;86;84;84;70;1,9;,2;
2026/01/02;0900 UTC;0;909,4;909,4;908,9;67,5;23;19,3;23;22,3;19,9;19,3;86;80;80;39;2,2;,9;
2026/01/02;1000 UTC;0;909,8;909,9;909,4;669;24,5;19,1;24,5;23;19,7;18,5;80;71;72;95;2,7;1,2;
2026/01/02;1100 UTC;0;910,3;910,3;909,8;1363,3;25,6;18,1;25,6;24,1;19,4;18;74;63;64;83;6;1,4;
2026/01/02;1200 UTC;0;910,4;910,4;910,2;1968,4;25,8;18,7;26;25,3;19,2;18;67;63;65;42;6,2;2,5;
2026/01/02;1300 UTC;0;910,2;910,4;910,1;2501,4;26,5;18,7;27,2;25,5;19,8;17,9;68;59;63;92;6,2;1,9;
