REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE - CERCADINHO
CODIGO (WMO):;F501
LATITUDE:;-19,97999999
LONGITUDE:;-43,95861111
ALTITUDE:;1199,55
DATA DE FUNDACAO:;27/12/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;882,2;882,2;881,2;0;23,8;17,4;25,6;23,8;17,4;15,3;67;53;67;43;6;2,9;
2026/01/01;0100 UTC;0;882,5;882,6;882,2;0;23,1;17,4;24,2;23,1;17,5;17,1;71;65;71;43;5,4;2,6;
2026/01/01;0200 UTC;0;882,8;882,8;882,5;0;23,5;17,3;23,7;22,9;17,6;17,1;72;67;68;331;4;1,8;
2026/01/01;0300 UTC;0;882;882,8;882;0;22,1;18,3;23,5;22,1;18,6;17,3;79;68;79;318;4;1,7;
2026/01/01;0400 UTC;0;881,3;882;881,3;0;21,2;18,2;22,1;20,7;18,6;18,1;87;79;83;247;5,7;2,8;
2026/01/01;0500 UTC;0;880,8;881,5;880,8;0;20,5;18;21,3;20,2;18,1;17,6;86;80;86;287;8,1;2,4;
2026/01/01;0600 UTC;0;880,6;880,9;880,6;0;21,5;13,5;21,5;20,2;18;13,4;85;60;60;293;5,4;1,2;
2026/01/01;0700 UTC;0;880,4;880,6;880,3;2,6;21,1;13,4;22,5;21,1;13,8;12,2;63;53;62;31;3,1;1,6;
2026/01/01;0800 UTC;0;880,5;880,6;880,4;,3;21,4;15,5;21,9;20,8;15,6;13,4;71;59;69;83;3;1,5;
2026/01/01;0900 UTC;0;881,1;881,1;880,5;65,4;21,9;17,7;21,9;20,7;17,7;15,4;80;69;77;15;3,6;2,3;
2026/01/01;1000 UTC;0;881,6;881,6;881,1;746;23,6;16,9;23,9;21,9;17,7;16,8;77;65;66;349;3,6;1,5;
2026/01/01;1100 UTC;0;881,7;881,7;881,5;1635,8;25,2;18,7;25,2;23,3;18,7;16,6;69;64;67;348;4,6;2,2;
2026/01/01;1200 UTC;0;881,9;881,9;881,7;2354,8;26,4;18,1;26,6;24,4;19,2;17,1;68;58;60;315;4,8;2,4;
2026/01/01;1300 UTC;0;881,9;882;881,9;2228,3;27,5;19,3;27,5;25,5;19,5;17,4;65;57;61;322;5,6;2,3;
2026/01/01;1400 UTC;0;881,4;881,9;881,4;2350,3;28,6;17,9;28,6;25,9;19,2;16,9;62;51;52;316;8,2;2,9;
2026/01/01;1500 UTC;0;880,7;881,4;880,7;3266,4;27,7;15,8;29,8;27,7;18;15,5;54;44;48;311;7,8;3,7;
2026/01/01;1600 UTC;0;879,8;880,7;879,8;3871,7;30,9;15,6;31,1;27,6;18,2;14,3;52;37;40;304;8,5;4,4;
2026/01/01;1700 UTC;0;878,8;879,8;878,8;1598,2;28,6;16;31,2;27,8;18,6;14,9;53;38;47;308;8,7;2,7;
2026/01/01;1800 UTC;0;878,1;878,8;878,1;1932,7;30;15,9;30,8;27,9;18,5;15,6;50;42;43;313;8;2,8;
2026/01/01;1900 UTC;0;877,5;878,1;877,5;1268,5;28;15,4;30,8;28;17,7;15,3;50;41;47;288;8,8;5,3;
2026/01/01;2000 UTC;0;877,2;877,5;877,1;1551,1;26,8;16,3;29,9;26,8;17,2;15,5;53;44;52;259;9,2;4,6;
2026/01/01;2100 UTC;0;878,3;879,1;877,2;100,2;18,8;16,8;26,8;18,5;16,8;14,5;89;52;88;234;28;10,2;
2026/01/01;2200 UTC;0;879,4;879,6;877,8;28,8;20,8;16,2;21,7;18,8;17,2;15,8;88;70;75;278;15,8;5,5;
2026/01/01;2300 UTC;0;879,4;879,6;879,3;0;20,6;16,1;21,1;20,4;16,4;16;77;73;75;101;7,8;1,1;
2026/01/02;0000 UTC;0;879,3;879,5;879,1;0;20,3;16,6;20,6;19,9;17;16,1;83;75;80;132;4,1;2;
2026/01/02;0100 UTC;0;880,1;880,1;879,3;0;20,3;17,2;20,7;20,1;17,2;16,3;82;76;82;39;4;1,7;
2026/01/02;0200 UTC;0;879,9;880,2;879,8;0;20,5;16,4;20,9;20,2;17,5;16,1;83;74;77;158;3,5;2,6;
2026/01/02;0300 UTC;0;879,4;879,9;879,4;0;20,8;16,4;21,8;20,5;16,8;14,8;78;64;76;296;3,5;1,7;
2026/01/02;0400 UTC;0;878,6;879,4;878,6;0;21,2;15,4;21,9;20,8;16,5;13,9;76;61;70;317;2,5;1,4;
2026/01/02;0500 UTC;0;878,2;878,6;878,2;0;20,8;17,1;21,6;20,7;17,1;14,9;80;66;80;319;2,3;1,8;
2026/01/02;0600 UTC;0;877,6;878,2;877,6;0;19,9;17,6;20,8;19,9;17,9;17;87;80;87;7;3,1;1,3;
2026/01/02;0700 UTC;0;877,8;877,8;877,5;0;19,7;18,1;20,1;19,7;18,1;17,5;90;87;90;310;2,8;2;
2026/01/02;0800 UTC;0;878;878,1;877,8;0;19,6;18,2;19,7;19,5;18,2;18;92;90;92;291;4;2,5;
2026/01/02;0900 UTC;0;878,6;878,6;878;65,3;20;18,4;20;19,2;18,4;17,8;92;91;91;290;3,9;2,7;
2026/01/02;1000 UTC;0;879,1;879,1;878,6;560,3;21,5;17,5;21,5;20;18,5;17;91;77;78;300;4,1;2,6;
2026/01/02;1100 UTC;0;879,5;879,5;879,1;1306,2;22,2;17,2;22,2;21,4;17,6;16,6;78;73;74;300;7,4;3,9;
2026/01/02;1200 UTC;0;879,6;879,6;879,5;1869,7;22,7;16,6;23,3;21,9;17,7;16,6;74;69;69;293;8,3;3,7;
2026/01/02;1300 UTC;0;879,4;879,6;879,4;2500;24;18,2;24,6;22,4;18,5;16,5;73;66;70;284;7,5;4;
2026/01/02;1400 UTC;0;878,9;879,5;878,9;2626,9;25,9;17,2;26,9;23,3;18,6;17,2;71;58;59;309;7,1;3,2;
2026/01/02;1500 UTC;0;878,4;879;878,4;2396,9;26,4;17,5;28,5;25,5;20;16,9;64;54;58;332;7,1;2,7;
2026/01/02;1600 UTC;0;877,5;878,4;877,4;2957;29,6;17,4;29,7;25,8;19,2;16,7;61;48;48;309;8,8;3,7;
2026/01/02;1700 UTC;0;876,3;877,4;876,3;2543,3;27,7;16,3;30;26,9;18,3;15,8;56;46;50;356;10,4;2,6;
2026/01/02;1800 UTC;0;875,7;876,3;875,7;2490,8;28,8;16,7;30;27;18,6;16,5;56;47;48;335;8;3,6;
2026/01/02;1900 UTC;0;874,9;875,7;874,9;438,9;25,3;16,4;28,8;25,3;16,9;16,3;59;48;58;305;8,4;3,7;
2026/01/02;2000 UTC;0;875,1;875,2;874,7;218,8;24,7;17,6;25,3;24,4;17,7;16,4;66;58;65;266;6,9;2,8;
2026/01/02;2100 UTC;0;875,5;875,9;875,1;113,9;20,1;18,4;24,7;19,2;18,5;16,1;91;65;90;296;13,3;3,1;
2026/01/02;2200 UTC;0;876;876;875,2;23,6;22,5;16,3;22,6;20,1;18,6;16,3;90;68;68;259;8,7;6,8;
2026/01/02;2300 UTC;0;876,4;876,5;876;1,7;21,1;17,1;22,7;21,1;17,1;16;78;66;78;249;10,1;6,5;
2026/01/03;0000 UTC;0;877;877;876,3;0;22,7;16,5;22,7;21,1;17,2;16,4;78;68;68;248;10,1;7,2;
2026/01/03;0100 UTC;0;877,6;877,6;877;0;21,5;17,1;22,6;21,5;17,1;16,3;76;68;76;267;9,2;5,3;
2026/01/03;0200 UTC;0;877,2;877,6;877,1;0;21,5;16,8;22,4;21,1;17,3;16,5;79;70;75;257;7,7;4,5;
2026/01/03;0300 UTC;0;877,1;877,2;876,8;0;20,3;18;21,5;20,3;18;16,8;86;75;86;286;7;4,4;
2026/01/03;0400 UTC;0;876,6;877,2;876,6;0;19,9;17,9;20,3;19,9;18,1;17,9;88;86;88;235;6,1;1,7;
2026/01/03;0500 UTC;0;876,2;876,8;876,2;0;19,8;18,2;20,4;19,8;18,3;17,9;91;87;91;284;3,9;3,2;
2026/01/03;0600 UTC;0;876;876,2;875,9;0;19,6;18,2;19,9;19,6;18,3;18,2;92;91;92;282;6,2;3,3;
2026/01/03;0700 UTC;0;876,8;876,8;875,9;0;19,8;18,4;19,8;19,5;18,4;18,1;92;92;92;317;5,4;1,5;
2026/01/03;0800 UTC;0;877,4;877,4;876,8;,1;19,5;18,2;19,9;19,4;18,5;18,1;92;92;92;327;7,3;1,9;
2026/01/03;0900 UTC;0;877,3;877,4;877,2;6;19,3;18;19,5;19,2;18,1;17,9;92;92;92;332;6,4;1,7;
2026/01/03;1000 UTC;0;877,6;877,6;877,1;136;19,7;18,4;19,7;19,3;18,4;18;92;92;92;322;5,2;1,7;
2026/01/03;1100 UTC;0;878,3;878,3;877,6;226,3;19,9;18,4;20;19,7;18,7;18,4;92;91;91;339;5,7;2,7;
2026/01/03;1200 UTC;0;878,6;878,6;878,3;434,4;21,7;19;21,8;19,7;19,2;18,1;91;85;85;25;6;1,5;
2026/01/03;1300 UTC;0;878,6;878,8;878,6;1334,8;24;19,2;24;21;20;18;84;73;75;349;5,6;2,2;
2026/01/03;1400 UTC;0;878,3;878,7;878,3;2049,8;24,4;17,7;25,3;23,4;19,7;17,4;75;66;66;329;6,7;3;
2026/01/03;1500 UTC;0;877,8;878,3;877,8;1854,8;24,3;17,7;26,4;23,6;19,5;17,3;71;62;67;348;6,6;2,9;
2026/01/03;1600 UTC;0;877,2;877,8;877,2;2205,1;27,1;17,9;27,2;24,3;19,7;16,8;70;56;57;312;8,8;3,1;
2026/01/03;1700 UTC;0;876,9;877,2;876,7;553,9;20,9;18,1;27,1;20,8;18,7;16,9;87;55;84;293;12,3;4,1;
2026/01/03;1800 UTC;0;876,9;877;876,6;1423,5;22;19;23;20,9;20,1;18,1;85;82;83;274;8;3,8;
2026/01/03;1900 UTC;0;876,1;876,9;876;709,6;22,2;19;22,3;21,6;19;18,3;84;79;82;292;6,4;1,3;
2026/01/03;2000 UTC;0;875,8;876,1;875,7;771,1;22,9;19,1;22,9;21,5;19,3;18,3;84;79;79;209;4,9;1,6;
2026/01/03;2100 UTC;0;876,4;876,5;875,8;325,7;22,1;17;23;22;18,9;17;80;71;73;249;5,1;3,8;
2026/01/03;2200 UTC;0;877,1;877,1;876,4;28;20,9;18,9;22,2;20,9;18,9;17,1;89;73;89;34;5,5;1,7;
2026/01/03;2300 UTC;0;878;878,1;877,1;,1;19,2;17,8;20,9;19,2;18,9;17,7;92;88;92;283;10,4;4,6;
2026/01/04;0000 UTC;0;879;879;878;,7;18,9;17,7;19,3;18,1;18;16,8;92;92;92;237;10,4;5;
2026/01/04;0100 UTC;0;879,4;879,4;879;0;18,5;17,2;19;18,4;17,8;17,2;93;92;93;353;6,6;1,6;
2026/01/04;0200 UTC;0;879,2;879,4;879,2;0;18,4;17,2;18,6;18,2;17,3;16,9;93;92;93;344;4,4;2,7;
2026/01/04;0300 UTC;0;878,3;879,2;878,3;0;18,9;17,7;18,9;18,4;17,7;17,2;93;93;93;337;6,4;3,4;
2026/01/04;0400 UTC;0;878,1;878,3;878,1;0;18,7;17,5;19;18,7;17,8;17,5;93;93;93;331;7,5;3,7;
2026/01/04;0500 UTC;0;877,6;878,1;877,6;0;18,7;17,5;18,8;18,7;17,6;17,5;93;93;93;326;6,6;2,4;
2026/01/04;0600 UTC;0;877,5;877,6;877,5;0;18,8;17,6;18,9;18,7;17,6;17,4;93;93;93;324;5,1;2,8;
2026/01/04;0700 UTC;0;877,1;877,5;877,1;0;19;17,7;19;18,8;17,7;17,6;93;93;93;331;5,5;2,6;
2026/01/04;0800 UTC;0;877,2;877,2;877;0;19,1;17,8;19,1;19;17,9;17,8;93;93;93;330;5,5;2,5;
2026/01/04;0900 UTC;0;877,6;877,6;877,2;8,7;19,1;17,9;19,2;18,9;17,9;17,7;93;93;93;331;8,1;3,9;
2026/01/04;1000 UTC;0;878,1;878,1;877,6;66,9;18,6;17,4;19,2;18,6;18;17,4;93;93;93;341;11,2;6;
2026/01/04;1100 UTC;0;878,9;878,9;878,1;55;18,6;17,4;18,6;18,4;17,4;17,2;93;93;93;335;11,4;3,7;
2026/01/04;1200 UTC;0;879,5;879,5;878,9;157,3;18,7;17,5;18,8;18,5;17,6;17,3;93;93;93;359;6,6;2,3;
2026/01/04;1300 UTC;0;879,6;879,7;879,5;138,9;18,7;17,5;18,8;18,5;17,6;17,4;93;93;93;10;6,5;3;
2026/01/04;1400 UTC;0;879,8;880;879,5;103,5;18,7;17,5;18,8;18,6;17,6;17,4;93;93;93;345;9,3;3,6;
2026/01/04;1500 UTC;0;879,4;879,8;879,3;71,1;18,5;17,3;18,8;18,5;17,6;17,3;93;93;93;336;11,8;4,7;
2026/01/04;1600 UTC;0;879,7;879,8;879,4;110,5;18,3;17,2;18,6;18,3;17,4;17,1;93;93;93;322;13;4,5;
2026/01/04;1700 UTC;0;879,4;879,7;879,4;201,8;18,3;17,1;18,5;18,1;17,3;16,9;93;93;93;313;11,4;3,7;
2026/01/04;1800 UTC;0;878,9;879,5;878,9;740,2;18,9;17,8;18,9;18;17,8;16,8;93;93;93;299;8,2;5;
2026/01/04;1900 UTC;0;879;879;878,9;1189,5;19,7;18,5;20,1;19;18,9;17,8;93;93;93;304;7,7;3;
2026/01/04;2000 UTC;0;878,2;879;878,2;527,8;19,4;18,2;19,7;19,4;18,5;18,2;93;93;93;312;6,7;2,2;
2026/01/04;2100 UTC;0;878,4;878,4;878,1;160,1;19,3;18;19,6;19,3;18,3;18;93;92;92;226;4,6;,7;
2026/01/04;2200 UTC;0;879,2;879,2;878,4;25,6;19,9;15,8;19,9;19,2;18,1;15,8;92;77;77;226;3;1,9;
2026/01/04;2300 UTC;0;879,9;879,9;879,2;0;20;15,8;20,1;19,5;15,8;15,5;77;76;76;294;4,1;2,2;
2026/01/05;0000 UTC;0;880,3;880,3;879,9;0;18,6;16,2;20,1;18,6;16,2;15,5;86;76;86;20;3,8;1,5;
2026/01/05;0100 UTC;0;880,8;880,8;880,3;0;18,9;17,5;18,9;18,6;17,5;16,2;92;86;92;77;2,9;,9;
2026/01/05;0200 UTC;0;881,3;881,3;880,8;0;18,5;17,2;18,9;18,5;17,5;17,2;92;92;92;50;4,4;3,3;
2026/01/05;0300 UTC;0;880,6;881,3;880,6;0;18,3;17,1;18,5;18,3;17,2;16,9;92;92;92;42;4,7;2;
2026/01/05;0400 UTC;0;880,2;880,6;880,2;0;17,6;16,4;18,3;17,5;17;16,3;92;92;92;33;4,7;,6;
2026/01/05;0500 UTC;0;879,7;880,2;879,7;0;17,9;16,7;18,1;17,6;16,9;16,4;93;92;92;273;2,5;1,7;
2026/01/05;0600 UTC;0;879,6;879,7;879,5;0;17,9;16,7;18,1;17,9;16,9;16,6;93;92;92;333;2,8;1,5;
2026/01/05;0700 UTC;0;879,5;879,7;879,5;0;17,3;16,1;17,9;17,2;16,7;16;93;92;93;341;2,8;,9;
2026/01/05;0800 UTC;0;879,7;879,7;879,5;0;17,4;16,2;17,5;17,3;16,3;16,1;93;93;93;111;2,2;1,7;
2026/01/05;0900 UTC;0;880,2;880,2;879,7;21,1;17,5;16,3;17,5;17,3;16,3;16,1;93;93;93;118;3;1,3;
