REGIAO:;SE
UF:;RJ
ESTACAO:;DUQUE DE CAXIAS - XEREM
CODIGO (WMO):;A603
LATITUDE:;-22,58972221
LONGITUDE:;-43,28222221
ALTITUDE:;22
DATA DE FUNDACAO:;21/10/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,7;1008,8;1008,5;0;26,4;25,2;26,7;26;25,3;24,8;95;90;93;236;1,2;,5;
2026/01/01;0100 UTC;0;1008,8;1008,8;1008,7;0;25,2;24,9;26,4;25,2;25,2;24,9;98;93;98;236;1,2;,1;
2026/01/01;0200 UTC;0;1008,7;1008,9;1008,7;0;24,4;24,4;25,2;24,4;24,9;24,4;100;98;100;236;,9;,1;
2026/01/01;0300 UTC;0;1008,2;1008,7;1008,2;0;23,9;23,9;24,4;23,8;24,5;23,8;100;100;100;236;1;,1;
2026/01/01;0400 UTC;0;1007,9;1008,3;1007,9;0;23,5;23,6;23,9;23,5;23,9;23,5;100;100;100;236;1;,1;
2026/01/01;0500 UTC;0;1007,2;1007,9;1007,2;0;23,2;23,2;23,6;23,1;23,6;23,2;100;100;100;238;,8;0;
2026/01/01;0600 UTC;0;1006,5;1007,2;1006,4;0;22,9;22,9;23,6;22,9;23,6;22,9;100;100;100;236;1,2;,3;
2026/01/01;0700 UTC;0;1006;1006,5;1006;0;22,8;22,9;23,1;22,8;23,1;22,9;100;100;100;269;1,5;0;
2026/01/01;0800 UTC;0;1006;1006,1;1005,9;0;22,8;22,8;23;22,6;23;22,6;100;100;100;252;1,1;0;
2026/01/01;0900 UTC;0;1006,5;1006,5;1006;65,1;22,8;22,8;22,8;22,4;22,8;22,5;100;100;100;236;1,1;,4;
2026/01/01;1000 UTC;0;1006,9;1006,9;1006,5;669,7;26,5;23,7;26,5;22,8;24,3;22,8;100;85;85;266;1,2;,1;
2026/01/01;1100 UTC;0;1006,6;1007;1006,6;1508,2;29,7;23,8;29,8;26,5;25,2;23,1;85;70;71;282;1,9;,3;
2026/01/01;1200 UTC;0;1006,3;1006,6;1006,3;2321,1;32,1;23,9;32,5;29,5;25;23,5;74;61;62;284;2,7;1,1;
2026/01/01;1300 UTC;0;1006;1006,3;1006;3124,9;34,7;23,3;34,8;32,1;25,4;22,9;66;51;52;293;4,7;1,7;
2026/01/01;1400 UTC;0;1005,5;1006;1005,5;2299,4;35,2;24,1;35,8;34;26;22,4;61;46;53;275;3,8;,7;
2026/01/01;1500 UTC;0;1004,5;1005,5;1004,5;3017,5;36,6;22,9;36,7;35,1;25,3;22,3;57;45;45;236;3,1;1,7;
2026/01/01;1600 UTC;0;1003,7;1004,5;1003,6;3520,3;37,4;21,4;38,6;36,6;23,6;20,2;46;36;40;284;6;2,2;
