REGIAO:;SE
UF:;RJ
ESTACAO:;CAMBUCI
CODIGO (WMO):;A604
LATITUDE:;-21,58749999
LONGITUDE:;-41,95833333
ALTITUDE:;46
DATA DE FUNDACAO:;20/11/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1004,4;1004,4;1003,6;;28,4;23,6;28,8;28,4;23,6;22,9;75;71;75;307;1,9;,5;
2026/01/01;0100 UTC;0;1004,9;1005;1004,4;;28,6;23,4;29,7;28,4;23,6;23;75;67;74;53;2,5;,8;
2026/01/01;0200 UTC;0;1004,9;1005;1004,8;;27,6;23,6;28,6;27,3;23,8;23;81;73;79;115;1,8;,6;
2026/01/01;0300 UTC;0;1004,4;1004,9;1004,4;;27,1;23,8;27,8;27;23,8;23,2;82;77;82;93;1,4;,6;
2026/01/01;0400 UTC;0;1003,8;1004,4;1003,8;;26,2;23,2;27,2;26,2;23,8;23,1;84;80;84;301;1,4;,4;
2026/01/01;0500 UTC;0;1003,3;1003,8;1003,2;;26,1;23,5;26,3;26;23,6;23,2;86;84;85;253;1,3;,4;
2026/01/01;0600 UTC;0;1003,3;1003,3;1003,3;;25,8;23,5;26,3;25,8;23,7;23,4;87;85;87;308;1,4;,4;
2026/01/01;0700 UTC;0;1003,1;1003,3;1003;;24,9;23,2;25,8;24,9;23,6;23,2;90;87;90;297;1,1;,7;
2026/01/01;0800 UTC;0;1003,2;1003,2;1003;;24,8;23,3;25,1;24,6;23,5;23,1;92;90;92;32;1,4;,6;
2026/01/01;0900 UTC;0;1003,7;1003,7;1003,2;149,3;25,8;23,7;25,8;24,5;23,9;23;92;88;88;265;1,3;,5;
2026/01/01;1000 UTC;0;1004,2;1004,3;1003,7;846,2;28,9;23,8;29,2;25,8;24,9;23,4;88;74;74;162;1,9;,5;
2026/01/01;1100 UTC;0;1004,3;1004,4;1004,2;1436,5;30,6;23,7;30,6;28,3;24,6;23,7;78;67;67;351;2,2;,9;
2026/01/01;1200 UTC;0;1004,3;1004,5;1004,3;2433,7;32,4;23,2;32,6;30,6;23,9;22,6;67;58;58;196;4,2;2,6;
2026/01/01;1300 UTC;0;1003,8;1004,3;1003,8;3027,1;34;24,4;34;32,4;24,4;22,9;60;55;58;183;5,6;2,7;
2026/01/01;1400 UTC;0;1003;1003,8;1003;3288;34,5;22,1;35,9;34;24,7;22,1;58;46;48;221;5;2,4;
2026/01/01;1500 UTC;0;1002;1003;1002;3636,3;35,8;22,9;36,9;34,4;24,3;21,9;50;43;47;182;5,8;1,7;
2026/01/01;1600 UTC;0;1001,2;1002;1001,2;3664,4;37,8;21,9;38;35,9;24,3;21,4;50;39;40;227;6,1;2,4;
2026/01/01;1700 UTC;0;999,8;1001,2;999,8;3583,6;38,3;21,2;38,9;37,2;23,4;20,4;44;35;38;222;5,9;2,5;
2026/01/01;1800 UTC;0;998,4;999,8;998,4;2926,7;39,1;19,8;39,1;37,8;22,8;19,8;42;33;33;275;4,9;1,4;
2026/01/01;1900 UTC;0;998;998,4;997,9;2307,5;39,1;18,9;39,8;38,7;20,8;18,4;34;30;31;254;5;2,3;
2026/01/01;2000 UTC;0;997,3;998,1;997,3;1159,1;38;19,6;39,6;37,6;20,6;18,2;36;30;34;292;4,6;,9;
2026/01/01;2100 UTC;0;998,9;998,9;997,3;190,4;32,9;20,8;38,3;32,9;22,2;19;50;33;49;131;6,1;3,1;
2026/01/01;2200 UTC;0;1000,8;1000,8;998,9;10,3;30,3;21,1;32,9;30,3;21,2;20;58;49;58;204;6,7;2,7;
2026/01/01;2300 UTC;0;1001,8;1001,8;1000,6;;29,4;21,9;30,3;28,7;22,2;21,1;66;58;64;149;6,7;1,8;
2026/01/02;0000 UTC;0;1002;1002;1001,6;;28,1;21,7;29,4;28,1;22;21,3;69;63;68;156;4,3;,9;
2026/01/02;0100 UTC;0;1002,8;1002,8;1002;;27,3;22,9;28,1;27,2;23;21,8;77;68;77;107;2,4;,7;
2026/01/02;0200 UTC;0;1002,4;1002,8;1002,4;;26,8;23,1;27,3;26,8;23,3;22,7;81;77;80;177;3,9;1;
2026/01/02;0300 UTC;0;1002,5;1002,7;1002,3;;26;22,4;26,8;25,9;23,4;22,4;83;80;81;319;3;,5;
2026/01/02;0400 UTC;0;1001,3;1002,5;1001,3;;25,4;23;26;25,4;23;22,4;87;81;87;129;1,7;,7;
2026/01/02;0500 UTC;0;1000,7;1001,4;1000,7;;25;23;25,5;25;23,1;22,9;89;87;89;298;1,8;,7;
2026/01/02;0600 UTC;0;1000,1;1000,7;1000;;25,3;22,6;25,3;24,9;23,2;22,6;89;85;85;225;4,2;2,1;
2026/01/02;0700 UTC;0;1000;1000,1;999,8;;25,5;22,5;25,5;25,2;23,1;22,5;88;84;84;217;4,3;1,8;
2026/01/02;0800 UTC;0;1000,1;1000,1;999,9;;24,9;22,6;25,5;24,9;22,8;22,4;87;84;87;267;3,4;,7;
2026/01/02;0900 UTC;0;1000,6;1000,6;1000,1;64,3;25,5;22,8;25,6;24,7;23;22,5;88;84;85;281;1,8;,6;
2026/01/02;1000 UTC;0;1001,4;1001,4;1000,6;361,8;27,3;22,4;27,4;25,5;22,9;22,1;85;73;75;247;3,7;1,4;
2026/01/02;1100 UTC;0;1001,5;1001,6;1001,4;1004,6;28,9;21,9;28,9;26,9;23,6;21,9;79;66;66;234;3,7;1,5;
2026/01/02;1200 UTC;0;1001,5;1001,6;1001,4;1671,9;29,8;22,1;30,5;28,8;23,4;21,6;71;60;63;220;4;2;
2026/01/02;1300 UTC;0;1001,1;1001,5;1001,1;2089,3;31,6;21,8;31,6;29,7;23,2;21,2;67;55;56;226;6;2,7;
2026/01/02;1400 UTC;0;1000,4;1001,1;1000,4;1725;32,2;22;32,4;31,5;22,3;21,1;57;53;55;225;5,3;2;
2026/01/02;1500 UTC;0;999,5;1000,4;999,5;1901,1;33,3;21,9;33,7;32,1;22,9;21,5;58;50;51;224;4,8;1,5;
2026/01/02;1600 UTC;0;998,7;999,5;998,7;2949;35,9;22,6;35,9;33,1;23,1;20,8;53;44;46;232;5,5;2;
2026/01/02;1700 UTC;0;997,6;998,7;997,6;2452,3;34,3;20,2;36,7;34,3;22,5;19,4;47;40;44;235;6,9;2,3;
2026/01/02;1800 UTC;0;996,2;997,6;996,2;1968,9;35,6;20,4;35,9;33,7;21,7;20,1;48;41;41;261;5,4;1,7;
2026/01/02;1900 UTC;0;995,7;996,2;995,6;2388,2;36,1;21,6;37;35,6;22,2;20,4;45;39;43;140;3,8;1;
2026/01/02;2000 UTC;0;995,6;995,8;995,6;1248,4;36,2;20,5;36,7;35,1;21,9;19,9;46;39;40;145;3,3;,6;
2026/01/02;2100 UTC;0;995,8;995,8;995,5;488,3;33,8;21,7;37,4;33,8;22;20,4;50;38;50;353;2,4;1,1;
2026/01/02;2200 UTC;0;996,4;996,4;995,7;22;31,8;22,9;33,7;31,8;22,9;21,8;60;50;59;354;3,1;1,5;
2026/01/02;2300 UTC;0;998,1;998,2;996,4;;31,6;22,3;32,7;31,6;22,9;21,5;60;54;58;145;6,5;,6;
2026/01/03;0000 UTC;26,2;1001,6;1001,6;998,1;2,4;24,1;22,8;31,6;23,9;23,9;21,9;94;57;92;277;9,6;2;
2026/01/03;0100 UTC;16,6;1001,4;1001,8;1000,8;;24,3;23,2;24,4;23,7;23,4;22,6;94;92;94;307;4,7;1;
2026/01/03;0200 UTC;6;1000,6;1002;1000,6;;24,3;23,2;24,4;24,1;23,4;23;94;93;93;76;2,3;,9;
2026/01/03;0300 UTC;,2;999,9;1000,6;999,9;;24,5;23,1;24,8;24,2;23,4;23;94;91;92;88;3,1;1,4;
2026/01/03;0400 UTC;0;999,7;999,9;999,6;;24,4;23,4;24,5;24,3;23,4;23,1;94;92;94;261;2,4;,8;
2026/01/03;0500 UTC;0;999,5;999,7;999,5;,5;24,3;23,2;24,5;24,2;23,4;23,2;94;94;94;348;1,5;,4;
