REGIAO:;SE
UF:;RJ
ESTACAO:;MACAE
CODIGO (WMO):;A608
LATITUDE:;-22,3761111
LONGITUDE:;-41,81194444
ALTITUDE:;28
DATA DE FUNDACAO:;22/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1009;1009;1007,5;;26,9;21,8;28,1;26,9;21,9;21,8;74;69;74;26;7,3;1,8;
2026/01/01;0100 UTC;0;1009,2;1009,4;1009;;26,5;21,7;27;26,5;21,9;21,7;75;74;75;44;5;2,6;
2026/01/01;0200 UTC;0;1008,7;1009,2;1008,7;;26,1;21,6;26,5;26,1;21,8;21,6;77;75;77;45;5;3;
2026/01/01;0300 UTC;0;1008,3;1008,8;1008,3;;25,4;21,8;26,1;25,4;21,8;21,6;80;77;80;44;4,9;2,4;
2026/01/01;0400 UTC;0;1007,5;1008,3;1007,5;;24,8;22;25,4;24,8;22;21,7;84;80;84;26;4,9;2,2;
2026/01/01;0500 UTC;0;1006,6;1007,5;1006,6;;24,5;22,3;24,8;24,4;22,3;21,9;88;84;88;47;4,4;2,7;
2026/01/01;0600 UTC;0;1006,5;1006,6;1006,5;;24,1;22,2;24,5;24,1;22,3;22,1;89;88;89;23;4,5;1,7;
2026/01/01;0700 UTC;0;1005,9;1006,5;1005,9;;24;22,2;24,1;24;22,3;22,2;90;89;90;38;4,4;2,4;
2026/01/01;0800 UTC;0;1006;1006;1005,8;;23,7;22,1;24;23,7;22,2;22,1;91;90;91;27;4,4;1,7;
2026/01/01;0900 UTC;0;1006,2;1006,2;1005,9;135,3;24,4;22,6;24,4;23,6;22,6;22,1;91;90;90;38;3,9;2,2;
2026/01/01;1000 UTC;0;1006,4;1006,5;1006,2;767,8;26,7;22,9;26,8;24,4;23;22,5;90;80;80;37;4,9;3;
2026/01/01;1100 UTC;0;1006,5;1006,6;1006,4;1647,4;29,9;23,3;29,9;26,7;23,7;22,8;80;67;68;29;4,9;2,7;
2026/01/01;1200 UTC;0;1006,3;1006,6;1006,3;2425,3;33,8;23,8;33,8;29,6;24,1;22,9;68;56;56;37;5;2,8;
2026/01/01;1300 UTC;0;1005,9;1006,3;1005,9;3090,7;35,4;23,3;35,4;33;23,9;23,1;57;50;50;77;5;2,2;
2026/01/01;1400 UTC;0;1005,2;1005,9;1005,2;3251,4;37,7;21,1;38,1;35;23,7;20,6;51;37;38;329;5,5;1,5;
2026/01/01;1500 UTC;0;1004,8;1005,3;1004,8;3514,8;34,6;22,8;38,6;34,5;23,4;20,6;50;38;50;178;5,4;2,1;
2026/01/01;1600 UTC;0;1004,5;1004,8;1004,5;3234,4;32,4;22,5;35;31,6;23,4;22,1;59;49;56;183;5,4;1,8;
