REGIAO:;SE
UF:;RJ
ESTACAO:;RESENDE
CODIGO (WMO):;A609
LATITUDE:;-22,45138888
LONGITUDE:;-44,44499999
ALTITUDE:;438,83
DATA DE FUNDACAO:;29/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;962;962;961,5;;24,8;18,5;26,1;24,6;20,5;18,1;76;62;68;318;2;1,1;
2026/01/01;0100 UTC;0;962,4;962,4;962;;24;18,9;24,9;23,6;19,6;18,5;78;67;73;347;2,3;1;
2026/01/01;0200 UTC;0;962,7;962,7;962,4;;23;18,5;24;22,6;19,6;18,3;80;73;76;325;2,1;,9;
2026/01/01;0300 UTC;0;962,3;962,7;962,3;;23,2;18,8;23,3;22,3;19;18,2;82;73;77;59;1,6;,6;
2026/01/01;0400 UTC;0;961,8;962,3;961,8;;22;18,9;23,1;22;19,3;18,7;84;77;82;307;1,5;1;
2026/01/01;0500 UTC;0;961,1;961,8;961,1;;21,1;19;22,1;21,1;19,4;18,7;89;81;88;340;1,9;1,5;
2026/01/01;0600 UTC;0;960,6;961,1;960,6;;20,6;19,2;21,9;20,6;19,2;18,7;92;82;92;351;1,9;1,2;
2026/01/01;0700 UTC;0;960,3;960,6;960,3;;20,9;19,4;20,9;20,2;19,4;18,9;93;90;91;311;2,2;,9;
2026/01/01;0800 UTC;0;960,5;960,6;960,3;;20,9;19,1;20,9;20,2;19,4;18,9;93;89;89;332;2,5;1,2;
2026/01/01;0900 UTC;0;960,9;960,9;960,5;147,9;22,6;19,4;22,6;20,2;19,5;18,8;92;82;82;51;2,4;,5;
2026/01/01;1000 UTC;0;961,4;961,4;960,9;644,4;23,7;20,3;23,7;22,6;20,3;18,8;84;76;81;224;1,8;,7;
2026/01/01;1100 UTC;0;961,1;961,6;961,1;1248,1;25,8;20,1;26,2;23,4;21,2;19,5;83;69;71;158;2,7;1;
2026/01/01;1200 UTC;0;961;961,1;961;1284,8;26,8;21,1;26,9;25,6;21,7;19,8;75;70;71;56;2,6;1;
2026/01/01;1300 UTC;0;961,1;961,2;961;2472,1;30,1;20,3;30,5;26,8;21,8;19,3;73;54;56;175;2,9;,9;
2026/01/01;1400 UTC;0;960,5;961,1;960,5;3129,2;32;19,3;32,2;29,8;20,6;19;56;46;47;259;3,6;1,4;
2026/01/01;1500 UTC;0;959,7;960,5;959,7;3881,5;33;18,2;33,5;31,5;20,1;17,7;51;40;42;218;3,5;1,9;
2026/01/01;1600 UTC;0;958,8;959,7;958,8;3133,3;35,4;18,9;35,6;32,6;20,1;17,1;47;37;38;283;3,6;1,9;
2026/01/01;1700 UTC;0;957,5;958,8;957,5;3096,1;34,6;18,5;35,4;33,4;19,8;17,7;43;37;39;139;4,7;,9;
2026/01/01;1800 UTC;0;956,5;957,5;956,5;3277,8;35,2;18,3;36;34,4;19,5;17,4;41;34;37;260;6,6;3,7;
2026/01/01;1900 UTC;0;956,3;956,5;956,2;1556,3;33,3;17,9;36,1;33,3;19,4;16,7;40;34;40;302;5,7;2,8;
2026/01/01;2000 UTC;0;956,6;956,7;956,2;152,8;29,1;19,9;33,3;29,1;20;17,8;58;40;58;284;7,7;2,3;
2026/01/01;2100 UTC;,8;957,3;957,3;956,6;62,9;26,2;22,9;29,1;26,2;22,9;19,7;82;57;82;282;4,4;1,3;
2026/01/01;2200 UTC;,2;958,1;958,1;957,3;73,8;25,6;22,2;26,2;25,1;23,5;21,8;88;81;81;24;3;1,1;
2026/01/01;2300 UTC;0;958,7;958,7;958,1;;24,5;21,1;25,8;24;22,6;20,7;88;74;81;357;4,4;1,8;
2026/01/02;0000 UTC;0;959,3;959,3;958,7;;23,9;21;25;23,9;21,2;20,6;84;78;84;306;2,8;1;
2026/01/02;0100 UTC;0;959,7;959,7;959,2;;23,9;20,6;24,3;23;21,2;20,4;89;79;82;301;2;,7;
2026/01/02;0200 UTC;0;959,4;959,8;959,4;;23;20,7;23,9;22,7;21,1;20,6;90;82;87;299;2,6;1,9;
2026/01/02;0300 UTC;0;958,8;959,6;958,8;;22,8;20,7;23,4;22,7;20,8;20,4;89;84;88;307;2,8;2;
2026/01/02;0400 UTC;0;958,2;958,8;958,2;;23,7;20,6;23,8;22,6;20,7;20,3;89;82;83;99;3,5;1,3;
2026/01/02;0500 UTC;0;957,7;958,2;957,7;;22,8;21;23,8;22,3;21,1;20,7;92;83;89;12;2,4;1,5;
2026/01/02;0600 UTC;0;957,2;957,8;957,2;;22,3;20,9;23,3;22,1;21,1;20,7;93;86;92;279;2,9;1,1;
2026/01/02;0700 UTC;0;957,3;957,8;957,1;;23,6;20,4;23,7;22,3;21,2;20,4;92;82;82;234;7,8;4,2;
2026/01/02;0800 UTC;0;957,2;957,3;957,1;;23,6;20,5;24;23,6;20,5;20,2;83;79;83;242;6,5;3,9;
2026/01/02;0900 UTC;0;958;958;957,2;34,9;22,7;20,5;23,6;22,7;20,5;20,3;88;82;88;305;6,3;1,9;
2026/01/02;1000 UTC;0;958,1;958,2;958;302;24;21,4;24;22,5;21,4;20,5;90;85;85;30;3,3;,5;
2026/01/02;1100 UTC;0;958,2;958,2;958,1;576,2;23,8;21,4;24,6;23,8;21,8;20,7;88;79;86;356;3;2,3;
2026/01/02;1200 UTC;0;958,2;958,2;958;777,4;25,4;21,5;25,5;23,8;22;20,9;88;78;79;20;3,6;1,5;
2026/01/02;1300 UTC;0;957,9;958,2;957,9;1418,3;27,1;21,1;27,5;25,4;22,3;19,6;79;65;70;282;3;1,2;
2026/01/02;1400 UTC;0;957,5;958;957,5;2499,1;29,4;20,9;29,6;27,1;22;20;71;60;60;310;3,3;1,4;
2026/01/02;1500 UTC;0;957;957,5;957;3424,2;30,4;18,9;31,2;29,1;21;18,4;60;49;50;256;4,5;1,8;
2026/01/02;1600 UTC;0;956;957;956;2346,6;30,8;19,7;31,1;29,9;20,1;18,4;54;49;52;332;3,7;1,7;
2026/01/02;1700 UTC;0;954,8;956;954,8;3581,3;32,7;20,2;33,7;30,6;21,5;19;57;45;48;154;5,9;2,2;
2026/01/02;1800 UTC;0;954;954,8;954;2355,3;33,2;18,5;34,3;32,1;20,3;17,5;48;40;42;258;5,4;1,7;
2026/01/02;1900 UTC;0;953,4;954;953,4;1772,3;31,7;20,2;34,4;31,7;20,4;18,1;51;41;51;340;4,7;2,5;
2026/01/02;2000 UTC;0;953,8;953,8;953,2;1198;31,3;20;32,5;31,3;21,7;19,6;56;48;51;18;5,5;3,2;
2026/01/02;2100 UTC;0;954;954,1;953,6;166,4;29,9;19,6;31,3;29,7;20,3;19,3;57;50;54;314;5;1,1;
