REGIAO:;SE
UF:;RJ
ESTACAO:;RIO DE JANEIRO - JACAREPAGUA
CODIGO (WMO):;A636
LATITUDE:;-22,93999999
LONGITUDE:;-43,40277777
ALTITUDE:;20
DATA DE FUNDACAO:;10/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1009,1;1009,1;1008,7;;24,5;23,3;25,7;24,5;23,7;23,1;93;88;93;263;1,9;,1;
2026/01/01;0100 UTC;0;1009,4;1009,4;1009,1;;23,9;22,9;24,6;23,9;23,4;22,8;94;93;94;253;2,5;0;
2026/01/01;0200 UTC;0;1009,1;1009,5;1009;;23,9;23,1;24;23,7;23,2;22,9;96;94;96;240;1,1;,2;
2026/01/01;0300 UTC;0;1008,7;1009,1;1008,7;;23,8;23,2;23,9;23,7;23,2;23;97;96;97;262;1;0;
2026/01/01;0400 UTC;0;1008,2;1008,7;1008,2;;23,6;23,2;23,8;23,6;23,2;23,1;97;97;97;234;,5;0;
2026/01/01;0500 UTC;0;1007,3;1008,2;1007,3;;23,5;23,1;23,7;23,5;23,2;23,1;98;97;97;245;,9;,1;
2026/01/01;0600 UTC;0;1006,7;1007,3;1006,7;;23,5;23,2;23,6;23,5;23,2;23,1;98;97;98;262;1,1;0;
2026/01/01;0700 UTC;0;1006,2;1006,7;1006,2;;23,4;23,1;23,6;23,4;23,2;23;98;98;98;242;1;0;
2026/01/01;0800 UTC;0;1006,3;1006,3;1006,1;;23,1;22,8;23,4;23,1;23,1;22,8;98;98;98;194;,7;0;
2026/01/01;0900 UTC;0;1006,7;1006,7;1006,3;78,1;23,6;23,3;23,6;23;23,3;22,7;98;98;98;268;,9;0;
2026/01/01;1000 UTC;0;1007,1;1007,1;1006,8;644,7;26,7;26;26,7;23,6;26,2;23,3;98;96;96;293;,8;0;
2026/01/01;1100 UTC;0;1007;1007,1;1006,9;1242,1;30,3;24,9;30,3;26,7;26,4;24,6;96;71;73;121;2,2;,8;
2026/01/01;1200 UTC;0;1006,7;1007,2;1006,7;2249,6;32,7;24,7;32,7;30,1;25,1;23,1;74;58;63;114;2,5;,9;
2026/01/01;1300 UTC;0;1006,6;1006,7;1006,6;2982,7;33,5;24,8;33,9;32,7;26;23,2;66;55;61;130;4,3;1,5;
2026/01/01;1400 UTC;0;1006;1006,6;1005,9;3568,4;33,8;26,1;34,6;33,5;26,1;24,4;65;57;64;139;5,4;2,4;
2026/01/01;1500 UTC;0;1005,6;1006;1005,6;3485,9;31,3;24;33,9;31,3;27;24;69;62;65;127;7,1;1,8;
2026/01/01;1600 UTC;0;1005,2;1005,7;1005,2;3800,2;32,1;23,6;32,4;30,9;24,7;23,6;68;61;61;78;8,4;2,8;
2026/01/01;1700 UTC;0;1004,2;1005,2;1004,2;3515,4;31,5;23,8;32,5;31,2;24,7;23,1;65;59;64;126;8,2;2;
2026/01/01;1800 UTC;0;1003,8;1004,2;1003,6;1391,9;28,8;22,9;31,9;28,7;24,4;22,7;71;62;71;74;8,8;1,6;
2026/01/01;1900 UTC;0;1003,3;1004;1003,2;1755,8;30;23,2;30,9;28,5;24,1;22,7;72;64;67;47;8,3;1,6;
2026/01/01;2000 UTC;0;1003,6;1003,8;1003,3;925,4;31,1;23,5;31,1;29,8;24,5;23;71;63;64;98;5,1;,3;
2026/01/01;2100 UTC;0;1003,9;1003,9;1003,5;367,2;29,4;23,8;31,8;29,3;24,1;22,6;72;61;72;282;2,7;,4;
2026/01/01;2200 UTC;0;1004,4;1004,4;1003,9;9,6;26;23,3;29,4;26;24,4;23,2;85;72;85;255;4,1;,8;
2026/01/01;2300 UTC;0;1004,8;1004,8;1004,3;;25,5;23,6;26,1;25,5;23,6;23,3;90;85;90;228;2,8;,6;
2026/01/02;0000 UTC;0;1005,2;1005,2;1004,8;;25,7;24,7;25,7;25,2;24,8;23,6;95;90;94;240;2,3;,6;
2026/01/02;0100 UTC;0;1005,3;1005,4;1005;;25,9;24,7;26,2;25,6;25,2;24,5;94;93;94;225;2,8;,5;
2026/01/02;0200 UTC;0;1005;1005,3;1005;;25,8;24,7;26;25,7;24,9;24,6;94;93;93;242;2,8;1,2;
