REGIAO:;SE
UF:;SP
ESTACAO:;BAURU
CODIGO (WMO):;A705
LATITUDE:;-22,35805555
LONGITUDE:;-49,02888888
ALTITUDE:;636,17
DATA DE FUNDACAO:;30/08/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,2;942,6;942,7;941,5;;22,4;;22,6;22,4;;;;;;173;4,7;1,2;
2026/01/01;0100 UTC;0;942,6;942,7;942,1;;22;;22,4;22;;;;;;149;3,8;1,1;
2026/01/01;0200 UTC;0;944,1;944,1;942,4;;22,1;;22,2;21,7;;;;;;279;4,7;1,6;
2026/01/01;0300 UTC;,2;943,9;944,1;943,8;;21,7;;22,2;21,6;;;;;;228;6,6;3,3;
2026/01/01;0400 UTC;0;942,6;944;942,6;;21,2;;21,7;21,2;;;;;;208;6,8;3;
2026/01/01;0500 UTC;0;941,1;942,6;941,1;;21;;21,2;20,9;;;;;;141;5,5;,8;
2026/01/01;0600 UTC;,2;940,6;941,1;940,5;;20,9;;21,2;20,9;;;;;;153;2,4;,5;
2026/01/01;0700 UTC;0;940;940,6;940;;20,7;;21;20,7;;;;;;128;2;0;
2026/01/01;0800 UTC;0;940,2;940,2;939,9;;20,7;;20,7;20,5;;;;;;22;1,3;0;
2026/01/01;0900 UTC;,2;940,8;940,8;940,2;;20,9;;21;20,7;;;;;;324;1,6;,2;
2026/01/01;1000 UTC;0;941,3;941,3;940,8;;21,8;;21,8;20,9;;;;;;10;2,6;,4;
2026/01/01;1100 UTC;0;941,7;941,7;941,2;;22,5;;22,5;21,7;;;;;;5;4,3;1,1;
2026/01/01;1200 UTC;,2;941,8;941,9;941,7;;24,2;;24,2;22,5;;;;;;356;3,9;,8;
2026/01/01;1300 UTC;0;941,8;941,9;941,6;;27,3;23,3;27,5;24,2;25,2;22,5;100;77;79;360;3,7;,8;
2026/01/01;1400 UTC;0;941,4;941,8;941,3;;28,8;23;28,8;26,5;24,2;22,1;83;69;71;269;4,6;1,3;
2026/01/01;1500 UTC;0;940,8;941,4;940,7;;29,3;23,4;29,7;28,4;23,7;21,9;73;65;70;295;5,8;1,9;
2026/01/01;1600 UTC;,2;939,9;940,8;939,9;;29,4;21,9;30,9;29,1;23,7;21,8;70;59;64;286;7;2,1;
2026/01/01;1700 UTC;0;938,4;939,9;938,4;;31,1;21,4;31,3;29,3;23,2;21,1;68;56;56;263;8,5;3,1;
2026/01/01;1800 UTC;0;937,3;938,4;937,3;;31,8;20,5;32,2;30,6;22,5;20,3;61;51;51;283;8,6;3,2;
2026/01/01;1900 UTC;,2;936,5;937,3;936,5;;31,9;21,3;32,5;31,1;22,5;20,2;59;49;54;306;8,4;2;
2026/01/01;2000 UTC;0;936,4;936,6;936,3;;30,2;21,8;32,5;30,2;22,3;20,4;62;50;61;226;7,7;1,4;
2026/01/01;2100 UTC;0;936,5;936,6;936,4;;29,1;21,1;30,2;29,1;22,1;20,8;63;58;62;233;6;1,8;
2026/01/01;2200 UTC;0;938,1;938,1;936,5;;25,5;19,8;29,2;25,5;22,4;19,8;73;62;71;303;8,9;3,6;
2026/01/01;2300 UTC;,2;938,3;938,7;937,9;;21,3;;25,5;20,9;;;;;;260;12,7;1,1;
2026/01/02;0000 UTC;0;939,8;940;938,2;;21,4;;21,8;21,3;;;;;;275;10,2;1,7;
2026/01/02;0100 UTC;,2;940,2;940,3;939,8;;21;;21,4;20,7;;;;;;269;7,3;1,1;
2026/01/02;0200 UTC;0;940,6;940,7;940,2;;21,1;;21,1;21;;;;;;256;3,9;,5;
2026/01/02;0300 UTC;,2;939,7;940,6;939,7;;21,2;;21,2;21,1;;;;;;307;2,3;0;
2026/01/02;0400 UTC;0;938,6;939,7;938,6;;21,5;;21,5;21,1;;;;;;5;1,1;0;
2026/01/02;0500 UTC;,2;937,4;938,6;937,4;;21,3;;21,5;21,3;;;;;;283;,7;0;
2026/01/02;0600 UTC;0;936,8;937,4;936,7;;21,5;;21,5;21,2;;;;;;302;,8;0;
2026/01/02;0700 UTC;0;936,5;936,8;936,5;;21,3;;21,6;21,3;;;;;;23;2,3;,6;
2026/01/02;0800 UTC;,2;937;937;936,5;;21;;21,4;21;;;;;;7;3,5;,9;
2026/01/02;0900 UTC;0;937,9;937,9;937;;21;;21;20,8;;;;;;337;3,5;,7;
2026/01/02;1000 UTC;,2;938,7;938,7;937,9;;21,6;;21,6;21;;;;;;354;3,5;,5;
2026/01/02;1100 UTC;0;939;939;938,7;;21,9;;21,9;21,5;;;;;;329;3,7;,9;
2026/01/02;1200 UTC;0;939,1;939,2;938,9;;23,1;;23,1;21,9;;;;;;344;4,9;,9;
2026/01/02;1300 UTC;,2;939;939,2;939;;24,4;;24,4;23,1;;;;;;331;6;1,8;
2026/01/02;1400 UTC;0;938,6;939;938,5;;25,5;23,5;25,8;24,4;25,2;23,5;100;88;89;328;6,1;2,1;
2026/01/02;1500 UTC;,2;937,7;938,6;937,7;;28;22,9;28,6;25,5;24,4;22,9;90;73;74;340;6,5;2,1;
2026/01/02;1600 UTC;0;937,2;937,7;937,2;;22;;29;22;23,8;22,3;100;69;;200;9,1;3,6;
2026/01/02;1700 UTC;0;937,3;937,4;936,9;;22,2;;22,3;21,9;;;;;;270;7,8;3,4;
2026/01/02;1800 UTC;,2;936,2;937,3;936,2;;21,4;;22,2;21,4;;;;;;260;9,7;2;
2026/01/02;1900 UTC;0;936;936,4;936;;21,8;;21,8;21,3;;;;;;277;6,3;1,7;
2026/01/02;2000 UTC;,2;934,2;936;934,2;;22,1;;22,1;21,7;;;;;;235;7;1,7;
2026/01/02;2100 UTC;0;934,1;934,2;933,5;;22,2;;22,2;22,1;;;;;;304;5,3;,1;
2026/01/02;2200 UTC;0;935,5;935,5;934,1;;21,9;;22,3;21,9;;;;;;321;3,4;,7;
2026/01/02;2300 UTC;,2;935,9;935,9;935,5;;21,2;;21,9;21,2;;;;;;49;3,2;0;
2026/01/03;0000 UTC;0;936,1;936,3;935,8;;21,2;;21,3;21;;;;;;19;1,9;,6;
2026/01/03;0100 UTC;,2;936,9;936,9;936,1;;21,2;;21,3;21,1;;;;;;37;3;,5;
2026/01/03;0200 UTC;0;937,1;937,3;936,9;;21,5;;21,5;21,1;;;;;;359;2;,3;
2026/01/03;0300 UTC;,2;936,7;937,2;936,7;;21,3;;21,5;21,2;;;;;;347;3;1,1;
2026/01/03;0400 UTC;,2;936,5;937;936,5;;21,3;;21,4;21,2;;;;;;5;2,8;,1;
2026/01/03;0500 UTC;0;937;937;936,5;;21,1;;21,3;21,1;;;;;;318;2,5;,9;
2026/01/03;0600 UTC;0;936,7;937;936,6;;20,7;;21,1;20,7;;;;;;295;3,6;1,2;
2026/01/03;0700 UTC;,2;936,8;936,9;936,6;;20,8;;20,8;20,5;;;;;;251;2,8;,2;
2026/01/03;0800 UTC;,2;936,8;936,9;936,8;;21;;21;20,8;;;;;;244;1,9;,3;
2026/01/03;0900 UTC;0;937,1;937,1;936,8;;21;;21,1;20,9;;;;;;241;2;,4;
2026/01/03;1000 UTC;0;937,6;937,6;937;;21,4;;21,6;21;;;;;;303;2,7;,5;
2026/01/03;1100 UTC;,2;938,2;938,2;937,6;;22,3;;22,5;21,3;;;;;;276;2,6;1,2;
2026/01/03;1200 UTC;0;938,6;938,6;938,2;;23,8;22,5;24,6;22,3;;;;;92;219;3,2;1;
2026/01/03;1300 UTC;,2;938,8;938,8;938,6;;24,1;22,8;24,1;23,6;23,4;21,7;96;89;93;243;2,8;1,1;
2026/01/03;1400 UTC;0;938,7;938,8;938,7;;25,1;21,6;25,3;23,4;23,7;21,6;99;81;81;208;3,8;1,5;
2026/01/03;1500 UTC;,2;938,5;938,7;938,4;;25,7;22,1;26,2;24,6;23;21,2;89;75;81;212;3,9;1,8;
2026/01/03;1600 UTC;0;938,4;938,5;938,4;;26;22,1;26,1;25,5;23;21,3;84;76;79;244;3,6;1,7;
2026/01/03;1700 UTC;,2;937,9;938,4;937,9;;27,9;21,7;28;26;22,9;21,4;81;68;69;259;3,9;1,9;
2026/01/03;1800 UTC;0;937,3;937,9;937,3;;28,2;22,1;28,6;27,7;23;20,9;75;64;69;257;5,3;2,3;
2026/01/03;1900 UTC;,2;936,5;937,3;936,4;;28,3;21,5;29,3;28;23;20,9;72;62;67;240;6,1;2,6;
2026/01/03;2000 UTC;0;935,9;936,5;935,9;;28,4;21,3;29,1;28,2;22,5;21;71;63;65;227;5,7;2,5;
2026/01/03;2100 UTC;,2;936;936;935,8;;27,5;21;28,8;27,5;22;20,7;68;63;68;235;5,7;2,5;
2026/01/03;2200 UTC;0;936,7;936,7;936;;26,2;20,9;27,5;26,2;21,2;20,7;73;67;73;229;5,5;1,9;
2026/01/03;2300 UTC;,2;936,7;936,7;936,3;;23,8;22,8;26,2;23,8;22,8;20,9;94;73;94;248;4,5;1,2;
2026/01/04;0000 UTC;0;937,2;937,2;936,6;;22,9;;24;22,9;23,4;22,7;100;93;;207;3,5;,9;
2026/01/04;0100 UTC;,2;938,1;938,1;937,2;;21,6;;22,9;21,6;;;;;;207;2;1,1;
2026/01/04;0200 UTC;,2;938,4;938,4;938,1;;21;;21,6;20,9;;;;;;249;2;,4;
2026/01/04;0300 UTC;0;938,3;938,5;938,3;;21,2;21,2;21,2;20,6;;;;;100;288;1,8;1;
2026/01/04;0400 UTC;,2;938;938,3;938;;21,4;;21,7;21,1;;;;;;243;2,8;,7;
2026/01/04;0500 UTC;0;937,6;938;937,5;;21,7;;21,8;21,3;;;;;;260;1,9;,9;
2026/01/04;0600 UTC;,2;937,3;937,6;937,3;;21,2;;22,2;21,2;;;;;;214;2,3;1,4;
2026/01/04;0700 UTC;,2;937,4;937,4;937,1;;20,7;;21,2;20,7;;;;;;138;2,2;1;
2026/01/04;0800 UTC;0;937,7;937,7;937,3;;20,5;;20,8;20,3;;;;;;138;2,9;1,1;
2026/01/04;0900 UTC;,2;938,3;938,3;937,7;;20,3;;20,6;20,3;;;;;;85;2,9;1;
2026/01/04;1000 UTC;,2;938,9;938,9;938,3;;21,3;;21,3;20,3;;;;;;87;5;1,9;
2026/01/04;1100 UTC;0;939,3;939,4;938,9;;22,9;20,8;23,1;21,3;22,1;20,7;100;87;88;94;6,6;2,9;
2026/01/04;1200 UTC;0;939,8;939,8;939,3;;24,4;20,9;24,4;22,9;21,2;20,5;89;80;81;82;7,4;3,3;
2026/01/04;1300 UTC;,2;940,3;940,3;939,8;;25,7;21,3;26,1;24,4;21,6;20,6;81;73;77;104;6,9;1,7;
2026/01/04;1400 UTC;0;940,3;940,4;940,3;;27,2;20,9;27,3;25,5;21,9;20,8;78;69;69;107;5,8;1,7;
2026/01/04;1500 UTC;,2;940,2;940,3;940,1;;28,4;20,3;28,6;26,7;21,7;19,9;72;62;62;68;6,6;2,3;
2026/01/04;1600 UTC;0;939,7;940,2;939,7;;29;20,6;29,8;28,3;21,6;19,7;65;56;60;50;6,6;,9;
2026/01/04;1700 UTC;,2;939;939,7;939;;30,9;20,2;31;28,8;21,4;19,9;64;52;53;119;4;1,2;
2026/01/04;1800 UTC;0;938;939;938;;29,5;20,2;31,5;29,5;21,8;19,5;57;51;57;15;3,9;,9;
2026/01/04;1900 UTC;0;938,1;938,1;937,6;;24,7;21,6;30,2;24,7;22,2;19,2;83;53;83;185;9;3,5;
2026/01/04;2000 UTC;,2;939,1;939,4;938,1;;21,2;;24,7;20,7;;;;;;148;8,8;,6;
2026/01/04;2100 UTC;0;938,4;939,3;938,4;;23,2;23,2;23,3;21,1;;;;;100;168;6,1;1,3;
2026/01/04;2200 UTC;,2;938,7;938,7;938,2;;22,2;;23,4;22,2;;;;;;177;3,2;,7;
2026/01/04;2300 UTC;,2;939,5;939,5;938,7;;21,8;;22,2;21,5;;;;;;146;2,9;,7;
2026/01/05;0000 UTC;0;940,3;940,3;939,5;;21,9;;22;21,8;;;;;;114;6,2;1,5;
2026/01/05;0100 UTC;,2;941;941,1;940,3;;20,8;;21,9;20,8;;;;;;101;6,2;1,6;
2026/01/05;0200 UTC;0;941,8;941,8;941;;19,9;;20,8;19,9;;;;;;108;7,3;1,8;
2026/01/05;0300 UTC;,2;941,5;941,8;941,5;;19,1;19,1;19,9;19,1;;;;;100;114;7,3;1,7;
2026/01/05;0400 UTC;0;941,4;941,7;941,4;;18,9;18,2;19,2;18,9;19,2;18;100;93;96;116;7,8;2,1;
2026/01/05;0500 UTC;,2;941,1;941,5;941,1;;18,5;18,1;18,9;18,5;18,4;18;98;96;97;124;8,1;2;
2026/01/05;0600 UTC;0;940,9;941,2;940,9;;18,4;17,8;18,5;18,3;18,3;17,8;100;96;97;119;7,5;1,7;
2026/01/05;0700 UTC;,2;941;941,1;940,9;;18,2;17,7;18,4;18,2;17,9;17,6;98;95;97;105;8;2,2;
2026/01/05;0800 UTC;0;941,3;941,3;941;;18,2;17,4;18,2;18;17,9;17,4;99;95;95;113;9,4;2,6;
2026/01/05;0900 UTC;,2;941,7;941,7;941,3;;18,4;17,3;18,4;18,1;17,4;17,3;96;93;93;106;9,4;2,5;
2026/01/05;1000 UTC;0;942,2;942,2;941,7;;19,6;16,9;19,6;18,4;17,3;16,9;93;85;85;102;9,6;2,5;
2026/01/05;1100 UTC;,2;942,7;942,7;942,2;;21,3;17;21,3;19,6;17,3;16,7;85;76;77;103;10,6;3,3;
2026/01/05;1200 UTC;0;943,1;943,1;942,7;;23;17;23;21,3;17,4;16,6;77;68;69;101;10,7;3,3;
2026/01/05;1300 UTC;0;943,2;943,3;943,1;;24,7;17,9;24,7;23;17,9;16,7;69;64;66;109;8,6;2,9;
2026/01/05;1400 UTC;,2;943;943,2;943;;26;18,3;26,4;24,3;18,7;17,1;66;60;62;104;10,3;2,6;
2026/01/05;1500 UTC;0;942,6;943,1;942,6;;26,7;18,4;26,7;25,5;19,1;17,7;64;59;60;105;9,1;3,1;
2026/01/05;1600 UTC;0;942,1;942,7;942,1;;27,1;18,4;27,2;25,9;19;18;65;59;59;109;8;2,5;
