REGIAO:;SE
UF:;SP
ESTACAO:;CAMPOS DO JORDAO
CODIGO (WMO):;A706
LATITUDE:;-22,75027777
LONGITUDE:;-45,60388888
ALTITUDE:;1662,95
DATA DE FUNDACAO:;13/03/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;836,2;836,2;835,8;;18,5;16,1;19,1;18,4;16,1;15,2;86;78;86;336;3,5;1,1;
2026/01/01;0100 UTC;0;836,5;836,6;836,2;;17,7;15,9;18,5;17,6;16,1;15,8;89;86;89;353;3;1;
2026/01/01;0200 UTC;0;836,6;836,7;836,5;;17,1;15,8;17,7;17,1;15,9;15,7;92;89;92;7;1,4;,3;
2026/01/01;0300 UTC;0;836;836,6;836;;16,7;15,8;17,1;16,7;15,9;15,6;95;92;95;341;3,4;1,6;
2026/01/01;0400 UTC;0;835,4;836;835,4;;16,6;15,8;16,7;16,5;15,9;15,7;96;95;95;336;2,6;1,2;
2026/01/01;0500 UTC;0;834,6;835,4;834,6;;16,6;15,9;16,7;16,5;15,9;15,8;96;95;95;339;2,6;1,4;
2026/01/01;0600 UTC;0;834,3;834,7;834,3;;16,4;15,7;16,7;16,2;15,9;15,5;96;95;96;275;2,6;,6;
2026/01/01;0700 UTC;0;834,2;834,4;834,2;;17,9;16,2;17,9;16,4;16,2;15,7;96;90;90;244;3,7;1,1;
2026/01/01;0800 UTC;0;834,1;834,2;833,9;;18;16,3;18;17,8;16,3;16;90;89;90;237;4,4;1,2;
2026/01/01;0900 UTC;0;834,6;834,6;834,1;24,2;17,4;16,4;18;17,4;16,4;16,3;94;90;94;227;5;1,4;
2026/01/01;1000 UTC;0;834,7;834,7;834,5;201,9;18,1;15,9;18,1;17,4;16,4;15,6;94;87;87;225;4,2;,9;
2026/01/01;1100 UTC;0;834,6;834,7;834,6;895,4;19,8;15,6;19,9;18,1;16,3;15,4;87;76;77;215;5;1,2;
2026/01/01;1200 UTC;0;834,8;834,9;834,6;1491,2;21,4;15,2;21,6;19,8;16,4;14,3;77;67;68;225;3,8;1,4;
2026/01/01;1300 UTC;0;835,3;835,3;834,8;2940,3;23,1;16,2;23,5;21,3;16,4;14,3;69;59;65;212;5,8;2;
2026/01/01;1400 UTC;0;835,1;835,3;835,1;3906,9;24,2;17,1;24,3;22,4;17,2;15,4;68;60;64;202;6,5;2,3;
2026/01/01;1500 UTC;0;834,8;835,1;834,8;2906,3;23,1;16,8;24,2;22;18,9;15,7;76;63;68;197;6,5;2;
2026/01/01;1600 UTC;0;834,1;834,8;834,1;2123;23,2;18;24,1;22,4;18,7;16,5;75;66;73;213;4,6;1,1;
2026/01/01;1700 UTC;0;833,2;834,1;833,2;2335,5;23,6;16,9;24,1;22;18,6;16,2;74;65;66;222;4,2;1,3;
2026/01/01;1800 UTC;0;832,6;833,2;832,5;2782,6;25,4;16,3;26,1;23,6;18,5;15,7;68;57;57;176;5,3;1,8;
2026/01/01;1900 UTC;0;832;832,6;831,9;1785,2;23,6;16,6;25,5;23,6;17,4;15,6;67;57;65;178;5,4;1,7;
2026/01/01;2000 UTC;0;831,8;832;831,5;887,2;24,1;17,1;24,7;22,5;17,8;16,1;71;62;65;180;4,7;1,3;
2026/01/01;2100 UTC;0;832,1;832,1;831,8;317,8;21,4;17,1;24,1;21,4;17,4;16,4;77;64;77;201;3,3;,8;
