REGIAO:;SE
UF:;SP
ESTACAO:;OURINHOS
CODIGO (WMO):;A716
LATITUDE:;-23,00055555
LONGITUDE:;-49,84333333
ALTITUDE:;500
DATA DE FUNDACAO:;29/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;1,8;966;966;962,9;1,9;22,5;21,1;24,3;22,5;22,2;19,3;96;74;92;248;11;5,6;
2026/01/01;0100 UTC;2,4;965,7;966;965,6;1;21,4;21;22,5;21,1;21,1;20,5;98;92;98;257;9,8;4,8;
2026/01/01;0200 UTC;4,6;966,4;966,4;965,7;,1;21,7;21,3;21,9;21,4;21,5;21;98;97;98;259;8,5;3,5;
2026/01/01;0300 UTC;4,6;965,2;966,4;965,2;0;21,7;21;21,8;21,2;21,4;20,8;98;96;96;84;6,1;1,1;
2026/01/01;0400 UTC;,8;964,2;965,2;964,2;0;21,6;21,2;21,7;21,5;21,2;21;97;96;97;108;3;0;
2026/01/01;0500 UTC;,2;963,4;964,2;963,4;0;21,5;21,1;21,7;21,5;21,3;20,9;97;96;97;207;3,1;0;
2026/01/01;0600 UTC;0;962,6;963,4;962,6;0;21,3;21;21,6;21,3;21,2;21;98;97;98;176;1,8;,6;
2026/01/01;0700 UTC;0;962;962,6;962;0;21,5;21;21,5;21,2;21,1;20,9;98;97;97;41;3,2;1,8;
2026/01/01;0800 UTC;0;962,1;962,1;961,7;0;21,4;21,1;21,5;21,4;21,1;21;98;97;98;312;3,8;0;
2026/01/01;0900 UTC;0;962,5;962,6;962,1;13,3;21,5;21,2;21,6;21,3;21,2;21;98;98;98;38;1,4;,1;
