REGIAO:;SE
UF:;SP
ESTACAO:;LINS
CODIGO (WMO):;A727
LATITUDE:;-21,66611111
LONGITUDE:;-49,73472221
ALTITUDE:;460,65
DATA DE FUNDACAO:;20/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;1,6;961,7;961,7;960,9;;23,1;20,9;23,5;22,9;20,9;20,3;88;84;88;32;4,3;,1;
2026/01/01;0100 UTC;1,4;962,5;962,5;961,7;;23,2;21,3;23,2;22,9;21,3;20,8;89;87;89;312;2,6;,1;
2026/01/01;0200 UTC;3,2;962,6;962,7;962,3;;23;21,3;23,2;22,9;21,5;21,1;90;89;90;360;2,2;0;
2026/01/01;0300 UTC;2;962,1;962,6;962,1;;22,8;21,1;23,5;22,8;21,9;21,1;91;90;90;177;3,3;1,9;
2026/01/01;0400 UTC;0;961;962,1;961;;22,7;21;22,9;22,7;21,2;20,9;90;89;90;153;4,2;1,9;
2026/01/01;0500 UTC;0;960,5;961;960,4;;23;20,8;23;22,7;21,1;20,8;90;88;88;150;5,4;2;
2026/01/01;0600 UTC;0;959,8;960,5;959,7;;22,7;20,8;23;22,7;20,8;20,7;89;88;89;91;4,6;,3;
2026/01/01;0700 UTC;0;959,6;959,8;959,6;;22,4;20,7;22,7;22,3;20,8;20,6;90;89;90;349;2,4;,1;
2026/01/01;0800 UTC;0;959,8;959,8;959,6;;22,5;20,8;22,6;22,4;20,9;20,7;91;90;90;348;1,5;0;
2026/01/01;0900 UTC;0;960,2;960,2;959,8;11,7;22,5;20,9;22,6;22,4;21;20,9;91;90;91;334;1,7;0;
