REGIAO:;SE
UF:;SP
ESTACAO:;SAO LUIZ DO PARAITINGA
CODIGO (WMO):;A740
LATITUDE:;-23,22833332
LONGITUDE:;-45,41694443
ALTITUDE:;874
DATA DE FUNDACAO:;01/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;916;916;915,5;;23;19,9;23,7;22,9;20,3;19,6;84;78;82;84;2,2;,9;
2026/01/01;0100 UTC;6;917,2;917,4;916;,1;20,6;19,6;23,4;20,6;20,6;19,4;94;81;94;196;8,6;3,5;
2026/01/01;0200 UTC;0;917,1;917,6;917;1;20,1;19,1;20,6;20,1;19,6;19,1;95;94;94;176;7,5;2,5;
2026/01/01;0300 UTC;0;916,2;917,1;916,2;,7;20;19;20,7;20;19,5;18,9;94;91;93;137;5,4;1,7;
2026/01/01;0400 UTC;0;915,5;916,2;915,5;;19,8;18,9;20;19,8;19,2;18,9;95;94;95;68;3,4;,3;
2026/01/01;0500 UTC;0;914,8;915,5;914,8;;19,6;18,7;19,9;19,6;19,1;18,7;96;95;95;90;1,3;,6;
2026/01/01;0600 UTC;0;914,4;914,8;914,4;;19,7;19;19,9;19,6;19,2;18,7;96;95;96;347;1,1;0;
2026/01/01;0700 UTC;0;914,2;914,4;914,2;;19,3;18,7;19,8;19,3;19,1;18,6;97;96;96;5;,7;,1;
2026/01/01;0800 UTC;0;914,2;914,3;914,2;;19,3;18,8;19,3;19,1;18,8;18,6;97;96;97;6;,9;0;
2026/01/01;0900 UTC;0;914,9;914,9;914,2;81,9;19,7;19,1;19,7;19,2;19,1;18,7;97;96;97;326;,8;,1;
2026/01/01;1000 UTC;0;915,2;915,3;914,9;426,8;20,9;20,1;21;19,7;20,1;19,1;97;89;95;146;2,8;,8;
2026/01/01;1100 UTC;0;915;915,2;915;1080,1;23,2;20,9;23,2;20,8;20,9;19,6;95;83;87;114;2,4;,9;
2026/01/01;1200 UTC;0;915,2;915,2;914,9;1448,9;24,2;20,3;24,2;22,7;20,9;19,9;87;79;79;249;2,8;,6;
2026/01/01;1300 UTC;0;915,2;915,3;915,2;3002,8;25,9;19;27,1;24,2;21,3;19;81;64;66;319;6,6;4;
2026/01/01;1400 UTC;0;915;915,3;915;3138,1;27,4;19,7;28,2;25,9;21,4;18,9;71;62;63;322;8,1;3,7;
2026/01/01;1500 UTC;0;914,4;915;914,4;3124,5;28,8;19;29,5;27,3;20,5;18,1;65;53;55;267;8,1;3,5;
2026/01/01;1600 UTC;0;913,6;914,4;913,6;2835,9;29,5;18,8;30,1;28,1;20,5;17,6;59;50;53;279;9,1;2;
2026/01/01;1700 UTC;0;912,6;913,6;912,6;3668,8;30,2;17;31,5;28,9;19,5;16,4;54;42;45;259;10,9;4;
2026/01/01;1800 UTC;0;911,9;912,7;911,9;2654,8;30,2;18,4;31,2;29,2;18,9;15,6;50;43;49;251;8,9;3,4;
2026/01/01;1900 UTC;0;911,1;911,9;911,1;2434,5;30;15,9;30,9;29,1;19,6;15,8;55;42;43;266;8,4;4,6;
2026/01/01;2000 UTC;0;910,9;911,1;910,7;1701;29,9;16,4;30,7;29,7;17,3;15,1;46;40;44;265;8,7;3,6;
2026/01/01;2100 UTC;0;911,4;911,4;910,8;817,9;26,9;19,7;30;26,9;19,7;15,8;65;43;65;326;6,9;4,3;
2026/01/01;2200 UTC;0;911,9;911,9;911,4;97,3;24;19,7;26,9;24;20,2;19,7;77;65;77;293;7,3;3;
2026/01/01;2300 UTC;0;912,4;912,4;911,9;;23,4;19,8;24;23,4;19,8;19,6;80;77;80;316;5,6;3;
2026/01/02;0000 UTC;0;912,6;912,6;912,3;;23;20,1;23,4;22,9;20,1;19,7;84;80;84;341;5;1,5;
2026/01/02;0100 UTC;0;913,2;913,2;912,6;;23,1;19,9;23,1;22,8;20,3;19,9;85;82;82;36;2,5;,1;
2026/01/02;0200 UTC;0;912,9;913,3;912,9;;22,3;19,8;23,3;22,3;20,1;19,8;87;81;86;335;2,6;1,7;
2026/01/02;0300 UTC;8,6;913,6;913,8;912,6;;20,1;19,3;22,3;20;20;18,6;95;86;95;244;11,3;1,6;
2026/01/02;0400 UTC;6,6;913;913,7;913;;20,6;18,8;20,8;20,1;19,6;18,7;96;89;90;306;5,6;2,1;
2026/01/02;0500 UTC;,2;912,1;913;912,1;,4;20,6;18,9;21;20,3;18,9;18,7;91;87;90;297;7,8;4,3;
2026/01/02;0600 UTC;,6;911,6;912,1;911,6;;20;19;20,6;20;19,1;18,8;94;90;94;40;7;,8;
2026/01/02;0700 UTC;,4;911,2;911,7;911,2;;19,8;19,1;20;19,7;19,2;19;96;94;96;69;2,3;1,1;
2026/01/02;0800 UTC;,2;911,3;911,3;911,1;;19,7;19,2;19,8;19,7;19,2;19;97;96;97;186;2,3;,8;
2026/01/02;0900 UTC;0;911,8;911,8;911,2;16,7;19,8;19,3;19,9;19,7;19,3;19,1;97;96;97;87;1,5;,1;
2026/01/02;1000 UTC;,6;912,1;912,1;911,8;173,1;20,2;19,7;20,3;19,8;19,7;19,2;97;97;97;48;2,1;1,4;
2026/01/02;1100 UTC;0;912,3;912,3;912,1;1128,5;22,2;18,8;22,5;20,2;20,7;18,8;97;80;81;356;2,8;1,3;
2026/01/02;1200 UTC;0;912;912,3;912;1609,1;23,6;19,6;24,1;22,2;20,5;18,8;85;75;78;351;4,8;2,7;
2026/01/02;1300 UTC;0;912,1;912,1;912;2767,1;25,9;19,6;26;23,6;20,9;18,6;79;68;68;298;6,9;3,9;
2026/01/02;1400 UTC;0;911,7;912,1;911,6;3121,5;26,4;18,9;27,2;24,8;21;18,9;74;61;63;299;11,9;7,6;
2026/01/02;1500 UTC;0;911,4;911,8;911,4;2945;27,6;19,2;27,9;26,2;20,2;18,5;67;58;60;284;11,9;3;
2026/01/02;1600 UTC;0;910,6;911,4;910,6;2086,6;27,3;19,2;27,8;26,2;20,5;18,3;68;59;61;253;9,5;4;
2026/01/02;1700 UTC;0;909,6;910,6;909,6;2038,3;27,1;19,7;28,4;26,9;20,5;18,9;66;59;64;307;11;3;
2026/01/02;1800 UTC;0;909;909,6;909;1697,7;27,3;18,9;28,9;27,1;20,6;18,5;64;56;60;294;8,7;3;
2026/01/02;1900 UTC;0;908,8;909;908,5;919,3;27,3;19,3;28;27,1;20,2;18,6;64;59;62;288;5,9;2,2;
2026/01/02;2000 UTC;0;908,3;908,8;908,3;614,8;25,7;20,1;27,4;25,7;20,3;19;72;61;71;274;4,8;1,5;
2026/01/02;2100 UTC;15,2;909,5;909,9;908,3;104,4;19,9;19,4;25,7;19,9;20,6;19,3;96;71;96;11;15;1,6;
2026/01/02;2200 UTC;,4;910,6;910,6;909,5;63,3;21;20,4;21,3;19,9;20,8;19,4;97;96;97;184;4;1,8;
2026/01/02;2300 UTC;0;910,9;910,9;910,6;1,5;20,3;19,6;21,5;20,3;20,9;19,6;97;95;96;176;4,1;2,1;
2026/01/03;0000 UTC;0;910,7;910,9;910,7;;19,7;19,1;20,3;19,7;19,6;19,1;97;96;97;120;3,5;1,3;
2026/01/03;0100 UTC;0;911;911,1;910,7;;19,8;19,2;19,9;19,7;19,4;19,2;97;97;97;67;1,2;,2;
2026/01/03;0200 UTC;0;911,4;911,4;911;;19,8;19;20;19,6;19,4;19;97;95;96;143;2;,4;
2026/01/03;0300 UTC;0;911,3;911,4;911,1;;19,7;19,2;19,9;19,7;19,3;19;97;96;97;232;1,6;,2;
2026/01/03;0400 UTC;0;910,8;911,3;910,8;;19,9;19,5;20;19,7;19,5;19,1;97;97;97;287;1,3;0;
2026/01/03;0500 UTC;0;910,4;910,8;910,4;;20,1;19,6;20,1;19,9;19,6;19,4;97;97;97;167;,2;0;
2026/01/03;0600 UTC;0;910,1;910,5;910,1;;20;19,5;20,3;20;19,9;19,5;97;97;97;16;1,6;,1;
2026/01/03;0700 UTC;,2;910,2;910,3;909,9;;19,9;19,4;20,1;19,8;19,6;19,3;97;97;97;97;1,5;,7;
2026/01/03;0800 UTC;0;910,7;910,7;910,2;;20,2;19,8;20,3;19,8;19,8;19,3;97;97;97;155;3,6;,3;
2026/01/03;0900 UTC;0;911,1;911,1;910,7;38,8;20,2;19,7;20,2;20;19,8;19,6;97;97;97;22;2;,1;
2026/01/03;1000 UTC;0;911,4;911,4;911,1;219;21;20,4;21;20,1;20,4;19,7;97;97;97;215;1,4;,2;
2026/01/03;1100 UTC;0;911,7;911,7;911,4;974,2;22,3;20,5;22,4;21;20,6;20;97;87;90;257;3,1;1,3;
