REGIAO:;SE
UF:;SP
ESTACAO:;BARRA BONITA
CODIGO (WMO):;A741
LATITUDE:;-22,4711111
LONGITUDE:;-48,5575
ALTITUDE:;533,68
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;952,5;952,8;952,4;;22,5;21,4;23;22,5;21,7;20,9;93;90;93;242;6,1;,6;
2026/01/01;0100 UTC;0;953,1;953,4;952,5;;23;22,1;23,1;22,4;22,2;21,3;95;93;95;352;4,9;,8;
2026/01/01;0200 UTC;0;953,7;953,7;952,9;;22,7;21,8;23;22,6;22,1;21,7;95;95;95;89;3,1;1,3;
2026/01/01;0300 UTC;0;954,3;954,3;953,6;;23;22;23,1;22,7;22,2;21,8;95;93;94;111;5,4;3,2;
2026/01/01;0400 UTC;0;953,5;954,3;953,5;,3;22,8;21,7;23,1;22,8;22;21,7;94;93;93;122;6,3;2,3;
2026/01/01;0500 UTC;0;952,3;953,5;952,3;;22,3;21,3;22,9;22,3;21,8;21,2;94;93;94;92;4,2;0;
2026/01/01;0600 UTC;0;951,3;952,3;951,3;;21,7;20,8;22,3;21,7;21,3;20,8;95;94;95;226;0;0;
2026/01/01;0700 UTC;0;950,6;951,3;950,6;;21,5;20,8;21,8;21,5;21;20,7;96;95;95;283;1,6;0;
2026/01/01;0800 UTC;0;950,4;950,6;950,3;;21,4;20,6;21,7;21,4;21;20,6;96;95;96;183;2,4;0;
2026/01/01;0900 UTC;0;950,9;950,9;950,4;13,7;21,5;20,8;21,6;21,4;20,9;20,6;96;95;96;179;3;,8;
2026/01/01;1000 UTC;0;951,5;951,5;951;292,7;23,1;22,1;23,1;21,5;22,1;20,9;96;93;94;132;3;1,3;
2026/01/01;1100 UTC;0;952,1;952,1;951,5;992,1;24;21,7;24;23;22,5;21,6;94;87;87;165;5,3;1,9;
2026/01/01;1200 UTC;0;952,3;952,3;952;1770,9;25,2;21;25,9;24;22,2;21;87;77;77;128;5,2;2,6;
2026/01/01;1300 UTC;0;952,1;952,3;952,1;2065,1;26,4;21,5;26,6;25,1;22,2;21;79;74;74;120;5,6;2,4;
2026/01/01;1400 UTC;0;951,8;952,2;951,8;3032,4;29;21,9;29;26,3;22,8;21,3;76;66;66;105;5,9;2,7;
2026/01/01;1500 UTC;0;951;951,8;951;3823,4;30;21,6;30,2;28,7;22,7;20,9;69;59;61;114;7,7;4,3;
2026/01/01;1600 UTC;0;950,2;951,1;950,2;3701,5;31,3;21,3;31,5;29,7;22,3;20,8;61;55;55;117;8,4;4;
2026/01/01;1700 UTC;0;948,6;950,2;948,6;3392,5;32,5;20,4;32,6;30,8;22;20,1;58;49;49;114;9,2;4,4;
2026/01/01;1800 UTC;0;947,5;948,6;947,5;3306,7;33,3;20,2;33,4;31,8;21,6;19,4;52;45;46;95;8,1;4;
2026/01/01;1900 UTC;0;946,5;947,5;946,5;2269,2;33,2;19,3;33,5;32;21,3;18,5;51;42;44;121;8,5;3,9;
2026/01/01;2000 UTC;0;946,5;946,6;946,3;1748,6;32,7;20,1;33,4;32,2;20,1;19;48;44;48;129;9;3,5;
2026/01/01;2100 UTC;0;946,5;946,7;946,4;407,7;31,3;18,8;32,9;31,3;20,6;18,8;51;46;47;115;6,9;3,1;
2026/01/01;2200 UTC;0;947,4;947,4;946,5;35,4;24,2;21,1;31,3;24;22,1;18,5;83;47;83;48;11,4;,3;
2026/01/01;2300 UTC;0;949,8;949,8;947,3;5,8;23,1;20,4;25,8;23,1;22,6;20,4;88;74;85;122;17,7;7;
2026/01/02;0000 UTC;0;949,4;950,2;949,2;;21,7;21,5;23;21,4;21,7;20,6;98;85;98;303;17,7;1,2;
2026/01/02;0100 UTC;0;951;951,4;949,4;;21,4;21,2;22,2;21;21,9;20,8;99;98;99;149;12,5;2,5;
2026/01/02;0200 UTC;0;951,2;951,3;950,9;;21,5;21,2;21,5;21,3;21,3;21,1;99;99;99;134;6,3;1,4;
2026/01/02;0300 UTC;0;950,5;951,3;950,5;;21,6;21,4;21,6;21,4;21,4;21,2;99;98;99;165;4,3;1,9;
2026/01/02;0400 UTC;0;949,1;950,5;949,1;;21,6;21,4;21,7;21,4;21,5;21,2;99;99;99;177;4,3;1;
2026/01/02;0500 UTC;0;947,8;949,1;947,8;;21,4;21,2;21,6;21,1;21,4;20,9;99;99;99;257;3;0;
2026/01/02;0600 UTC;0;947,3;947,8;947,2;;21,3;21,1;21,7;21,1;21,5;20,9;99;99;99;147;1;0;
2026/01/02;0700 UTC;0;947,1;947,3;947;;20,9;20,6;21,5;20,9;21,2;20,6;99;98;98;179;1,8;0;
2026/01/02;0800 UTC;0;947,2;947,2;947;;21,6;21,3;21,6;20,9;21,3;20,6;98;98;98;155;4;,9;
2026/01/02;0900 UTC;0;948,1;948,1;947,2;16,4;21,7;21,1;21,8;21,5;21,4;21;98;97;97;118;5,4;1,1;
2026/01/02;1000 UTC;0;949;949;948,1;184,9;22,5;21,6;22,5;21,7;21,6;21,1;97;95;95;132;3,9;2;
2026/01/02;1100 UTC;0;949,4;949,4;949;473,9;23,1;22;23,1;22,4;22;21,5;95;93;94;136;6,4;2;
2026/01/02;1200 UTC;0;949,6;949,6;949,3;935,9;23,9;21,7;24,1;23;22,3;21,6;94;87;87;140;6,5;2,6;
2026/01/02;1300 UTC;0;949,6;949,7;949,6;978,1;24,5;21,8;24,6;23,9;22,1;21,6;88;84;85;125;6,7;3,4;
2026/01/02;1400 UTC;0;949,1;949,6;949,1;914,1;25,6;22,3;25,6;24,6;22,3;21,7;85;82;82;142;6,7;2,2;
2026/01/02;1500 UTC;0;948,2;949,1;948,2;1562,2;27,2;22,1;27,2;25,5;22,5;21,6;82;73;74;138;6,5;2,7;
2026/01/02;1600 UTC;0;947,7;948,2;947,6;1035,5;24,4;22;28,1;24,4;22,8;21,2;88;69;86;72;6,3;1,4;
2026/01/02;1700 UTC;0;947,1;948;947;75,4;21,7;20,7;24,4;21,6;21,9;20,3;94;86;94;139;10;,6;
2026/01/02;1800 UTC;0;946,6;947,1;946,6;201,2;22,4;21,4;22,4;21,6;21,4;20,7;95;94;95;121;5,3;2,9;
2026/01/02;1900 UTC;0;946,2;946,6;946,2;113,3;22;21,1;22,4;22;21,6;21,1;95;94;95;143;7;3;
2026/01/02;2000 UTC;0;945,4;946,2;945,4;184,8;22;21,3;22,1;21,9;21,3;21,1;96;95;96;151;7;2,3;
