REGIAO:;SE
UF:;SP
ESTACAO:;BARRA DO TURVO
CODIGO (WMO):;A746
LATITUDE:;-24,96277777
LONGITUDE:;-48,41638888
ALTITUDE:;659,89
DATA DE FUNDACAO:;03/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;938,3;938,8;938,3;;20,9;20,6;21,1;20,9;20,8;20,6;98;98;98;14;1,2;0;
2026/01/01;0100 UTC;0;938,7;938,8;938,3;;21,4;21,1;21,5;20,9;21,2;20,6;99;98;98;50;2,7;,6;
2026/01/01;0200 UTC;0;938,7;938,9;938,5;;20,6;20,2;21,4;20,6;21,1;20,2;98;97;97;19;2,7;,1;
2026/01/01;0300 UTC;0;937,9;938,7;937,9;;20,6;20,3;20,7;20,5;20,3;20,1;98;97;98;77;1,4;,1;
2026/01/01;0400 UTC;0;937,4;938;937,4;;20,6;20,2;20,6;20,4;20,3;20;98;97;98;91;2,2;,5;
2026/01/01;0500 UTC;,2;937,1;937,4;937,1;;20,7;20,1;20,8;20,6;20,3;20,1;98;96;97;68;5,2;2;
2026/01/01;0600 UTC;0;936,2;937,1;936,2;;20,7;20,1;20,7;20,6;20,2;20,1;97;97;97;62;5,2;1,4;
2026/01/01;0700 UTC;0;935,6;936,2;935,6;;21,1;20,2;21,1;20,6;20,4;20,1;97;95;95;57;4,8;1,8;
2026/01/01;0800 UTC;0;935,4;935,6;935,3;;21,2;20;21,4;21;20,2;19,9;95;92;92;75;7,3;2,3;
2026/01/01;0900 UTC;0;936;936;935,4;10,3;21;19,9;21,3;21;20;19,8;93;92;93;70;5,6;1,3;
2026/01/01;1000 UTC;0;936,5;936,5;936;102,5;21,3;20,2;21,3;20,9;20,2;19,9;94;93;94;71;4,1;1,5;
2026/01/01;1100 UTC;0;936,7;936,8;936,5;299,6;21,8;20,5;21,8;21,3;20,7;20,2;94;92;93;77;3,5;1,3;
2026/01/01;1200 UTC;0;936,5;936,8;936,5;715,7;22,8;21,1;23;21,8;21,6;20,6;94;90;90;75;3,7;1,5;
2026/01/01;1300 UTC;0;936,2;936,6;936,2;1129,7;23,9;21,3;24;22,8;21,7;21,1;91;85;86;101;4,9;2,7;
2026/01/01;1400 UTC;0;936,1;936,2;936;1157,7;24,5;21,4;24,6;23,9;21,8;21,1;86;83;83;100;5,4;1,9;
2026/01/01;1500 UTC;0;935,3;936,1;935,3;1207,1;26;22,4;26;24,4;22,4;21,1;85;79;81;85;5,9;1,9;
2026/01/01;1600 UTC;0;934,7;935,3;934,7;2081,6;27,2;22,3;27,4;25,7;22,6;21,4;81;72;75;97;5,5;2,1;
2026/01/01;1700 UTC;0;934,1;934,7;934,1;2323,8;28,7;23,4;28,7;27,2;23,4;21,7;75;67;73;119;5,1;,9;
2026/01/01;1800 UTC;,2;933,1;934,1;933,1;2077,6;29;23,5;29,3;27,4;24,6;21,6;82;65;72;92;4,3;1;
2026/01/01;1900 UTC;0;932,2;933,1;932,1;2299,6;29,9;21;30,8;29;23,8;21;73;58;59;9;3,8;1;
2026/01/01;2000 UTC;0;932,7;932,7;931,9;656,7;24,4;21,4;30,1;24,4;22,6;20,7;83;58;83;82;7,3;2,8;
2026/01/01;2100 UTC;1,2;933,3;933,4;932,6;98,1;22,5;21;24,4;22,5;21,6;20,9;92;83;91;50;6,6;,8;
2026/01/01;2200 UTC;0;933,6;933,8;933,3;23,5;22,8;21;22,9;22,1;21,4;21;95;89;90;53;6,5;2,4;
2026/01/01;2300 UTC;1,2;933,4;933,6;932,7;;21,5;20,2;23;21,2;21;19,9;95;85;92;53;6,7;1,3;
2026/01/02;0000 UTC;0;933,9;934,2;933,4;;20,6;20,1;21,6;20,6;20,3;20;97;92;97;336;4,3;0;
2026/01/02;0100 UTC;0;934,2;934,4;933,9;;21,7;21,2;21,7;20,6;21,2;20,1;98;97;97;72;4,6;2;
2026/01/02;0200 UTC;0;934,2;934,4;934,1;;22,1;20,6;22,6;21,7;21,4;20,4;97;90;92;63;4,8;1,7;
2026/01/02;0300 UTC;0;933,8;934,2;933,8;;21,4;20,6;22,1;21;20,7;20,2;96;91;95;78;3,8;,9;
2026/01/02;0400 UTC;0;933,5;933,9;933,5;;20,3;19,8;21,4;20,3;20,5;19,8;97;95;97;110;2,6;0;
2026/01/02;0500 UTC;0;933;933,5;933;;20;19,7;20,5;20;20,1;19,6;98;97;98;145;,8;0;
2026/01/02;0600 UTC;0;932,4;933;932,3;;19,9;19,7;20,1;19,8;19,8;19,5;99;98;99;62;1,3;,1;
2026/01/02;0700 UTC;0;932,1;932,5;932,1;;20,5;20,4;20,5;19,9;20,4;19,7;99;99;99;99;2,1;,4;
2026/01/02;0800 UTC;0;932,2;932,3;932,1;;20,5;20,1;20,9;20;20,6;19,8;99;97;98;77;3,5;,5;
2026/01/02;0900 UTC;0;932,9;932,9;932,2;23;20,5;20,1;20,7;20,3;20,3;19,9;98;97;98;92;2,7;,1;
2026/01/02;1000 UTC;,2;933,5;933,5;932,8;214,2;21,4;20,7;21,8;20,4;21,1;20;98;95;96;290;3,5;,5;
2026/01/02;1100 UTC;0;933,5;933,6;933,4;656,1;23,4;21,2;23,4;21,4;21,8;20,7;97;86;88;58;5,1;1,7;
2026/01/02;1200 UTC;0;933,9;933,9;933,4;1152,3;24,6;21,1;24,8;23,1;22;21;89;81;81;50;5,1;1,8;
