REGIAO:;SE
UF:;SP
ESTACAO:;ITUVERAVA
CODIGO (WMO):;A753
LATITUDE:;-20,35972222
LONGITUDE:;-47,77527777
ALTITUDE:;610,58
DATA DE FUNDACAO:;17/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;943,7;943,7;943,2;;25,1;20,7;25,1;24,2;20,8;19,5;77;73;77;89;2,1;,8;
2026/01/01;0100 UTC;0;944,6;944,7;943,7;;23,6;21,1;26;23,6;21,5;20,7;86;75;86;21;4,1;1,4;
2026/01/01;0200 UTC;0;946,3;946,3;944,3;2,4;21,3;21,3;23,7;20,5;22,3;20;100;85;100;349;18,5;3,6;
2026/01/01;0300 UTC;0;945,5;946,6;945,5;;21,1;21,1;21,3;21,1;21,3;21,1;100;100;100;151;8,3;1,5;
2026/01/01;0400 UTC;0;945;945,5;944,9;;21;21;21,2;21;21,2;21;100;100;100;72;2,4;1;
2026/01/01;0500 UTC;0;944;945;943,8;;21,1;21,1;21,1;21;21,1;21;100;100;100;232;4,3;,7;
2026/01/01;0600 UTC;0;943,7;944,1;943,7;;21;21;21,1;20,9;21,1;20,9;100;100;100;269;2,1;1,5;
2026/01/01;0700 UTC;0;943,4;943,7;943,4;;20,9;20,9;21;20,7;21;20,7;100;100;100;61;2,1;,9;
2026/01/01;0800 UTC;0;943,3;943,4;943,2;;20,4;20,4;20,9;20,4;20,9;20,4;100;100;100;189;1,8;,6;
2026/01/01;0900 UTC;0;943,5;943,6;943,3;13;20,5;20,5;20,5;20,1;20,5;20,1;100;100;100;45;1,7;,6;
2026/01/01;1000 UTC;0;943,9;944;943,5;227,7;21,2;21,2;21,2;20,4;21,2;20,4;100;100;100;297;1,2;,5;
2026/01/01;1100 UTC;0;944,1;944,1;943,9;1259,5;24,1;21,9;24,1;21,1;23,8;21,1;100;88;88;310;2,3;1,4;
2026/01/01;1200 UTC;0;944,2;944,2;944;2210,5;26,1;21,3;26,3;24,1;22,4;20,9;89;75;75;290;3,9;1,8;
2026/01/01;1300 UTC;0;944,5;944,5;944,2;2881,1;27,4;21,2;27,8;26;22,7;20,7;77;68;69;285;4,1;1,7;
