REGIAO:;SE
UF:;SP
ESTACAO:;BEBEDOURO
CODIGO (WMO):;A764
LATITUDE:;-20,94805555
LONGITUDE:;-48,47138888
ALTITUDE:;542
DATA DE FUNDACAO:;27/10/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;951,2;951,2;950,8;;24,3;22,9;25,3;24,2;23,4;22,7;94;85;92;164;1,5;,3;
2026/01/01;0100 UTC;0;951,9;952;951,1;;25;23;25;23,5;23,2;22,9;97;89;89;234;8,3;2,6;
2026/01/01;0200 UTC;0;952,5;952,9;951,9;;24,3;21,5;25,4;24,3;22,9;21,1;88;82;84;237;10,5;3,9;
2026/01/01;0300 UTC;0;952,3;952,5;952,1;;22,6;21,2;24,3;22,6;21,8;21,1;92;84;92;219;10,5;1,9;
2026/01/01;0400 UTC;0;951,9;952,3;951,9;;22,6;21,9;22,7;22,3;21,9;21,1;96;91;96;197;4,3;1,4;
2026/01/01;0500 UTC;0;951,6;951,9;951,5;;22,8;21,4;22,9;22,2;21,9;21,2;96;91;92;99;4,8;1,8;
2026/01/01;0600 UTC;0;950,8;951,6;950,8;;22,5;21,5;22,8;22,5;21,7;21,4;94;92;94;142;4,8;1;
2026/01/01;0700 UTC;0;950,3;950,9;950,3;;21,5;21,2;22,5;21,5;21,6;21,2;98;94;98;152;2,8;,4;
2026/01/01;0800 UTC;0;950,4;950,4;950,1;;21,8;21,7;21,8;21,4;21,7;21,1;99;98;99;341;1,6;,8;
2026/01/01;0900 UTC;0;950,9;950,9;950,4;11,7;22,3;21,8;22,4;21,7;21,8;21,4;99;97;97;2;1,9;1;
