REGIAO:;S
UF:;PR
ESTACAO:;JOAQUIM TAVORA
CODIGO (WMO):;A821
LATITUDE:;-23,50527777
LONGITUDE:;-49,94638888
ALTITUDE:;512,67
DATA DE FUNDACAO:;23/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;955,4;955,4;954,1;1,7;21,1;;21,8;20,9;;;;;;237;5,7;0;
2026/01/01;0100 UTC;;956,6;956,6;955,4;,4;21,5;;21,6;20,6;;;;;;214;0;0;
2026/01/01;0200 UTC;;956,7;957;956,6;;21,4;;21,6;21,4;;;;;;236;0;0;
2026/01/01;0300 UTC;;955,6;956,7;955,6;;21,4;;21,4;21,3;;;;;;208;0;0;
2026/01/01;0400 UTC;;954,7;955,6;954,7;;21,2;;21,4;21,2;;;;;;208;0;0;
2026/01/01;0500 UTC;;954;954,7;954;;21,1;;21,2;21,1;;;;;;205;0;0;
2026/01/01;0600 UTC;;953,2;954;953,2;;21,4;;21,4;21,1;;;;;;206;0;0;
2026/01/01;0700 UTC;;952,4;953,2;952,4;;21;;21,4;21;;;;;;222;0;0;
2026/01/01;0800 UTC;;952,4;952,4;952,2;;21,2;;21,2;20,9;;;;;;220;0;0;
2026/01/01;0900 UTC;;952,9;952,9;952,4;11;21,3;;21,3;21,2;;;;;;239;0;0;
2026/01/01;1000 UTC;;953,5;953,5;952,9;281,8;21,8;;21,9;21,3;;;;;;239;0;0;
2026/01/01;1100 UTC;;953,8;953,9;953,5;643,2;22,8;;22,9;21,8;;;;;;236;0;0;
2026/01/01;1200 UTC;;953,8;953,9;953,7;1287,7;24,3;23,3;24,8;22,8;;;;;94;229;1,8;0;
2026/01/01;1300 UTC;;953,7;954;953,7;2687,4;27;23,3;27,2;24,1;24,2;22;95;77;80;216;5,2;0;
2026/01/01;1400 UTC;;953,3;953,7;953,3;2687,6;28,3;22,8;28,5;26,6;23,4;22;81;70;72;210;6,8;2,5;
2026/01/01;1500 UTC;;952,4;953,3;952,4;3026,6;29,3;23,2;29,3;27,8;23,8;21,9;75;67;70;211;6,8;2,1;
2026/01/01;1600 UTC;;951,5;952,4;951,5;3579,1;29,5;21,9;30,3;28,8;23,8;21,7;71;62;64;208;7,5;3,9;
2026/01/01;1700 UTC;;950,4;951,5;950,4;3429,3;29,5;21,1;31;29,2;23,1;21,1;66;60;61;209;9;1,5;
2026/01/01;1800 UTC;;949,8;950,4;949,8;2284,4;30,5;21,9;31,2;29,3;23,2;21,2;65;59;60;207;8,2;2,3;
2026/01/01;1900 UTC;;949,4;949,8;949;916,3;28,9;22,3;30,5;28,9;22,4;21,2;68;60;68;223;6,4;0;
2026/01/01;2000 UTC;;950,2;950,2;949;132,5;22,7;20,9;28,8;22,7;22,4;20,7;90;67;90;207;10,7;0;
2026/01/01;2100 UTC;;950;950,2;949,6;37,2;22,2;21,3;22,7;22;21,3;20,7;95;90;95;224;0;0;
2026/01/01;2200 UTC;;950;950,1;949,7;45;22,3;21,8;22,3;22,1;22,1;21,3;99;95;97;230;0;0;
2026/01/01;2300 UTC;;950,6;950,6;950;,4;22;21,6;22,3;22;21,9;21,4;98;96;97;205;0;0;
2026/01/02;0000 UTC;;950,5;950,7;950,5;;21,7;21,7;22,3;21,7;21,8;21,1;100;95;100;239;0;0;
2026/01/02;0100 UTC;;951,2;951,2;950,5;;21,6;;21,7;21,6;;;;;;237;0;0;
2026/01/02;0200 UTC;;951,3;951,4;951,2;;21,8;;22;21,6;;;;;;205;0;0;
2026/01/02;0300 UTC;;950,9;951,3;950,9;;22;;22;21,6;;;;;;229;0;0;
2026/01/02;0400 UTC;;950,1;950,9;950,1;;21,8;;22,1;21,8;;;;;;232;0;0;
2026/01/02;0500 UTC;;949,5;950,1;949,5;;21,5;20,9;22,2;21,5;;;;;96;208;0;0;
2026/01/02;0600 UTC;;948,8;949,5;948,7;;21,7;;22;21,5;;;;;;223;0;0;
2026/01/02;0700 UTC;;948,8;948,9;948,7;;22,3;;22,4;21,7;;;;;;218;0;0;
2026/01/02;0800 UTC;;949;949;948,6;0;22,3;21,5;22,4;22,2;22,3;21,5;100;95;95;206;0;0;
2026/01/02;0900 UTC;;950;950;949;7,5;22,4;21,6;22,4;22,2;21,6;21,4;95;95;95;205;0;0;
2026/01/02;1000 UTC;;950,4;950,5;950;108;22,9;21,9;22,9;22,4;22;21,6;95;94;94;211;0;0;
2026/01/02;1100 UTC;;950,7;950,7;950,4;617,1;24;21,9;24;22,9;22,4;21,9;94;88;88;208;0;0;
2026/01/02;1200 UTC;;950,7;950,7;950,6;1210,1;25,2;21,9;25,9;23,9;23;21,8;90;80;82;224;0;0;
2026/01/02;1300 UTC;;950,6;950,7;950,5;790,4;25,1;22,1;25,4;24,6;22,7;21,8;86;82;83;212;0;0;
2026/01/02;1400 UTC;;950,2;950,7;950,2;1126,7;25,5;23,2;25,6;24,4;23,5;22;91;83;87;217;4,3;0;
2026/01/02;1500 UTC;;949,9;950,3;949,9;1789;25,9;23,5;26,1;23,8;23,9;22,2;94;83;87;219;5,3;,9;
2026/01/02;1600 UTC;;948,9;949,9;948,9;2913,1;27,6;23;28,1;25,8;24;22,4;87;74;76;209;6,7;0;
2026/01/02;1700 UTC;;948,6;949,2;948,6;1324,9;21,7;20,8;28;21,7;23,3;20,5;95;72;94;211;8,1;3,6;
2026/01/02;1800 UTC;;947,7;948,6;947,7;638,6;23,2;21,4;23,5;21,7;21,8;20,7;95;89;90;215;8,1;,1;
2026/01/02;1900 UTC;;947,5;948,1;947,5;695,6;23,7;21,1;23,9;23,2;22;20,7;90;84;85;239;3,9;0;
2026/01/02;2000 UTC;;946,4;947,5;946,4;754,3;24,9;22,7;25,1;23,7;22,7;20,8;87;83;87;209;4,1;,4;
2026/01/02;2100 UTC;;945,9;946,4;945,7;540,7;24,7;22,3;25,1;24,7;22,8;22,3;88;86;86;205;4,5;0;
2026/01/02;2200 UTC;;946,7;946,7;945,9;116;23,6;22,4;24,7;23,6;22,5;22,3;93;86;93;234;2,1;0;
2026/01/02;2300 UTC;;947,7;947,7;946,6;,5;23,3;22,4;23,6;23,2;22,4;22,2;94;93;94;225;0;0;
2026/01/03;0000 UTC;;948,2;948,2;947,7;;23;22,3;23,4;22,9;22,9;22,1;99;94;96;239;0;0;
2026/01/03;0100 UTC;;948,8;948,8;948,1;;22,8;21,7;23,1;22,8;22,3;21,7;96;94;94;220;0;0;
2026/01/03;0200 UTC;;949,2;949,2;948,8;;22,4;21,9;22,7;22,2;21,9;21,4;97;94;97;205;0;0;
2026/01/03;0300 UTC;;949,1;949,2;948,9;;22,5;21,5;22,6;22,4;21,9;21,5;97;94;94;206;0;0;
2026/01/03;0400 UTC;;948,9;949,1;948,9;;22,4;22,3;22,5;22,4;22,3;21,5;99;94;99;231;0;0;
2026/01/03;0500 UTC;;949;949;948,8;;22,2;;22,4;22,2;;;;;;219;0;0;
2026/01/03;0600 UTC;;949;949,2;949;;22,3;;22,3;22,2;;;;;;208;0;0;
2026/01/03;0700 UTC;;949;949;948,8;;22,4;;22,4;22,3;;;;;;216;0;0;
2026/01/03;0800 UTC;;948,9;949;948,8;;22,5;;22,5;22,4;;;;;;223;0;0;
2026/01/03;0900 UTC;;949,2;949,2;948,9;7;22,6;;22,6;22,4;;;;;;207;,6;0;
2026/01/03;1000 UTC;;949,8;949,8;949,2;146;23,2;22,3;23,2;22,6;;;;;95;211;,6;0;
2026/01/03;1100 UTC;;950,1;950,2;949,8;450,1;24;22,3;24;23,2;22,6;22,1;95;90;90;208;2,3;0;
2026/01/03;1200 UTC;;950,6;950,6;950,1;1007;24,9;21,8;25;24;22,7;21,8;90;83;83;206;2;0;
2026/01/03;1300 UTC;;950,7;950,8;950,6;1347,6;26;22,5;26,1;24,9;22,6;21,4;85;79;81;214;2,9;0;
2026/01/03;1400 UTC;;950,7;950,8;950,7;2621,7;27,4;21,9;28,1;26;22,9;21,1;82;70;72;220;0;0;
2026/01/03;1500 UTC;;950,2;950,7;950,2;2966,8;28,7;21,7;28,8;27,3;23,5;21;76;65;66;217;6,5;0;
2026/01/03;1600 UTC;;949,8;950,2;949,8;3297,8;29,6;21;30,1;28;22,8;21;69;60;60;211;5,8;1,6;
2026/01/03;1700 UTC;;949,6;949,8;949,6;2576,2;29,5;22,2;30,5;29;23,5;20,2;69;58;65;214;5,9;0;
2026/01/03;1800 UTC;;949,1;949,6;949,1;3037,7;30;21,9;30,9;29,4;23,4;21,2;68;57;62;212;5,9;,7;
2026/01/03;1900 UTC;;948,3;949,1;948,3;1226,4;29;22,5;30;28,9;22,6;21,5;68;61;68;208;5,9;,7;
2026/01/03;2000 UTC;;948,2;948,3;947,8;1632,1;28,6;22;30,5;28,6;23,2;21,6;68;60;67;213;5,5;0;
2026/01/03;2100 UTC;;947,9;948,2;947,8;739,1;28;19,2;29;28;22,3;18,8;68;56;59;207;3,4;,4;
2026/01/03;2200 UTC;;948,4;948,4;947,8;80,6;25,9;21,4;28;25,8;21,4;19,1;77;59;77;215;3,4;0;
2026/01/03;2300 UTC;;948,9;948,9;948,4;8,2;24,7;20,2;25,8;23,9;21,8;20,2;86;76;76;211;0;0;
2026/01/04;0000 UTC;;949,4;949,4;948,9;;22,9;20,8;24,8;22,3;21,3;20,2;91;76;88;206;0;0;
2026/01/04;0100 UTC;;950,2;950,2;949,4;;21,8;20,7;22,9;21,4;21,1;20,2;94;87;93;234;0;0;
2026/01/04;0200 UTC;;950,7;950,8;950,3;;21,5;21,5;21,8;20,7;21,5;19,9;100;93;100;235;0;0;
2026/01/04;0300 UTC;;950,9;950,9;950,6;;20,7;20,7;21,5;20,4;21,4;20;100;96;100;238;0;0;
2026/01/04;0400 UTC;;950,7;950,9;950,7;;20,5;;20,9;20,1;;;;;;239;0;0;
2026/01/04;0500 UTC;;950,6;950,8;950,5;;20,6;;21,9;20,5;;;;;;225;0;0;
