REGIAO:;S
UF:;PR
ESTACAO:;PLANALTO
CODIGO (WMO):;A855
LATITUDE:;-25,72194443
LONGITUDE:;-53,74805555
ALTITUDE:;399,1
DATA DE FUNDACAO:;07/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;964,6;964,6;964,1;;23,9;23,2;24,3;23,9;23,4;23,2;96;94;96;37;2,6;,4;
2026/01/01;0100 UTC;0;964,7;964,7;964,4;;23,8;23,5;24;23,6;23,5;23,2;98;96;98;43;2,2;,5;
2026/01/01;0200 UTC;0;965,8;965,8;964,7;;23,4;23,1;23,9;23,4;23,5;23,1;98;98;98;95;2,7;2,2;
2026/01/01;0300 UTC;0;965,5;965,8;965,5;;23,2;22,8;23,4;23,2;23,1;22,8;98;98;98;89;3,1;1,6;
2026/01/01;0400 UTC;0;964,6;965,5;964,6;;22,9;22,6;23,2;22,9;22,8;22,6;98;98;98;98;2;1,2;
2026/01/01;0500 UTC;0;964,1;964,7;964,1;;23;22,5;23;22,9;22,7;22,5;98;97;97;56;2,2;,8;
2026/01/01;0600 UTC;,6;963,6;964,1;963,6;;22,8;22;23;22,8;22,5;22;97;95;96;9;1,8;1;
2026/01/01;0700 UTC;1,8;963,5;963,6;963,4;42,1;22,6;22,2;22,8;22,5;22,2;22;97;96;97;350;2;,1;
2026/01/01;0800 UTC;0;963,5;963,5;963,1;;22,5;22,2;22,7;22,4;22,2;22,1;98;97;98;99;1,8;1;
2026/01/01;0900 UTC;,4;963,9;963,9;963,5;4;22,5;22,1;22,6;22,4;22,3;22,1;98;98;98;50;1,9;,4;
2026/01/01;1000 UTC;0;964,4;964,4;963,8;;22,7;22,4;22,7;22,4;22,4;22,1;98;98;98;48;1,8;0;
2026/01/01;1100 UTC;0;964,9;964,9;964,4;;23,4;22,6;23,4;22,7;22,7;22,4;98;95;95;333;3,4;2,2;
2026/01/01;1200 UTC;0;964,9;965;964,8;;23,9;22,9;24,1;23,4;23,1;22,4;95;93;94;311;4,3;2,4;
2026/01/01;1300 UTC;0;964,8;964,9;964,7;;24,4;23,4;24,5;23,6;23,5;22,7;95;94;94;323;4,1;1,9;
2026/01/01;1400 UTC;,2;964,5;964,9;964,5;;26,3;24,5;26,3;24,4;24,7;23,3;94;90;90;287;4,9;3,1;
2026/01/01;1500 UTC;3;963,8;964,5;963,8;301,3;26,2;24,4;27;24,8;25,6;22,9;93;84;90;290;8,4;4,2;
2026/01/01;1600 UTC;0;963,1;963,9;963;;26,6;24;27,9;26,2;25,5;23,8;91;82;86;298;9,5;5,5;
2026/01/01;1700 UTC;1,2;962,2;963,1;962,2;;27,3;24,7;27,9;25,7;26,1;23,7;92;84;86;209;8,2;3,4;
2026/01/01;1800 UTC;0;961,7;962,2;961,7;;27,3;24,7;27,3;26,3;25;23,8;88;84;86;185;5,6;2,5;
2026/01/01;1900 UTC;17;962;962,5;961,4;259,7;21,6;21,6;28;21,3;;;;;100;256;17,6;2,8;
2026/01/01;2000 UTC;1;961;962,2;960,7;137,7;21,8;21,7;22,1;21,6;22,1;21,5;100;99;100;94;8;,7;
2026/01/01;2100 UTC;0;961,3;961,3;960,7;;22,2;22;22,3;21,7;22,2;21,7;100;99;99;74;2,9;1,1;
2026/01/01;2200 UTC;0;961,8;961,8;961,2;;22,1;21,7;22,3;22,1;22,1;21,7;99;98;98;1;3,8;,9;
2026/01/01;2300 UTC;,4;962,2;962,4;961,6;;22,1;21,8;22,2;22;21,9;21,7;98;98;98;151;2,4;,3;
2026/01/02;0000 UTC;0;962,3;962,3;961,7;;21,8;21,6;22,1;21,8;21,8;21,6;99;98;99;105;2,9;1,5;
2026/01/02;0100 UTC;,2;962,7;962,7;962;;21,6;21,4;21,8;21,6;21,6;21,4;99;99;99;131;2,2;,8;
2026/01/02;0200 UTC;0;962,5;962,8;962,3;;21,4;21,2;21,7;21,3;21,4;21,2;99;99;99;93;1,8;0;
2026/01/02;0300 UTC;0;961,9;962,7;961,8;;21,3;21,1;21,6;21,3;21,4;21,1;99;99;99;84;1,6;0;
2026/01/02;0400 UTC;0;962,1;962,3;961,8;;21,5;21,3;21,5;21,2;21,3;21;99;99;99;235;2,3;1,3;
2026/01/02;0500 UTC;0;961,6;962,1;961,6;;21,3;21;21,7;21,3;21,4;21;99;98;98;70;2,5;0;
2026/01/02;0600 UTC;0;961,6;961,7;961,4;;21;20,8;21,3;21;21;20,8;99;98;99;73;0;0;
2026/01/02;0700 UTC;0;961,7;961,9;961,6;;20,7;20,5;21,2;20,7;20,9;20,5;99;98;99;110;0;0;
2026/01/02;0800 UTC;0;961,6;961,7;961,4;;20,8;20,6;20,9;20,6;20,7;20,4;99;99;99;118;0;0;
2026/01/02;0900 UTC;0;962,1;962,1;961,6;;20,4;20,3;20,8;20,2;20,6;20,1;99;99;99;130;0;0;
2026/01/02;1000 UTC;0;962,9;962,9;962,1;;21,4;21,4;21,4;20,4;21,4;20,3;100;99;100;309;0;0;
2026/01/02;1100 UTC;0;963,5;963,6;962,8;;22,2;22,2;22,2;21,4;22,2;21,4;100;100;100;115;0;0;
2026/01/02;1200 UTC;0;963,4;963,5;963,3;;23,4;22,2;23,7;22,2;23,6;22;100;93;93;224;2,3;,4;
2026/01/02;1300 UTC;0;963,2;963,4;963,1;;24,4;22;24,4;23,4;22,5;21,6;93;86;86;221;2,8;,5;
2026/01/02;1400 UTC;0;962,4;963,2;962,4;;26,5;22,7;26,8;24,2;23,2;21,6;87;79;80;211;3,2;,2;
2026/01/02;1500 UTC;0;962,2;962,6;962,2;;27,1;22,7;28,2;26,5;24;22,2;81;75;77;250;5,1;1,9;
2026/01/02;1600 UTC;,2;961,5;962,2;961,5;;28,7;23,3;29;27,1;24;21,8;80;69;73;309;4,2;,8;
2026/01/02;1700 UTC;0;960,6;961,5;960,6;;30,5;23,2;30,5;28,6;24,5;22;74;63;65;219;5,5;,9;
2026/01/02;1800 UTC;0;959,8;960,6;959,8;;30,8;23,6;30,8;29,4;24,5;22,2;71;62;66;258;8,2;4,6;
2026/01/02;1900 UTC;0;958,7;959,8;958,7;;31,2;21,8;31,4;30,2;23,7;21,5;65;57;57;236;7,4;3,1;
2026/01/02;2000 UTC;0;958,4;958,7;958,4;;31,5;21,1;31,7;30,3;22,6;20,3;61;52;54;241;5,6;2,2;
