REGIAO:;S
UF:;PR
ESTACAO:;JAPIRA
CODIGO (WMO):;A871
LATITUDE:;-23,77333332
LONGITUDE:;-50,18055554
ALTITUDE:;692,88
DATA DE FUNDACAO:;29/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;935,5;935,5;933,9;2,4;21,7;20,9;21,8;21,3;20,9;19,8;95;89;95;199;5,3;3,5;
2026/01/01;0100 UTC;5,6;937;937;935,5;1,9;21,1;20,4;21,7;21;21;20,4;96;95;96;103;5,3;0;
2026/01/01;0200 UTC;22,6;936,8;937,7;936,8;3,4;19,6;19;21,1;19,6;20,4;19;97;96;97;90;9,2;0;
2026/01/01;0300 UTC;7,2;935,9;936,8;935,9;;19,8;19,2;19,9;19,6;19,4;19;97;96;96;69;3,2;,2;
2026/01/01;0400 UTC;2,6;935;935,9;935;;20;19,4;20;19,8;19,4;19,2;97;96;97;51;2,6;0;
2026/01/01;0500 UTC;1,2;934,3;935;934,3;;20,1;19,5;20,1;19,9;19,5;19,4;97;97;97;260;0;0;
2026/01/01;0600 UTC;0;933,7;934,3;933,7;;20;19,5;20,1;19,9;19,5;19,4;97;97;97;141;0;0;
2026/01/01;0700 UTC;0;932,9;933,7;932,9;;19,8;19,3;20;19,8;19,5;19,3;97;97;97;31;0;0;
2026/01/01;0800 UTC;0;932,9;932,9;932,8;;19,8;19,3;19,9;19,8;19,4;19,2;97;97;97;69;3,2;0;
2026/01/01;0900 UTC;0;933,3;933,3;932,9;15,1;19,9;19,4;19,9;19,8;19,4;19,3;97;97;97;66;0;0;
