REGIAO:;S
UF:;PR
ESTACAO:;VENTANIA
CODIGO (WMO):;A872
LATITUDE:;-24,28027777
LONGITUDE:;-50,21027777
ALTITUDE:;1093,41
DATA DE FUNDACAO:;15/04/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;893,5;893,5;892,8;;20,7;;21,5;20,7;;;;;;43;3,4;2;
2026/01/01;0100 UTC;0;894,1;894,1;893,5;;20,6;20,6;20,8;20,6;;;;;100;42;3,1;2,1;
2026/01/01;0200 UTC;,8;894,6;894,7;894;;19,5;;20,6;19,4;;;;;;334;8,3;3,1;
2026/01/01;0300 UTC;8,6;894;894,6;893,9;;19;;19,6;18,6;;;;;;16;8,3;1,9;
2026/01/01;0400 UTC;1,4;893,3;894,1;893,3;;18,6;;19;18,5;;;;;;16;4,2;1,3;
2026/01/01;0500 UTC;0;892,7;893,3;892,7;;18,4;;18,7;18,4;;;;;;47;2,7;1,6;
2026/01/01;0600 UTC;0;891,7;892,7;891,7;;18,3;;18,5;18,3;;;;;;44;2,9;2,1;
2026/01/01;0700 UTC;0;891,3;891,7;891,2;;18,1;;18,3;18,1;;;;;;32;3,6;2;
2026/01/01;0800 UTC;0;891,5;891,5;891,1;;18,3;;18,3;18,1;;;;;;27;3,8;1,2;
2026/01/01;0900 UTC;0;891,8;891,8;891,4;13,6;18,9;;18,9;18,2;;;;;;322;4,5;2,6;
2026/01/01;1000 UTC;0;892;892,1;891,7;185,3;19,9;19,9;19,9;18,9;;;;;100;307;5,2;3,1;
2026/01/01;1100 UTC;0;892;892,1;892;913,5;22;20,9;22;19,9;20,9;19,9;100;93;94;314;7,2;4,7;
2026/01/01;1200 UTC;0;892,4;892,5;892;1360,7;21,6;20,5;22,1;21,5;21,1;20,4;95;92;94;303;7,8;3,3;
2026/01/01;1300 UTC;,2;892,5;892,6;892,4;1901,2;23,2;21,2;23,3;21,6;21,6;20,6;95;88;88;308;7,4;4,3;
2026/01/01;1400 UTC;0;892,2;892,5;892,2;2663,5;24,4;21,6;25;22,8;22,6;20,8;91;83;84;304;7,9;5,1;
2026/01/01;1500 UTC;0;891,4;892,2;891,4;2356,3;24,9;21,7;25;23,7;22,4;21,3;89;82;82;293;8,7;5;
2026/01/01;1600 UTC;0;890,6;891,4;890,5;3321,3;24,3;21;26,7;24,3;22,3;20,5;83;74;82;315;8,7;4,7;
2026/01/01;1700 UTC;0;890,1;890,8;890,1;1199,3;24,5;21,3;25;23;22,6;21;92;82;82;305;8,6;4,8;
2026/01/01;1800 UTC;0;889,5;890,2;889,5;1859,5;24,4;21,1;25,7;24,1;22,2;20,7;84;79;82;317;8,3;4,3;
2026/01/01;1900 UTC;0;889,5;889,6;889,3;489,8;21,4;20,9;24,5;21,4;21,8;20,8;97;82;97;296;11,7;5,4;
2026/01/01;2000 UTC;1,2;888,9;889,6;888,9;66,8;19,4;;21,4;19,4;20,9;19,5;100;97;;270;11,7;5,5;
2026/01/01;2100 UTC;,6;888,7;888,9;888,4;200,1;19,7;;19,7;19,4;;;;;;253;9,7;3,8;
2026/01/01;2200 UTC;0;889,2;889,2;888,6;169,3;19,7;;19,7;19,6;;;;;;275;6,5;2,7;
