REGIAO:;S
UF:;PR
ESTACAO:;CLEVELANDIA
CODIGO (WMO):;A876
LATITUDE:;-26,41722221
LONGITUDE:;-52,3486111
ALTITUDE:;966,06
DATA DE FUNDACAO:;15/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,6;904;904;903,6;1;20,8;20,3;21,7;20,8;21,2;20,3;99;94;97;315;6,5;2,3;
2026/01/01;0100 UTC;0;904,3;904,3;904;1,5;20,7;20,7;20,9;20,5;20,7;19,9;100;95;100;4;4,7;2,1;
2026/01/01;0200 UTC;0;905;905,1;904,3;;20,6;20,4;20,9;20,6;20,9;20,4;100;98;99;353;5,9;2,5;
2026/01/01;0300 UTC;,2;904,6;905;904,5;0;20;19,9;20,6;20;20,3;19,9;99;98;99;351;6,7;2,9;
2026/01/01;0400 UTC;0;903,6;904,6;903,6;,2;19,9;19,9;20;19,9;19,9;19,8;100;99;100;344;5,3;3;
2026/01/01;0500 UTC;0;903,1;903,7;903,1;;19,9;19,9;20;19,9;20;19,9;100;100;100;344;5,8;2,7;
2026/01/01;0600 UTC;0;902,8;903,1;902,7;;19,9;19,8;20;19,9;20;19,8;100;99;100;335;5,5;2,7;
2026/01/01;0700 UTC;0;902,6;902,9;902,6;,4;19,7;19,6;19,9;19,7;19,9;19,6;100;99;99;332;6,4;3,3;
2026/01/01;0800 UTC;0;902,9;902,9;902,5;;19,6;19,6;19,7;19,6;19,6;19,6;100;99;100;312;6,4;2,8;
2026/01/01;0900 UTC;,2;902,6;903;902,4;1,8;19,4;19,4;19,6;19,4;19,6;19,4;100;99;100;346;7,1;3,6;
