REGIAO:;S
UF:;RS
ESTACAO:;CACAPAVA DO SUL
CODIGO (WMO):;A812
LATITUDE:;-30,54527777
LONGITUDE:;-53,46694443
ALTITUDE:;420,82
DATA DE FUNDACAO:;22/06/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;961,9;961,9;961,9;0;26,8;12,7;26,8;26,8;12,7;12,7;30;30;30;53;2;1,9;
2026/01/01;0100 UTC;0;962,2;962,4;961,8;0;26,4;12,3;26,9;25,9;13,1;11,8;31;28;30;88;3;2;
2026/01/01;0200 UTC;0;962,3;962,4;962,1;0;25,7;17,9;26,1;25;19,4;12,5;72;32;61;315;3,9;3;
2026/01/01;0300 UTC;0;962,1;962,2;961,9;0;24,6;20,2;25;24,3;20,8;19,4;82;72;78;275;3,5;2,5;
2026/01/01;0400 UTC;0;962,1;962,3;961,9;0;23,1;19,5;24,1;22,1;20,5;18,5;87;79;82;231;2,1;1,7;
2026/01/01;0500 UTC;0;961,5;961,8;961,3;0;23,5;16,7;24,1;22,6;19,4;13,7;84;48;66;228;2,3;2,1;
2026/01/01;0600 UTC;0;960,9;961,3;960,5;0;24,1;14,3;24,6;23;16,9;13;64;43;51;84;1,8;,7;
2026/01/01;0700 UTC;0;960,6;960,7;960,5;0;23;17,1;23,4;22,5;19,1;14,8;82;58;71;268;2,1;1,6;
2026/01/01;0800 UTC;0;960,7;960,9;960,5;0;22,8;17,3;23,1;22,4;18,9;16;81;65;73;236;2,1;1,7;
2026/01/01;0900 UTC;0;961,1;961,2;960,8;20;22,4;18,2;22,7;22,2;18,9;16,5;83;69;79;288;3,1;2,5;
2026/01/01;1000 UTC;0;961,2;961,5;961,1;481,4;23;19,2;23,9;22,3;20,1;18,8;83;79;81;299;3;2,1;
2026/01/01;1100 UTC;0;961,7;961,8;961,5;1297,6;24,6;21;25,3;23,9;21,7;20,1;84;80;82;286;4,4;3;
2026/01/01;1200 UTC;0;961,3;961,7;960,9;2155,7;25,9;21;26,5;25,1;21,9;20;82;68;76;291;4,6;3;
2026/01/01;1300 UTC;0;961;961,2;960,8;2920,1;27;20,6;27,8;26,4;21,4;19,4;72;59;68;281;5;2,9;
2026/01/01;1400 UTC;0;960,7;960,8;960,5;3546,7;28,3;19,9;29,2;27,7;21,4;18,6;67;48;58;226;7;3,4;
2026/01/01;1500 UTC;0;960,2;960,5;959,9;3878,6;29,6;19;30,1;28,8;20;18,1;54;41;47;242;7,1;3,7;
2026/01/01;1600 UTC;0;959,6;959,9;959,2;4037,9;30,6;18,5;31,3;29,9;19,6;16,9;46;33;39;208;4,9;2,8;
2026/01/01;1700 UTC;0;958,9;959,2;958,7;3912,4;31,3;19,6;31,7;30,9;20,7;18,5;47;37;42;242;5,8;3,6;
2026/01/01;1800 UTC;0;958,3;958,8;957,9;3491,3;31,8;20,2;32,3;31,3;21,7;19;49;35;42;205;6,1;3,7;
2026/01/01;1900 UTC;0;957,6;958;957;3021,3;32,3;19,3;32,8;32;20,1;18,3;38;30;35;228;6,1;3,5;
2026/01/01;2000 UTC;0;956,7;957,1;956,4;2304,9;32,5;19,4;32,8;32,2;20,2;18,8;38;31;35;218;5,5;3,2;
2026/01/01;2100 UTC;0;956,4;956,7;956,3;1207,9;31,9;19,1;32,6;30,9;19,7;18,4;41;33;36;236;3,8;2,2;
2026/01/01;2200 UTC;0;957;957;957;262,1;30,7;19,1;30,7;30,7;19,1;19,1;42;42;42;248;2,3;1,7;
2026/01/01;2300 UTC;0;958,2;958,2;958,2;0;29,1;18;29,1;29,1;18;18;45;45;45;218;2,1;1,8;
2026/01/02;0000 UTC;0;960,6;960,6;960,6;0;23,4;17,1;23,4;23,4;17,1;17,1;69;69;69;177;8,3;5,5;
2026/01/02;0100 UTC;0;961,2;961,6;960,8;0;22,7;16,1;23,2;22,2;17,2;15,3;70;63;67;179;9,6;6,2;
2026/01/02;0200 UTC;0;960,9;961,7;959,7;0;21,9;15,7;22,9;21,4;17,1;15,1;74;63;69;36;6,1;3,5;
2026/01/02;0300 UTC;0;960,1;960,3;960;0;22,7;15,7;25,3;21,3;17;14,9;76;49;65;127;4,5;2,1;
2026/01/02;0400 UTC;0;959,7;960;959,5;0;22,8;15,7;24,1;21,9;16,1;14,9;71;56;64;248;2,4;2;
2026/01/02;0500 UTC;0;959,5;959,7;959,4;0;21,6;15,9;23,3;20,8;16,2;15,4;75;61;71;222;4,3;2,9;
2026/01/02;0600 UTC;0;959,7;960;959,3;0;20,7;15,8;21,6;19,7;16,1;15,4;81;70;75;133;3,2;1,9;
2026/01/02;0700 UTC;0;959,3;959,5;959,1;0;19,7;15,7;20,1;19,2;15,9;15,5;83;77;80;207;3,9;2,6;
2026/01/02;0800 UTC;0;959,4;959,5;959,2;0;18,8;16,5;19,6;18,4;17;15,9;93;81;89;205;2,7;1,9;
2026/01/02;0900 UTC;0;959,9;960,1;959,5;21,2;18,4;17,5;18,6;18,3;17,8;17,1;96;93;95;161;2,7;2;
2026/01/02;1000 UTC;0;960,2;960,2;960;383,3;18,8;18,4;19;18,6;18,6;17,8;99;96;98;230;1,8;1,2;
2026/01/02;1100 UTC;0;960,5;960,7;960,2;1308,3;21,4;18,6;22,9;18,9;19,1;18;98;76;86;44;3,2;2,1;
2026/01/02;1200 UTC;0;960,4;960,6;960,1;2141,9;24,2;18,8;25,4;22,8;19,7;17,9;81;63;73;255;4;1,3;
2026/01/02;1300 UTC;0;960,2;960,3;960,1;2899,6;26,2;18,4;27;25,1;19,2;17,9;66;57;61;269;3,8;1,9;
2026/01/02;1400 UTC;0;960,1;960,2;960;3496,4;27,2;18,4;28;26,6;19;18;61;52;56;216;5,1;2,9;
