REGIAO:;S
UF:;RS
ESTACAO:;RIO PARDO
CODIGO (WMO):;A813
LATITUDE:;-29,87222221
LONGITUDE:;-52,38194443
ALTITUDE:;106,99
DATA DE FUNDACAO:;30/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;995,8;995,9;995,6;0;27,4;23,5;28,2;27,1;23,8;22,8;83;74;80;163;3,4;1,9;
2026/01/01;0100 UTC;0;996,2;996,3;995,9;0;27,1;23,5;27,3;26,8;23,7;23,3;84;80;82;44;2,3;1;
2026/01/01;0200 UTC;0;996,1;996,2;996;0;25,6;23,8;27;24,6;24,1;23,6;97;83;91;123;3,4;2,4;
2026/01/01;0300 UTC;0;996,2;996,4;996,1;0;24,4;23,8;24,7;24;24,1;23,3;98;97;97;131;3,5;2,4;
2026/01/01;0400 UTC;0;996;996,3;995,7;0;23,8;23;24;23,5;23,3;22,7;98;94;96;76;2,9;1,4;
2026/01/01;0500 UTC;0;995,5;995,8;995,3;0;23,4;22,8;23,7;23,1;23,1;22,5;98;95;97;34;2,5;1,8;
2026/01/01;0600 UTC;0;995;995,3;994,8;0;23,3;22,5;23,7;22,8;22,7;22,2;98;94;96;176;2,2;1;
2026/01/01;0700 UTC;0;994,5;994,8;994,3;0;23,4;22,5;23,7;23,1;23;22;98;93;95;288;2,2;1,5;
2026/01/01;0800 UTC;0;994,5;994,8;994,3;0;23,5;23,3;23,7;23,4;23,6;22,9;100;98;99;306;3,1;2,1;
2026/01/01;0900 UTC;0;995,1;995,4;994,8;64,1;23,7;23,7;24;23,6;23,9;23,6;100;100;100;288;3;1,9;
2026/01/01;1000 UTC;0;995,5;995,8;995,3;277,9;24,1;24,1;24,4;24;24,4;24;100;100;100;309;4;2,8;
2026/01/01;1100 UTC;0;995,9;996;995,8;745,6;25,1;24,4;26,1;24,4;24,8;24,1;100;91;96;291;3,5;2,1;
