REGIAO:;S
UF:;RS
ESTACAO:;BAGE
CODIGO (WMO):;A827
LATITUDE:;-31,34777777
LONGITUDE:;-54,01333333
ALTITUDE:;226,19
DATA DE FUNDACAO:;04/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;982,5;982,8;982,2;0;25,1;14,9;26,4;23,8;15,5;14,5;55;44;49;317;1,6;1,2;
2026/01/01;0100 UTC;0;983,3;983,6;982,8;0;23,2;14,9;25;20,7;15,7;14;73;47;58;98;2,6;1,4;
2026/01/01;0200 UTC;0;983,7;983,8;983,6;0;21,7;13,8;22,8;20,7;14,7;13,2;68;55;60;29;1,6;1,2;
2026/01/01;0300 UTC;0;983,5;983,7;983,4;0;22,2;13,6;23,9;20,5;14,2;12,9;65;50;57;109;3,9;2,4;
2026/01/01;0400 UTC;0;983,3;983,4;983,1;0;21,9;15,4;22,4;21,6;16,8;14;76;60;67;33;3,4;1,3;
2026/01/01;0500 UTC;0;982,8;983,1;982,4;0;21,4;18,5;21,9;20,8;19,8;16,4;92;74;86;34;5,1;3,5;
2026/01/01;0600 UTC;0;982,2;982,4;982;0;20,9;19;22;19,7;19,8;18,3;94;88;91;344;2,3;2;
2026/01/01;0700 UTC;0;981,8;982;981,7;0;19,8;18,4;20;19,6;18,8;18,1;95;92;93;334;2;1,7;
2026/01/01;0800 UTC;0;981,7;981,8;981,5;0;19,8;18,3;19,9;19,6;18,6;17,7;95;90;93;347;2,7;2;
2026/01/01;0900 UTC;0;982;982,5;981,6;32,6;19,3;18,1;19,6;19,2;18,5;17,8;96;93;94;152;1,3;1,1;
2026/01/01;1000 UTC;0;982,7;982,8;982,5;546,3;20,7;18,9;21,7;19,6;19,8;18,2;95;87;91;315;1,9;1,5;
2026/01/01;1100 UTC;0;982,7;982,8;982,4;1423,3;23,3;20,5;24,8;21,2;21,5;19,7;93;79;86;274;2,1;,9;
2026/01/01;1200 UTC;0;982;982,4;981,8;2110,2;26,6;21,1;28,2;24,9;21,8;20,1;82;61;72;283;4,3;2,8;
2026/01/01;1300 UTC;0;981,9;982,2;981,6;2812,2;29,1;19,9;30,2;28,3;21,4;18,5;63;45;54;262;4,6;2,7;
2026/01/01;1400 UTC;0;981,6;981,8;981,4;3427,5;30,4;19,4;31;30;20,8;18,6;51;39;45;;;;
2026/01/01;1500 UTC;0;981,2;981,5;980,9;3817,7;31,2;19,3;31,8;30,5;20,5;18,1;47;33;41;;;;
2026/01/01;1600 UTC;0;980,5;980,9;980,2;3938,9;32;19,7;32,4;31,4;20,8;18,4;44;33;39;229;6,3;3,7;
2026/01/01;1700 UTC;0;979,8;980,2;979,5;3852,7;32,7;20,3;33,1;32,2;21,9;19,5;46;35;38;236;5,3;2,8;
2026/01/01;1800 UTC;0;979,2;979,5;978,9;3526,8;33,2;20,8;33,5;32,9;21,6;19,8;42;34;38;234;5,8;2,7;
2026/01/01;1900 UTC;0;978,3;978,8;977,7;2941,7;33,6;21,1;34;33,2;21,9;20,4;43;32;37;235;6;3;
2026/01/01;2000 UTC;0;977,1;977,7;976,6;2153,8;33,8;21,2;34,1;33,4;21,9;20,4;40;34;37;236;4,8;2,5;
2026/01/01;2100 UTC;0;976,9;977,2;976,6;1434,9;33,7;21,1;34,1;33,2;21,7;20,2;40;34;37;238;5,2;2,5;
2026/01/01;2200 UTC;2,4;978,5;981,2;976,9;263;27,4;20,3;33,6;21,5;21,6;19,2;89;37;65;193;12;3,6;
2026/01/01;2300 UTC;4,4;980,8;981,3;980,3;71,8;20,9;19,3;21,4;20,5;19,6;18,9;94;88;92;72;7,7;4,7;
2026/01/02;0000 UTC;0;980,5;980,7;980,4;0;21,6;18,9;21,9;21,3;19,5;18,3;90;83;86;56;6,6;4,5;
2026/01/02;0100 UTC;0;981,5;982,1;980,6;0;21;17,8;21,5;20,2;18,3;17,3;89;79;84;157;4,9;3,3;
2026/01/02;0200 UTC;0;982,2;982,5;982;0;19,9;18,2;20,3;19,5;18,6;17,9;94;88;92;144;3,3;2,8;
2026/01/02;0300 UTC;0;982,4;982,5;982,3;0;19,5;18,2;20;19,2;18,4;18;95;91;93;98;2,5;1,6;
2026/01/02;0400 UTC;0;982,2;982,6;981,8;0;19,4;18,3;19,9;18,9;18,5;18;96;92;95;122;2;1,4;
2026/01/02;0500 UTC;0;981,7;982;981,4;0;18,9;18,1;19,3;17,7;18,8;16,8;98;94;96;138;1,5;,9;
2026/01/02;0600 UTC;0;981,3;981,5;981,2;0;18,1;17,9;18,8;17,6;18,7;17,1;100;97;99;125;2,1;1,3;
2026/01/02;0700 UTC;0;981,1;981,3;980,8;0;19,1;19,1;19,2;18,7;19,2;18,6;100;100;100;81;4,4;2,5;
2026/01/02;0800 UTC;0;981;981,2;980,9;0;18,7;18,7;19,1;18,4;19,1;18,5;100;100;100;202;3,5;2,4;
2026/01/02;0900 UTC;0;981,3;981,4;981,1;17,9;18,3;18,4;18,5;18,2;18,5;18,3;100;100;100;294;1,3;,9;
2026/01/02;1000 UTC;0;981,6;981,9;981,2;330,4;18,4;18,4;18,8;18,2;18,7;18,2;100;100;100;151;2,1;1,2;
2026/01/02;1100 UTC;0;982;982,2;981,9;913,8;19,4;19,2;20,3;18,7;20,1;18,6;100;98;99;101;2,2;1,1;
2026/01/02;1200 UTC;0;981,9;982;981,8;1920,7;22,2;20,7;24,4;20,3;21,6;19,9;99;80;92;189;3;1,2;
2026/01/02;1300 UTC;0;982;982,1;981,8;2681,7;24,5;20,7;25,1;24,1;21,3;19,6;84;73;81;253;3,5;1,9;
2026/01/02;1400 UTC;0;981,8;982;981,6;3440,2;26,3;19;27,2;25;20,4;17,8;74;54;64;188;4,6;2,3;
2026/01/02;1500 UTC;0;981,2;981,6;980,8;3841,2;27,5;18;28,1;27;19,4;16,3;61;45;53;141;3,2;1,1;
2026/01/02;1600 UTC;0;980,8;980,9;980,8;3967,7;28,1;18,7;28,6;27,8;20,3;17,3;61;46;53;236;5,9;3,2;
2026/01/02;1700 UTC;0;980,2;980,8;979,7;3904,7;28,8;19;29,2;28,4;20,7;17,4;59;44;51;228;7,5;4;
2026/01/02;1800 UTC;0;979,1;979,8;978,5;3470,5;29,4;19,3;30;29,1;20,2;18,5;55;45;49;220;7,1;3,3;
2026/01/02;1900 UTC;0;978,4;978,7;978,2;2987,6;29,6;18,7;30;29,2;19,6;17,9;50;42;46;210;7,1;5,6;
2026/01/02;2000 UTC;0;977,7;978,1;977,3;2329;29,6;18,6;30,1;29,1;20;17,7;51;42;45;232;5,5;3;
2026/01/02;2100 UTC;0;977,1;977,3;976,9;1500,5;29,4;17,9;29,5;29,1;18,6;17,5;47;40;43;211;4,2;2,2;
2026/01/02;2200 UTC;0;976,7;977,1;976,3;707;28,7;17,8;29,2;27,9;18,5;17,4;49;43;46;216;4,2;2,1;
2026/01/02;2300 UTC;0;977,1;977,4;977;85,3;26,6;17,6;27,9;25,5;17,9;17,3;60;49;55;222;2,1;1;
2026/01/03;0000 UTC;0;977,6;977,9;977,4;0;24,7;17,6;25,5;23;17,8;17,2;71;60;65;297;,8;,5;
2026/01/03;0100 UTC;0;978,1;978,3;977,8;0;21,8;17,4;22,7;20,6;17,7;17;85;73;78;210;2,5;2,1;
2026/01/03;0200 UTC;0;978,6;979;978,1;0;20,7;17,7;21,4;20,4;18,1;16,9;89;81;85;151;3,2;2,7;
2026/01/03;0300 UTC;0;979;979,1;978,8;0;20,5;17,5;20,9;20,2;17,6;17,3;87;82;85;106;1,9;,9;
2026/01/03;0400 UTC;0;978,6;978,9;978,3;0;20,2;17,6;20,4;20;17,9;17,3;88;85;87;234;,9;,6;
2026/01/03;0500 UTC;0;978,4;978,5;978,3;0;20;17,7;20,4;19,5;18,2;17,2;93;84;88;240;1,7;1;
2026/01/03;0600 UTC;0;978,2;978,3;978,2;0;19,5;18,3;20,2;19;18,5;17,8;96;88;94;265;2,4;1,7;
2026/01/03;0700 UTC;0;978,5;978,9;978,2;0;19,1;17,9;19,7;18,5;18,3;17,7;97;91;94;266;3;2;
2026/01/03;0800 UTC;0;979,5;979,9;978,9;0;19,5;18,7;19,8;19,2;18,9;18,3;97;95;96;226;4,5;2,1;
2026/01/03;0900 UTC;0;980,2;980,4;979,9;29,2;18,7;18,2;19,4;18,1;18,9;17,6;98;97;98;273;3,7;2,2;
2026/01/03;1000 UTC;0;980,5;980,9;980,4;531,4;18,5;17,7;19,6;18,1;17,9;17,5;98;89;96;271;5,2;2,6;
2026/01/03;1100 UTC;0;981,3;981,9;980,9;1251,9;20,7;15,4;21,2;19,7;17,3;13,7;88;62;73;231;10,3;5,4;
2026/01/03;1200 UTC;0;982,4;983,1;981,8;1878,5;20,8;13,4;21,2;19,4;14,6;12,5;68;59;63;209;9,9;5,2;
2026/01/03;1300 UTC;0;983,8;984,5;983;2882,7;19,7;11,9;20,8;18,9;13,1;11,1;65;57;61;170;10,9;5,6;
2026/01/03;1400 UTC;0;984,8;985,2;984,2;2773,2;19,2;11,5;19,7;18,5;12,4;10,5;66;57;61;181;9,4;4,7;
2026/01/03;1500 UTC;0;985,6;985,9;985,2;3205;19,7;10,7;20,5;18,8;12;9,9;61;49;55;193;9,4;3,6;
2026/01/03;1600 UTC;0;985,8;986,1;985,6;4089,5;20,6;10,2;21,2;20,1;11,6;9,1;55;44;48;180;13,2;5,3;
2026/01/03;1700 UTC;0;986,3;986,5;986,1;3898,7;20,6;9,6;21,1;19,9;11;8,6;51;40;45;184;7,8;4,2;
2026/01/03;1800 UTC;0;986,4;986,5;986,1;3774,1;21,3;9,8;21,9;20,8;11,2;8,9;50;39;43;176;8;4;
2026/01/03;1900 UTC;0;986,4;986,5;986,3;3043,4;21,7;9,4;22,4;21,1;10,3;8,6;44;33;39;205;8,6;4,1;
2026/01/03;2000 UTC;0;986,3;986,5;986,1;2447,3;22,1;9;22,6;21,7;9,8;8,3;39;31;34;180;6,2;3,2;
2026/01/03;2100 UTC;0;986,2;986,3;986,1;1607,9;21,7;8,5;22,1;21,5;9,2;7,7;38;30;34;188;5,5;2,8;
2026/01/03;2200 UTC;0;986,5;986,9;986,2;748;21;8,2;21,7;20,1;9,2;7,4;39;33;36;176;4,8;1,6;
2026/01/03;2300 UTC;0;987,3;987,7;986,8;88,5;19,2;7,3;20,1;18,5;8,2;6,8;44;36;40;177;3,2;1,5;
2026/01/04;0000 UTC;0;988,1;988,4;987,8;0;18,1;6,9;18,6;17,2;7,4;6,6;49;41;44;171;4,5;1,7;
2026/01/04;0100 UTC;0;988,9;989,4;988,4;0;16,6;7,1;17,3;15,1;7,6;6,7;62;48;53;166;4,2;2;
2026/01/04;0200 UTC;0;989,8;990,3;989,4;0;14;7,6;15;13,2;8,5;6,9;77;62;68;158;4,5;3,3;
2026/01/04;0300 UTC;0;990,4;990,6;990,2;0;13,6;6,7;14,2;13,2;7,2;6,3;68;63;66;161;4,6;3;
2026/01/04;0400 UTC;0;990,8;991;990,6;0;12,9;6,4;13,6;12,4;6,6;6,1;71;64;68;162;3,9;1,9;
2026/01/04;0500 UTC;0;990,9;991;990,8;0;12,5;6,3;12,9;11,9;6,6;6;72;67;69;170;2,1;1;
2026/01/04;0600 UTC;0;991;991,3;990,8;0;11,7;6,1;12,4;10,7;6,9;5,8;81;68;72;275;1,7;1,3;
2026/01/04;0700 UTC;0;991,5;991,6;991,3;0;11,6;6,4;12;10,8;7,6;6;82;70;74;211;2,6;1,2;
2026/01/04;0800 UTC;0;991,8;992,1;991,6;0;11,4;6,3;11,7;11,3;6,5;6,1;76;73;74;242;2,8;1,6;
2026/01/04;0900 UTC;0;992,2;992,4;992,1;20,3;10,7;6,4;11,3;9;6,7;6,2;88;76;79;264;2,6;1,7;
2026/01/04;1000 UTC;0;992,5;992,6;992,3;471,1;9,6;7,4;11,7;8,2;8,8;6,4;93;83;89;318;1,9;1,2;
2026/01/04;1100 UTC;0;992,3;992,6;992,2;1275;13,5;8,7;15,1;11,8;9,5;7,9;87;66;76;229;3,9;2,1;
2026/01/04;1200 UTC;0;992,8;993;992,5;2129,8;15,9;8,7;16,8;15,1;9,6;7,4;69;54;64;223;7,1;3,3;
2026/01/04;1300 UTC;0;993,1;993,2;992,8;2582,5;17,1;8,3;17,9;16,4;9,2;7,7;60;51;56;219;6,4;3,8;
2026/01/04;1400 UTC;0;992,9;993;992,7;2842,4;17,9;8,4;19,2;17,3;9,5;7,7;57;48;53;215;8,5;4,3;
2026/01/04;1500 UTC;0;992,7;993;992,4;3354,3;18,9;8,7;19,8;17,9;10,2;7,5;53;44;49;212;9,3;5,1;
2026/01/04;1600 UTC;0;992,5;992,6;992,3;3330,9;19,7;9,2;20,4;18,8;9,9;8,2;50;44;47;222;8,9;3,9;
2026/01/04;1700 UTC;0;992,3;992,5;992,1;3153,2;20,6;9,5;21,5;19,7;10,8;8,9;51;40;45;220;8,8;4;
2026/01/04;1800 UTC;0;992,2;992,3;992;3297,7;21,3;9,9;22,1;20,5;11,1;8,9;50;40;43;241;7,6;4,6;
2026/01/04;1900 UTC;0;991,6;992;991,4;3324,6;22,1;10,3;22,7;21,3;11,3;9,6;45;38;41;244;5,9;3,7;
2026/01/04;2000 UTC;0;991,2;991,4;990,9;2207,5;22;10;22,7;21,4;10,7;9,6;44;37;40;217;7,1;3;
2026/01/04;2100 UTC;0;991;991,1;990,9;1294,8;21,7;9,8;22,6;20,8;10,4;9,1;45;37;41;227;4,8;2,1;
2026/01/04;2200 UTC;0;991,3;991,4;991,1;533,9;21,4;9,6;21,9;20,8;10,2;9;46;39;41;209;3,4;1,7;
2026/01/04;2300 UTC;0;991,6;991,9;991,4;96,6;20;9,4;20,8;19,1;9,9;8,8;50;44;47;244;,8;,4;
2026/01/05;0000 UTC;0;992,2;992,6;991,9;0;17,5;8,7;19,1;16,5;9,3;8,4;61;49;56;312;1,3;,6;
2026/01/05;0100 UTC;0;993;993,3;992,6;0;15,2;8,9;17,2;14,2;9,7;8,4;77;57;69;94;1;,7;
2026/01/05;0200 UTC;0;993,5;993,9;993,2;0;14,2;9,1;15,4;13;9,9;8,5;84;68;75;117;4,8;3,5;
2026/01/05;0300 UTC;0;994;994,1;993,9;0;13,8;10,5;14,1;13,2;10,9;9,8;87;80;84;111;5,5;4,2;
2026/01/05;0400 UTC;0;994,1;994,2;994,1;0;13,5;11;14;12,4;11,2;10,8;93;85;88;120;4,2;2,8;
2026/01/05;0500 UTC;0;993,9;994,1;993,7;0;12,3;10,5;12,5;12;10,9;10;94;88;91;112;4,6;2,8;
2026/01/05;0600 UTC;0;993,6;993,7;993,5;0;11,9;9,3;12,2;11,1;10;8,6;90;83;87;37;1,8;1,3;
2026/01/05;0700 UTC;0;993,7;993,8;993,6;0;11,2;8,8;11,8;10,8;9,1;8,2;91;83;88;59;2,8;2;
2026/01/05;0800 UTC;0;993,8;994;993,7;0;11,2;7,9;12;10,9;8,4;7,5;87;81;84;60;2,9;2;
2026/01/05;0900 UTC;0;994,1;994,3;994;18,8;10,4;7,2;11,1;9,5;7,6;6,8;88;81;84;37;2,1;1,7;
2026/01/05;1000 UTC;0;994,5;994,6;994,2;412,5;11,1;7,8;12,4;9,8;9,1;6,9;88;78;84;288;1,6;,9;
2026/01/05;1100 UTC;0;994,6;994,7;994,5;1262,2;14,8;8,9;16,3;12,5;9,6;8,2;83;62;71;86;4,7;2,4;
2026/01/05;1200 UTC;0;994,5;994,6;994,4;2117,4;17,2;8,5;18,2;16,3;9,6;7,4;65;49;56;75;3,8;2,4;
2026/01/05;1300 UTC;0;994,1;994,4;994;2883,4;19,4;8,5;20,6;18;9,7;7,7;55;39;46;73;3,4;1,8;
2026/01/05;1400 UTC;0;993,9;994,1;993,7;3488,9;20,9;9,3;21,4;20;11,1;8,1;49;39;42;217;3,7;1,5;
2026/01/05;1500 UTC;0;993,4;993,7;993,1;3877,3;22,3;10,7;23,2;21,2;12;9,3;47;37;42;185;4,7;2,2;
2026/01/05;1600 UTC;0;992,8;993,1;992,5;4046,1;22,8;10,8;23,6;22,4;12,7;10;49;37;40;213;3,5;1,3;
2026/01/05;1700 UTC;0;992,1;992,5;991,8;3974,2;23,7;11,3;24;23,2;12,5;10,5;45;35;38;162;5,2;2,7;
2026/01/05;1800 UTC;0;991,6;991,9;991,3;3649,7;24,3;12;25;23,8;13;10,9;43;34;38;170;3,8;1,9;
2026/01/05;1900 UTC;0;990,7;991,3;990,2;3117,8;24,9;11,9;25,5;24,4;13,1;11;41;32;35;95;4,6;2,6;
2026/01/05;2000 UTC;0;989,7;990,1;989,4;2398,5;25,1;11,9;25,5;24,6;12,8;11,1;40;31;34;112;2,8;1,3;
2026/01/05;2100 UTC;0;989,1;989,4;988,9;1565,5;25,4;12,2;25,9;25,1;12,8;11,5;37;31;34;91;3;1,4;
2026/01/05;2200 UTC;0;989;989;988,9;732,7;24,9;11,8;25,5;24,4;12,6;11;38;31;35;178;1,8;1;
2026/01/05;2300 UTC;0;989,3;989,7;989;93,9;23;10,9;24,4;22,1;11,9;9,9;43;34;40;196;2,7;1,4;
2026/01/06;0000 UTC;0;990;990,4;989,7;0;20,5;9,8;22,2;20;11,1;9,2;51;40;47;86;1,9;1,3;
2026/01/06;0100 UTC;0;990,5;990,8;990,3;0;18,5;10,1;20;17,2;10,8;9,3;65;50;58;94;5,3;3,7;
2026/01/06;0200 UTC;0;990,9;991;990,8;0;17,1;10,8;17,8;16,4;11,3;10,3;74;63;68;67;10,1;5;
2026/01/06;0300 UTC;0;990,8;991;990,5;0;17,4;11,1;17,8;17;11,6;10,5;73;64;69;56;10,7;7,4;
2026/01/06;0400 UTC;0;990,2;990,5;989,9;0;16,6;12,1;17;16,2;12,4;11,6;81;73;77;51;9,4;6,3;
2026/01/06;0500 UTC;0;989,7;990;989,5;0;15,9;12,7;16,2;15,8;12,9;12,4;85;81;84;49;8,8;6;
2026/01/06;0600 UTC;0;989,4;989,6;989,2;0;15,6;12,9;15,8;15,4;13;12,8;88;85;87;48;8,8;5,8;
2026/01/06;0700 UTC;0;989,5;989,6;989,4;0;15,6;13;15,7;15,5;13,1;12,9;88;86;87;44;8,2;5,6;
2026/01/06;0800 UTC;0;989,6;989,7;989,4;0;15,5;13;15,7;15;13;12,9;89;86;87;48;7,4;5;
2026/01/06;0900 UTC;0;989,8;990;989,6;17,6;15,1;12,9;15,4;14,9;13;12,8;90;87;89;51;8,1;4,9;
