REGIAO:;S
UF:;RS
ESTACAO:;SAO LUIZ GONZAGA
CODIGO (WMO):;A852
LATITUDE:;-28,41722221
LONGITUDE:;-54,9625
ALTITUDE:;245,5
DATA DE FUNDACAO:;25/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;980,9;981,2;980,6;0;23,5;22,9;23,8;23,1;23,5;22,3;99;96;97;37;7;3,7;
2026/01/01;0100 UTC;0;980,9;981,3;980,6;0;23,5;23;23,7;23,2;23,3;22,5;98;97;98;38;4,2;2,8;
2026/01/01;0200 UTC;0;980,6;980,9;980,4;0;24,1;22,8;24,3;23,7;23,2;22,3;97;91;93;30;3,7;2,5;
2026/01/01;0300 UTC;0;981,1;981,3;980,8;0;23,7;22,9;24,2;23,5;23,1;22,8;97;93;96;53;4,8;2,8;
2026/01/01;0400 UTC;0;980,6;980,9;980,2;0;23,4;22,8;23,6;23,4;22,9;22,5;98;95;97;34;3,9;2,5;
2026/01/01;0500 UTC;0;980;980,2;979,8;0;23,7;22,5;23,8;23,4;22,6;22,3;96;93;94;37;4,3;2,9;
2026/01/01;0600 UTC;0;979,5;979,7;979,3;0;23,4;22,8;23,4;23,3;22,9;22,6;97;96;97;41;4,4;3;
2026/01/01;0700 UTC;0;979,1;979,3;979,1;0;23,3;22,9;23,4;23,2;22,9;22,8;98;97;98;40;5,2;3,3;
2026/01/01;0800 UTC;0;979,3;979,6;979,1;0;23,4;23;23,4;23,3;23,2;22,9;99;98;98;128;5,6;2,8;
2026/01/01;0900 UTC;0;979,9;980,4;979,6;3,9;23,5;23,4;23,5;23,4;23,5;23,2;100;99;100;265;4,1;1,7;
2026/01/01;1000 UTC;0;980,5;980,7;980,3;176,2;23,7;23,6;24;23,6;23,7;23,5;100;99;100;316;2,4;1,5;
2026/01/01;1100 UTC;0;980,8;980,9;980,7;506,8;24,6;23,9;25;24;24,1;23,6;99;95;96;292;2,2;1,2;
2026/01/01;1200 UTC;0;981;981;980,9;719,8;25,3;24,1;25,6;24,9;24,3;23,9;96;92;94;255;3;1,7;
2026/01/01;1300 UTC;0;980,9;981;980,8;1187;25,9;24,1;26,5;25,5;24,5;23,4;95;85;91;247;3,3;2,1;
2026/01/01;1400 UTC;0;980,7;980,9;980,3;2836;27,7;23,7;28,5;26,4;24,5;23;88;75;80;236;3,5;1,5;
2026/01/01;1500 UTC;0;980,3;980,4;980;2581,5;29,1;23,7;29,8;28,5;24,6;23,1;78;68;73;221;4,1;2;
2026/01/01;1600 UTC;0;979,9;980,2;979,5;2585,2;29,9;23,6;30,6;29,4;24,2;22,8;72;65;69;235;5,3;2,3;
2026/01/01;1700 UTC;0;978,9;979,5;978,4;3323,4;31,2;23,3;32,2;30,4;24,4;22,4;69;51;61;215;5,7;2,4;
2026/01/01;1800 UTC;0;978,3;978,5;978;2750,7;32,1;22,6;32,7;31,7;23,2;21,9;57;49;52;273;3,6;1,5;
2026/01/01;1900 UTC;0;977,7;978,1;977,3;2760,9;33,2;22,6;33,7;31,9;23,6;21,3;54;43;47;222;4,8;2,2;
2026/01/01;2000 UTC;0;977;977,4;976,8;1227,7;32,4;21,3;33;32;22;20,6;48;42;45;210;4,3;2,3;
2026/01/01;2100 UTC;0;976,7;976,9;976,4;936,5;31,7;22;32,5;31,1;23,1;20,9;57;46;52;209;5,2;2,7;
2026/01/01;2200 UTC;0;976,8;976,9;976,6;454;31,2;22,1;31,8;30,7;22,7;21,3;60;49;54;225;2,8;1,1;
2026/01/01;2300 UTC;0;977,1;977,4;976,8;48,4;29,8;21,4;31,3;28,8;22;20,6;62;53;58;191;2,9;1,6;
2026/01/02;0000 UTC;0;978,1;978,4;977,4;0;28,2;20,6;28,9;27,5;21;20;66;56;62;250;1,6;,7;
2026/01/02;0100 UTC;0;978,7;979,1;978,2;0;27,7;19,8;27,9;27,5;20,6;19,3;65;58;61;179;1,5;1;
2026/01/02;0200 UTC;0;979,3;979,4;979,1;0;27,2;19,7;27,7;26,7;20,2;19,4;66;61;62;146;1,6;1,2;
2026/01/02;0300 UTC;0;979,4;979,5;979,3;0;26,7;19,6;27,2;26,2;19,9;19,1;67;62;64;107;1,4;1,1;
2026/01/02;0400 UTC;0;979;979,3;978,8;0;26,6;19,3;27;26,2;19,5;19,1;65;62;63;103;2,4;1,7;
2026/01/02;0500 UTC;0;978,6;978,8;978,4;0;25,4;19,1;26,2;24,6;19,5;18,9;74;64;69;126;1,9;1,6;
2026/01/02;0600 UTC;0;978,3;978,5;978;0;24,9;19;25,1;24,3;19,5;18,5;75;68;71;180;1,8;,7;
2026/01/02;0700 UTC;0;978,5;978,8;978,1;0;23,5;19,4;24,6;21,4;20,3;18,8;95;72;80;125;3,7;1,8;
2026/01/02;0800 UTC;0;978,6;978,7;978,5;0;22,2;20,1;22,8;21,4;20,6;19,9;95;86;90;55;2,9;1,9;
2026/01/02;0900 UTC;0;978,8;978,8;978,7;10,5;23,3;19,2;23,4;23;19,3;19,1;82;78;79;109;2,9;1,5;
2026/01/02;1000 UTC;0;979,2;979,5;978,8;327,1;24,1;19,4;25,1;23,2;20,2;19,1;81;72;77;320;1,6;1,1;
2026/01/02;1100 UTC;0;979,6;979,9;979,4;1109,4;25,7;20,7;26,4;24,7;21,3;20,1;79;71;75;302;3,7;1,9;
2026/01/02;1200 UTC;0;979,8;979,9;979,6;1959,1;27,4;21,5;28,2;26,3;22,1;20,9;75;66;70;296;4,1;2,3;
2026/01/02;1300 UTC;0;979,8;979,9;979,6;2719,4;28,9;22,5;29,6;28,3;23;21,5;71;64;68;268;4,6;2,3;
2026/01/02;1400 UTC;0;979,7;979,8;979,6;3335,8;30,1;22,9;30,8;29,4;23,8;22,4;67;61;64;244;6,8;3,6;
2026/01/02;1500 UTC;0;979,6;979,7;979,3;3777,9;31,3;23;32,1;30,5;24,2;22,3;65;53;58;261;5,7;2,6;
2026/01/02;1600 UTC;0;978,9;979,3;978,4;3664;32,3;22,9;33;31,4;24,1;22,4;57;49;53;245;5,9;3,2;
2026/01/02;1700 UTC;0;978;978,4;977,6;3706,2;33,4;22,9;34,2;32,6;23,9;22,3;52;44;47;244;6,5;3,2;
2026/01/02;1800 UTC;0;977,2;977,6;976,7;3538,8;34,2;23,1;34,7;33,6;24,4;22,4;49;41;44;256;8,2;3,7;
2026/01/02;1900 UTC;0;976,5;976,7;976,4;2017,3;33,7;22,4;34,7;32,6;23,1;21,8;48;40;44;214;6,2;3,6;
2026/01/02;2000 UTC;0;976;976,4;975,7;1890,9;33,4;22,5;34,7;32,2;23,8;21,8;50;39;46;189;8,8;4,4;
2026/01/02;2100 UTC;0;975,7;975,9;975,5;936;32,8;21,7;33,9;32,1;22,5;21;46;41;44;193;2,7;1;
2026/01/02;2200 UTC;0;975,5;975,7;975,4;542,3;32,4;21,8;32,9;31,8;22,2;21,6;50;44;47;222;4,4;2,1;
2026/01/02;2300 UTC;0;976,1;976,5;975,7;48,3;30,2;21,3;31,8;29,2;21,9;20,9;60;50;55;242;3,2;1,8;
2026/01/03;0000 UTC;0;976,8;977;976,5;0;28,4;20,7;29,2;27,9;21,3;20,1;63;59;61;242;2,4;1,4;
2026/01/03;0100 UTC;0;977,4;977,8;977;0;27,9;19,8;28,1;27,8;20,2;19,2;61;57;59;263;2,2;,9;
2026/01/03;0200 UTC;0;978,1;978,2;977,8;0;27,5;19,3;27,9;26,9;19,5;19,2;62;57;59;290;1,8;1,1;
