REGIAO:;S
UF:;RS
ESTACAO:;IBIRUBA
CODIGO (WMO):;A883
LATITUDE:;-28,65333333
LONGITUDE:;-53,11194444
ALTITUDE:;455,27
DATA DE FUNDACAO:;13/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,2;959,3;959,6;958,9;0;22,8;22,7;22,9;22,7;22,8;22,6;100;99;100;39;4,2;2,8;
2026/01/01;0100 UTC;0;958,6;958,6;958,6;0;22,4;22,1;22,4;22,4;22,1;22,1;99;99;99;49;4,8;3,6;
2026/01/01;0200 UTC;0;958,7;958,7;958,7;0;22,2;21,5;22,2;22,2;21,5;21,5;96;96;96;53;4,2;2,6;
2026/01/01;0300 UTC;0;958,5;958,5;958,5;0;22;21,5;22;22;21,5;21,5;98;98;98;322;3,6;2,3;
2026/01/01;0400 UTC;0;957,8;957,8;957,8;0;21,8;21,4;21,8;21,8;21,4;21,4;98;98;98;234;3,6;2,1;
2026/01/01;0500 UTC;0;957,4;957,4;957,4;0;21,5;20,9;21,5;21,5;20,9;20,9;97;97;97;300;3,5;2,3;
2026/01/01;0600 UTC;0;957,3;957,3;957,3;0;21;20,6;21;21;20,6;20,6;98;98;98;338;1,2;,9;
2026/01/01;0700 UTC;0;957,1;957,1;957,1;0;20,7;20,7;20,7;20,7;20,7;20,7;100;100;100;37;1,6;1,2;
2026/01/01;0800 UTC;0;957,2;957,2;957,2;0;20,9;21;20,9;20,9;21;21;100;100;100;63;1,8;1,3;
2026/01/01;0900 UTC;,2;957,6;957,7;957,6;11;21;20,8;21;21;20,9;20,8;99;99;99;35;3;2;
2026/01/01;1000 UTC;0;958;958,3;957,7;119,1;21,3;21;21,5;21;21,3;20,6;100;97;99;74;1,4;,8;
2026/01/01;1100 UTC;,2;958,5;958,6;958,3;459,5;21,7;21,3;22,3;21,4;21,7;21,1;100;94;98;77;1,8;,9;
2026/01/01;1200 UTC;0;958,3;958,6;958,2;1019,8;22,8;21,4;23,7;22,2;22,2;20,8;96;89;93;122;1,5;,2;
2026/01/01;1300 UTC;0;958,1;958,2;958;1140,4;23,8;21,8;24,2;23,6;22,4;21,3;93;87;90;267;3,3;1,7;
2026/01/01;1400 UTC;0;957,8;958,2;957,4;2672,5;25,3;22,5;26,2;24,2;23,4;21,6;91;77;86;213;4,1;2,1;
2026/01/01;1500 UTC;0;957,2;957,5;957;3002,2;26,8;22,9;27,6;26,2;24,7;22,3;88;74;80;192;3,9;2,3;
2026/01/01;1600 UTC;0;956,7;957;956,4;3864,7;27,9;23;28,7;27,1;24,3;22,1;82;70;76;243;4,2;1,9;
2026/01/01;1700 UTC;0;956;956,4;955,5;3452,6;29,1;23,3;29,5;28,7;24,4;22,5;78;67;71;222;5,5;2,3;
2026/01/01;1800 UTC;0;955,2;955,5;955,1;2866;29,6;23,4;30,4;29;24,7;22,6;75;64;69;168;4,8;1,8;
2026/01/01;1900 UTC;0;954,7;955,1;954,3;2740,4;30;23,2;30,4;29,4;23,9;22;72;59;66;199;4,6;1,6;
2026/01/01;2000 UTC;0;954;954,3;953,8;1701,8;29,6;22,1;30,1;29,1;23,4;20,8;70;55;62;226;4,2;2,1;
2026/01/01;2100 UTC;0;953,5;953,8;953,4;1333,3;30;20,7;30,4;29,4;22,1;19,6;60;50;53;222;2,9;1,5;
2026/01/01;2200 UTC;0;954;954,5;953,6;416,7;28,4;20,1;29,3;27,5;22;19,6;71;53;59;235;1,8;,8;
2026/01/01;2300 UTC;0;954,8;955,2;954,5;43,9;26,7;20,5;27,5;26,3;21,5;19,8;73;63;69;251;1,7;1,3;
2026/01/02;0000 UTC;0;955,4;955,7;955,1;0;26,1;20,6;26,4;25,7;21;20,2;76;70;73;227;2,1;1,1;
2026/01/02;0100 UTC;0;955,9;956,2;955,6;0;25,3;21,1;25,7;25,1;21,4;20,8;81;76;79;224;2,7;1,4;
2026/01/02;0200 UTC;0;956,3;956,5;956,2;0;24,9;18,5;25,3;24,6;21;16,9;80;59;68;201;2;,9;
2026/01/02;0300 UTC;0;956,7;956,8;956,5;0;23,9;18,3;25,3;22,6;20,3;17;89;59;72;290;1,5;1,2;
2026/01/02;0400 UTC;0;956,4;956,8;956,1;0;22,5;20,4;22,7;22,3;20,6;20;90;88;89;275;1,8;1,3;
2026/01/02;0500 UTC;0;956,3;956,5;956;0;22,2;19,5;23,2;21,8;20,2;18,5;91;78;86;164;1,6;,7;
2026/01/02;0600 UTC;0;955,9;956,2;955,5;0;21,6;20,1;21,9;21,3;20,5;19,7;95;89;92;103;1,7;1,1;
2026/01/02;0700 UTC;0;955,5;955,7;955,4;0;20,9;19,6;21,3;20,5;19,8;19,4;96;92;94;243;2,1;1,3;
2026/01/02;0800 UTC;0;955,4;955,5;955,3;0;20,1;19,6;20,5;19,9;19,7;19,5;98;95;97;266;2,5;1,8;
2026/01/02;0900 UTC;0;955,6;955,9;955,4;10,6;20,2;19,1;20,6;19,9;19,5;18,9;98;92;95;297;3,6;2,5;
2026/01/02;1000 UTC;0;956;956,2;955,8;404,8;21,1;19;22;20,5;19,4;18,8;92;87;90;278;3;2;
2026/01/02;1100 UTC;0;956,5;956,6;956,3;1200,4;23,2;19,7;24,2;22;20,5;19,2;87;77;83;286;3,7;1,8;
