REGIAO:;S
UF:;RS
ESTACAO:;CAMPO BOM
CODIGO (WMO):;A884
LATITUDE:;-29,67416666
LONGITUDE:;-51,06416666
ALTITUDE:;23,35
DATA DE FUNDACAO:;29/11/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1004,6;1004,9;1004,3;0;27,8;23,7;28,4;27,1;24;23;83;77;80;76;2,4;1,2;
2026/01/01;0100 UTC;0;1004,8;1005;1004,7;0;26,8;23,4;27,2;26,3;23,9;23,2;87;80;83;108;,6;,2;
2026/01/01;0200 UTC;0;1004,6;1005;1004,4;0;25,8;23,7;26,3;25,5;23,8;23,5;91;86;89;132;,9;,2;
2026/01/01;0300 UTC;0;1004,6;1004,8;1004,4;0;25,2;23,7;25,5;24,8;23,8;23,6;94;91;93;274;,9;,5;
2026/01/01;0400 UTC;0;1004,6;1004,8;1004,5;0;24,5;23,6;24,7;24,3;23,7;23,5;96;94;95;219;,4;,2;
2026/01/01;0500 UTC;0;1004,3;1004,5;1004;0;24,1;23,5;24,3;24,1;23,6;23,4;97;96;97;59;1,1;,5;
2026/01/01;0600 UTC;0;1003,7;1004;1003,5;0;24,3;23,6;24,5;24,2;23,7;23,6;97;96;96;180;1;,3;
2026/01/01;0700 UTC;0;1003,3;1003,5;1003,1;0;24,3;23,4;24,5;24,2;23,6;23,3;96;95;95;81;1,3;,7;
2026/01/01;0800 UTC;0;1003,2;1003,3;1003;0;24,3;23,4;24,3;24,3;23,5;23,3;96;95;96;55;,8;,2;
2026/01/01;0900 UTC;0;1003,5;1003,9;1003,1;21;24,1;23,5;24,3;24;23,6;23,4;98;96;97;93;1,2;,5;
2026/01/01;1000 UTC;0;1004,2;1004,4;1003,9;238,5;25;23,8;25,9;24,1;24,2;23,6;98;89;94;263;1;,4;
2026/01/01;1100 UTC;0;1004,3;1004,4;1004,2;692,2;26,6;23,6;27,7;25,9;24,2;23,2;90;80;85;231;2,4;1;
2026/01/01;1200 UTC;0;1003,6;1004,2;1003,1;1914,8;28,6;23,5;29,5;27,9;24,5;23;81;69;74;273;4,1;1,9;
2026/01/01;1300 UTC;0;1002,9;1003,1;1002,7;1748,3;29,4;23,3;29,9;28,6;24,1;22,7;74;65;69;282;6,1;2,5;
2026/01/01;1400 UTC;0;1002,6;1002,9;1002,4;2444,7;30,2;23,5;30,9;29,1;24,4;22,7;72;64;66;254;6;2,5;
2026/01/01;1500 UTC;0;1002,1;1002,4;1001,8;2882,5;31;23,9;31,8;30,1;24,8;23,3;68;60;64;250;5,8;2,8;
2026/01/01;1600 UTC;0;1000,9;1000,9;1000,9;4314,8;32,2;23,9;32,2;32,2;23,9;23,9;59;59;59;246;5,4;3,6;
2026/01/01;1700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1800 UTC;0;999,8;1000,3;999,1;3428,4;33,7;24,1;34,5;32;24,7;23,1;59;47;52;244;5,5;2;
2026/01/01;1900 UTC;0;998,9;999,1;998,6;2775,5;34,4;23,8;34,9;33,7;24,7;23,3;51;44;47;229;5,6;2,4;
2026/01/01;2000 UTC;0;998,2;998,6;997,8;1914,6;34,5;22,8;35,1;33,4;24,1;21,4;47;37;42;248;5,3;1,3;
2026/01/01;2100 UTC;0;997,8;997,9;997,7;1213,5;34,6;22,5;34,8;34,4;24,1;21,6;47;36;40;176;1,9;,6;
2026/01/01;2200 UTC;0;998,5;999,1;997,8;329,3;32,8;21,9;34,5;30,4;23;20,6;54;38;46;213;1,9;,5;
2026/01/01;2300 UTC;0;1000;1000,4;999,2;10,1;29,6;22;30,3;29,3;23,6;20,6;70;54;62;99;2,1;,6;
2026/01/02;0000 UTC;0;1001;1001,4;1000,4;0;28,3;23,2;29,6;27;23,6;22,8;80;69;75;66;1,5;,8;
2026/01/02;0100 UTC;0;1001,5;1002;1001,2;0;26,2;22,7;27;25,6;22,9;22,5;86;78;82;223;1;,3;
2026/01/02;0200 UTC;0;1002,4;1002,9;1002;0;24,9;22,8;25,5;24,4;22,9;22,6;92;86;89;257;1,7;1,1;
