REGIAO:;S
UF:;RS
ESTACAO:;ENCRUZILHADA DO SUL
CODIGO (WMO):;A893
LATITUDE:;-30,54305555
LONGITUDE:;-52,52472221
ALTITUDE:;427,75
DATA DE FUNDACAO:;15/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;961,2;961,2;961,2;0;26;16,7;26;26;16,7;16,7;53;53;53;140;2,8;1,6;
2026/01/01;0100 UTC;0;961,5;961,8;961,3;0;25,3;17,8;25,9;24,8;19,1;16,6;71;54;63;118;3,1;1,9;
2026/01/01;0200 UTC;0;961,5;961,8;961,3;0;24,8;19,9;24,8;24,6;20,7;19,1;80;71;76;106;2,1;1,3;
2026/01/01;0300 UTC;0;961,5;961,5;961,4;0;24,7;21,4;24,8;24,7;22;20,7;86;79;83;93;2,9;1,6;
2026/01/01;0400 UTC;0;961,2;961,5;960,8;0;23,4;20,7;24,7;22,8;22;19,8;90;81;86;121;1,3;,7;
2026/01/01;0500 UTC;0;960,5;960,9;960,3;0;23,4;21,5;23,8;23,2;21,9;20,9;93;86;90;130;1,9;1;
2026/01/01;0600 UTC;0;959,9;960,3;959,6;0;23,2;21,8;23,5;23;21,9;21,6;94;92;93;64;3,1;1,9;
2026/01/01;0700 UTC;0;959,3;959,6;959,2;0;23,2;21,7;23,2;23;21,9;21,5;94;92;93;63;2,8;1,7;
2026/01/01;0800 UTC;0;959,4;959,5;959,2;0;22,7;21,4;23,1;22;21,6;21,3;97;92;94;46;2;1;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;0;960,3;960,5;960,1;210,9;22,7;22;23,7;22,1;22,1;21,6;99;89;96;80;3,6;1,5;
2026/01/01;1100 UTC;0;960,7;960,9;960,5;1125,2;24,4;22;25;23,8;22,3;21,6;90;85;88;105;4,6;2,7;
2026/01/01;1200 UTC;0;960,9;961,1;960,7;2084,4;25,9;22,3;26,9;24,9;23,1;21,9;86;76;82;261;3,1;1,9;
2026/01/01;1300 UTC;0;960,7;960,8;960,6;2534,1;27,7;21,8;28,7;26,6;22,9;21;81;65;71;288;5,4;3;
2026/01/01;1400 UTC;0;960,5;960,7;960,4;3106,5;29;20,5;29,9;28,2;22;19,1;69;47;58;308;9,5;3,3;
2026/01/01;1500 UTC;0;960,1;960,5;959,7;3920,2;30,2;19,6;30,7;29,4;20,1;18,7;52;43;47;272;6,8;2,8;
2026/01/01;1600 UTC;0;959,5;959,8;959,2;4047,1;31,1;19,5;31,8;30,5;20,4;18,8;49;36;42;265;5,5;2,7;
2026/01/01;1700 UTC;0;958,9;959,2;958,6;3948,6;32,1;18,8;32,6;31,6;20;18;41;28;34;240;7,2;3,8;
2026/01/01;1800 UTC;0;958,5;958,8;958,3;3576,1;32,7;19,2;33,3;32;19,7;18,8;36;29;33;225;6,5;3,3;
2026/01/01;1900 UTC;0;958;958,3;957,6;3022,2;33,1;18,8;33,6;32,6;19,4;18,1;32;26;29;233;4,8;2,3;
2026/01/01;2000 UTC;0;957,2;957,6;956,9;2246;33,3;18,7;33,7;32,8;19,2;18,3;31;25;27;253;5;2,3;
2026/01/01;2100 UTC;0;956,9;957;956,8;1414,6;32,9;19,3;33,2;32,6;19,7;18,8;35;29;32;249;3,2;1,9;
2026/01/01;2200 UTC;0;957,1;957,2;957;453,8;32,1;19;32,9;31,6;19,6;18,6;36;33;34;243;1,8;1,1;
2026/01/01;2300 UTC;0;957,5;958,1;957,2;64,3;30,8;19,2;32;28;20,1;18,6;60;34;42;219;7,7;4,5;
2026/01/02;0000 UTC;0;959,6;959,6;959,6;0;24,8;19;24,8;24,8;19;19;71;71;71;191;2,3;,5;
2026/01/02;0100 UTC;0;959,5;959,8;959,3;0;23,7;19,2;24,7;22,9;19,7;18,9;84;71;78;193;7,5;4,6;
2026/01/02;0200 UTC;0;959,8;960,3;959,4;0;22,6;19,5;22,9;22,3;19,8;19;86;81;84;188;4,7;1,4;
2026/01/02;0300 UTC;0;959,7;960,1;959;0;24;17,1;24,9;22,4;19,4;15,5;85;54;65;178;1,7;,8;
2026/01/02;0400 UTC;0;958,7;959;958,5;0;23,7;17,7;25;22,4;19,2;15,2;84;52;70;188;6,6;4;
2026/01/02;0500 UTC;0;958,1;958,5;957,7;0;21,9;19,6;22,4;21,6;20;19,2;92;84;89;186;5,7;2,9;
2026/01/02;0600 UTC;0;957,9;958,2;957,6;0;21,5;20,2;21,6;21,4;20,4;20;95;92;94;189;4,7;2,7;
2026/01/02;0700 UTC;0;958;958,1;957,8;0;21,5;19,9;21,6;21,3;20,2;19,7;93;91;92;200;4,4;2,5;
2026/01/02;0800 UTC;0;957,9;958;957,7;0;21;19,8;21,3;20,8;20;19,7;95;92;94;210;3,6;2,3;
2026/01/02;0900 UTC;0;958,1;958,3;958;18,8;20,6;19,8;20,8;20,5;19,9;19,7;96;95;96;208;3,3;1,9;
2026/01/02;1000 UTC;0;958,6;958,9;958,3;158,9;21;19,7;21,7;20,6;19,8;19,6;96;90;94;217;2,8;1,6;
2026/01/02;1100 UTC;0;959,5;960;958,9;1298,6;23;19,4;24,2;21,8;19,8;19;90;74;82;263;1,8;1;
2026/01/02;1200 UTC;0;959,9;960,1;959,8;2149,2;24,4;19;25,6;23,6;19,4;17,9;79;62;73;241;3,5;1,5;
2026/01/02;1300 UTC;0;959,9;960,1;959,8;2901,1;26,1;18,3;26,9;25,6;19;17,7;66;56;61;254;3,9;2,2;
2026/01/02;1400 UTC;0;959,9;960;959,7;3451,9;27,7;18,7;28,5;26,7;19,9;18,2;64;50;55;269;4,5;2,4;
2026/01/02;1500 UTC;0;959,5;959,7;959,2;3789,4;29;19,2;29,9;28,1;20,7;18,6;55;49;51;242;4,5;2,1;
2026/01/02;1600 UTC;0;958,8;959,2;958,5;3383,7;30,3;19,3;30,8;29,3;20,8;18;52;38;45;236;6,2;2,5;
2026/01/02;1700 UTC;0;958,1;958,5;957,7;3657,8;31,1;18,9;31,7;30,4;20,3;18,1;48;36;39;288;6,2;3;
2026/01/02;1800 UTC;0;957,3;957,7;956,8;3610,8;31,8;18,6;32,1;31,3;19,4;17,8;40;29;34;287;8,5;4,6;
2026/01/02;1900 UTC;0;956,8;957,1;956,4;2506,2;31,4;18,3;31,9;30,8;19,1;17,7;39;30;35;276;7,2;3,6;
2026/01/02;2000 UTC;0;955,9;955,9;955,9;2021,6;30,7;18,9;30,7;30,7;18,9;18,9;41;41;41;292;4,2;2,3;
2026/01/02;2100 UTC;0;955,4;955,4;955,4;516,5;29,6;19;29,6;29,6;19;19;47;47;47;268;3,7;2,1;
2026/01/02;2200 UTC;0;955,7;955,7;955,7;236,9;28,7;18,5;28,7;28,7;18,5;18,5;49;49;49;251;4,1;2,8;
2026/01/02;2300 UTC;0;955,6;955,6;955,6;0;26,6;17,6;26,6;26,6;17,6;17,6;55;55;55;233;1,8;1,1;
2026/01/03;0000 UTC;0;955,9;955,9;955,9;0;24,6;18,9;24,6;24,6;18,9;18,9;72;72;72;173;2,6;1,8;
2026/01/03;0100 UTC;0;956,1;956,3;955,9;0;24;18,9;24,4;23,4;19,1;18,8;78;73;75;127;1,2;,7;
2026/01/03;0200 UTC;0;956,5;956,6;956,3;0;23,4;18,4;23,5;23,2;18,9;18;78;73;75;80;1,2;,5;
2026/01/03;0300 UTC;0;956,5;956,6;956,5;0;22,6;18,2;23,4;22,2;18,3;18,1;80;74;78;56;1,8;1,1;
2026/01/03;0400 UTC;0;956;956,5;955,6;0;22,2;18,5;22,5;21,9;18,7;18,2;84;79;81;32;2,4;1,4;
2026/01/03;0500 UTC;0;955,5;955,6;955,3;0;21,5;18,6;21,8;21,1;18,6;18,5;87;84;85;46;2,3;1,3;
2026/01/03;0600 UTC;0;955,2;955,3;955,1;0;21;18,7;21,2;20,9;18,9;18,6;90;87;89;258;5,2;2,7;
2026/01/03;0700 UTC;0;955,1;955,3;955;0;21,1;18,5;21,2;20,9;18,9;18,3;89;86;87;340;5,9;4,2;
2026/01/03;0800 UTC;0;955,4;955,5;955,2;0;21,4;16,5;22;20,9;18,4;15,1;88;66;75;314;8;4,4;
2026/01/03;0900 UTC;0;955,9;956,3;955,5;33;21,9;15,1;22;21,7;15,3;15;67;65;66;292;6,8;3,1;
2026/01/03;1000 UTC;0;956,5;956,9;956,2;165,8;22,1;15,3;22,3;22;15,4;15,2;66;65;66;269;7,9;4;
2026/01/03;1100 UTC;0;957,4;957,9;956,9;1267,1;22,5;15;23;22,1;15,6;14;66;56;63;262;9,2;5,4;
2026/01/03;1200 UTC;0;958;958,3;957,8;2146,6;23,4;13,1;23,9;23,1;14,5;12,2;57;44;49;262;10,6;5,6;
2026/01/03;1300 UTC;0;958,6;959,1;958,2;2910;23,9;13,5;24,2;23,5;14,2;12,7;51;45;48;260;10,7;5,9;
2026/01/03;1400 UTC;0;959,4;959,7;959;3480,9;24,6;13,4;25,1;24;13,9;13,1;47;41;44;252;11;6,1;
2026/01/03;1500 UTC;0;960,2;960,6;959,6;3419;24,6;14,1;25,2;23,5;14,8;13,4;55;42;48;216;10,1;5,6;
2026/01/03;1600 UTC;0;960,9;961,3;960,5;3732,9;23,4;13,6;24,4;22,7;14,7;12,6;55;45;51;229;11,4;6,4;
2026/01/03;1700 UTC;0;961,6;961,8;961,3;3765,5;22,4;12,9;23;22;13,8;12;56;49;53;206;11,1;6,6;
2026/01/03;1800 UTC;0;962,1;962,3;961,7;2604,9;21,6;11,3;22,3;20,8;12,1;10,4;53;45;49;217;9,7;6;
