REGIAO:;S
UF:;RS
ESTACAO:;CACHOEIRINHA
CODIGO (WMO):;B808
LATITUDE:;-29,95138888
LONGITUDE:;-51,12416666
ALTITUDE:;72
DATA DE FUNDACAO:;18/02/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,5;1008,8;1008,1;0;27,7;23,9;28,2;27,1;24,2;23,7;84;80;81;128;4,6;2,7;
2026/01/01;0100 UTC;0;1008,7;1008,8;1008,5;0;26,8;23,7;27,1;26,6;23,9;23,6;86;83;85;119;4,6;1,8;
2026/01/01;0200 UTC;0;1008,5;1008,9;1008,2;0;26,1;23,7;26,6;25,7;23,8;23,7;90;86;88;143;2;1,2;
2026/01/01;0300 UTC;0;1008,3;1008,5;1008,1;0;25,4;23,5;25,7;25,2;23,7;23,4;91;90;90;103;2,7;1,4;
2026/01/01;0400 UTC;0;1008,3;1008,4;1008,1;0;24,7;23,4;25,2;24,2;23,5;23,2;96;91;93;137;2;1,4;
2026/01/01;0500 UTC;0;1007,8;1008,1;1007,6;0;24,3;23,6;24,4;24,3;23,6;23,5;96;96;96;137;3;1,7;
2026/01/01;0600 UTC;0;1007,4;1007,8;1007,1;0;24,5;23,5;24,6;24,4;23,6;23,2;96;93;95;147;3,2;1,8;
2026/01/01;0700 UTC;0;1006,8;1007,2;1006,6;0;24,6;23,3;24,7;24,6;23,4;23,2;94;93;93;76;2,2;1,2;
2026/01/01;0800 UTC;0;1006,6;1006,7;1006,4;0;24,5;23,3;24,7;24,2;23,4;23,2;96;93;94;196;,7;,4;
2026/01/01;0900 UTC;0;1006,8;1007,3;1006,4;44,8;24;23,3;24,3;23,8;23,5;23,1;97;95;96;242;1,8;1;
2026/01/01;1000 UTC;0;1007,6;1008;1007,3;263,1;24,9;23,6;25,3;24,1;23,9;23,4;97;92;94;284;1,3;,6;
2026/01/01;1100 UTC;0;1008;1008,1;1007,9;640;25,6;24;26;25,3;24,2;23,8;93;89;92;272;3,6;1,9;
2026/01/01;1200 UTC;0;1007,7;1007,9;1007,5;1430,8;26,8;23,8;27,8;26,1;24,2;23,5;90;81;85;274;4,5;2,1;
2026/01/01;1300 UTC;0;1007,2;1007,5;1007;2509,5;28,3;23,8;29,8;27,4;24,7;23,4;82;71;77;300;5,6;2,9;
2026/01/01;1400 UTC;0;1007;1007,1;1006,9;2577,3;29,5;24;30,1;29;24,9;23,3;76;69;72;258;6;2,8;
2026/01/01;1500 UTC;0;1006,5;1006,9;1006,1;3329,3;30,5;23,9;31,3;29,7;25,3;23,1;73;62;67;266;6,1;2,9;
2026/01/01;1600 UTC;0;1005,6;1006,1;1005,3;3906;31,9;24;32,4;31;24,9;23,4;66;57;61;261;6,1;3,2;
2026/01/01;1700 UTC;0;1004,9;1005,3;1004,6;3699,7;32,4;23,8;33;31,8;24,9;23,2;61;51;57;252;6,2;3,2;
2026/01/01;1800 UTC;0;1003,9;1003,9;1003,9;3205,8;33,5;22,9;33,5;33,5;22,9;22,9;47;47;47;255;4,7;3,5;
2026/01/01;1900 UTC;0;1003,4;1003,4;1003,4;2544,1;34;23,4;34;34;23,4;23,4;47;47;47;286;3,8;1,8;
2026/01/01;2000 UTC;0;1002,9;1003,4;1002,6;2127;33,9;22,9;34,4;33,6;23,5;22,3;47;42;45;246;4,6;2,3;
2026/01/01;2100 UTC;0;1002,5;1002,7;1002,4;1307,9;33,8;22,9;34,1;33,6;23,7;22,3;48;43;45;247;2,9;1,4;
2026/01/01;2200 UTC;0;1003,2;1003,7;1002,5;418,8;32;21,5;33,6;30,7;23;19,2;50;42;47;187;4,9;2,5;
2026/01/01;2300 UTC;0;1004,2;1004,5;1003,7;16,4;28,8;19,8;30,8;27,2;20,9;19;67;41;55;91;1,2;,7;
2026/01/02;0000 UTC;0;1004,8;1005;1004,5;0;26,8;20,8;27,7;26;21,9;19,7;78;65;70;91;2,9;1;
2026/01/02;0100 UTC;0;1005,2;1005,8;1004,8;0;26;22,1;27,7;24;22,7;21,5;90;71;80;185;1,7;1;
2026/01/02;0200 UTC;0;1006,5;1006,7;1005,8;0;25,4;22,9;26;23,9;23,3;22,1;95;83;88;221;2,4;1,5;
2026/01/02;0300 UTC;0;1006,5;1006,7;1006,1;0;25,2;21,8;25,7;24,6;22,1;21,5;86;79;83;137;2,2;1,2;
2026/01/02;0400 UTC;0;1005,8;1006,1;1005,5;0;25,1;22,5;25,3;24,9;22,9;21,8;90;82;87;140;2,1;1,1;
2026/01/02;0500 UTC;0;1005,7;1005,8;1005,5;0;24,1;22,9;24,9;23,6;23,1;22,6;95;90;94;201;,9;,4;
2026/01/02;0600 UTC;0;1005,3;1005,7;1004,9;0;23,5;22,6;23,7;23,4;22,8;22,3;96;94;95;87;1,8;,9;
2026/01/02;0700 UTC;0;1005;1005,2;1004,9;0;23,3;22,6;23,5;23,1;22,8;22,3;97;95;96;303;1,1;,6;
2026/01/02;0800 UTC;0;1005;1005,2;1004,8;0;22,7;22,1;23;22,3;22,4;21,8;98;96;97;321;,8;,6;
2026/01/02;0900 UTC;0;1005,5;1005,8;1005,2;40,6;22,4;22;22,7;22,2;22,2;21,7;98;97;98;299;1,2;,8;
2026/01/02;1000 UTC;0;1005,9;1006,1;1005,7;362,9;23,9;22,7;25,1;22,7;23,4;22,1;98;91;94;323;2,6;1,5;
2026/01/02;1100 UTC;0;1006,6;1006,9;1006,2;751,3;25,5;23,4;26,3;25;23,8;23;92;84;89;300;3,5;1,6;
2026/01/02;1200 UTC;0;1006,9;1007;1006,8;1810;27,1;22,9;28;26,3;23,5;22,2;85;73;79;254;3,8;1,4;
2026/01/02;1300 UTC;0;1006,8;1007;1006,6;2515,5;28,1;22,2;29;27;23,3;21,1;79;61;70;232;4,5;1,8;
2026/01/02;1400 UTC;0;1006,6;1006,7;1006,4;3375,1;29,5;21,9;30;28,8;23,2;21;70;58;62;255;4,9;2,4;
2026/01/02;1500 UTC;0;1006,1;1006,4;1005,9;3634,6;30,3;21,7;30,9;29,2;22,9;20,2;65;49;57;243;4,3;1,9;
2026/01/02;1600 UTC;0;1005,5;1005,9;1005,2;4065,3;30,7;21,8;31,5;30,1;22,8;20,7;60;50;55;243;4,4;2,3;
2026/01/02;1700 UTC;0;1004,6;1005,2;1004,1;3826,6;31,3;21,9;31,7;30,8;23,2;21,2;62;50;53;253;4,8;1,9;
2026/01/02;1800 UTC;0;1003,6;1004,2;1003,1;3523;32;22;32,6;31,5;23,2;21,2;57;45;50;288;4,7;2,2;
2026/01/02;1900 UTC;0;1002,3;1002,3;1002,3;2636,6;32,9;20,7;32,9;32,9;20,7;20,7;39;39;39;257;4,2;2,9;
2026/01/02;2000 UTC;0;1002,4;1002,4;1002,4;1740,8;30,3;21,3;30,3;30,3;21,3;21,3;55;55;55;159;5,2;3,8;
2026/01/02;2100 UTC;0;1002,7;1003,1;1002,3;1319,4;28,4;21,8;30,3;27,4;22,6;20,6;72;55;67;151;7,6;3,7;
2026/01/02;2200 UTC;0;1003,2;1003,5;1003;577,9;26,8;20,5;27,8;26,1;22;19,8;72;64;69;127;5,4;2,8;
2026/01/02;2300 UTC;0;1003;1003,1;1002,9;32,3;25,7;18,8;26,1;25,1;19,9;17,8;69;60;66;137;5,5;2,5;
2026/01/03;0000 UTC;0;1003,2;1003,7;1003;0;24,8;19,1;25,1;24,7;19,6;18,3;75;66;72;98;5,3;2,2;
2026/01/03;0100 UTC;0;1003,9;1004,2;1003,6;0;24,3;19,5;24,7;23,6;19,9;19,3;81;73;76;145;3,4;1,8;
2026/01/03;0200 UTC;0;1003,9;1004,1;1003,8;0;23,7;19,6;24;23,4;19,9;19,4;82;77;80;62;5,6;3,3;
2026/01/03;0300 UTC;0;1004,1;1004,1;1003,8;0;23,1;19,8;23,9;22,5;20,2;19,5;88;78;83;143;2,6;1,3;
2026/01/03;0400 UTC;0;1003,5;1003,8;1003;0;22,2;19,9;22,6;21,9;20,3;19,7;91;86;89;144;1,5;,7;
2026/01/03;0500 UTC;0;1002,8;1003;1002,6;0;20,8;19,5;22,1;20,2;19,9;19,3;96;89;93;324;1;,5;
2026/01/03;0600 UTC;0;1002,4;1002,7;1002,2;0;20,1;19,3;20,3;19,9;19,5;19,1;97;95;96;310;1,4;,9;
2026/01/03;0700 UTC;0;1002,3;1002,4;1002,1;0;20,7;19,6;21,2;20,2;19,8;19,2;96;93;94;295;1,6;,6;
2026/01/03;0800 UTC;0;1002,5;1002,7;1002,4;0;21,4;20;21,8;21,1;20,1;19,8;95;92;93;289;2,4;1;
2026/01/03;0900 UTC;0;1003;1003,2;1002,7;24,1;21,9;20,1;22;21,8;20,2;20;92;90;91;311;3,2;1,4;
2026/01/03;1000 UTC;0;1003,4;1003,6;1003,1;426,6;22,8;20,3;24,2;22;20,8;20;90;82;87;279;4,5;2;
2026/01/03;1100 UTC;0;1003,9;1004,5;1003,6;1268,5;25,4;20,8;25,9;24,2;21,2;20,4;81;74;77;254;8,5;5,1;
2026/01/03;1200 UTC;0;1004,6;1005;1004,3;1451,9;26,1;21,3;26,7;25,7;21,6;21;78;73;76;262;7;4;
2026/01/03;1300 UTC;0;1005,6;1006;1005,1;1684,7;26,9;20;27,4;26,6;21,6;19,3;73;63;66;248;6,2;4,1;
2026/01/03;1400 UTC;0;1006,2;1006,4;1005,9;2592,4;27,7;19,7;28,5;27;20,9;18,5;66;52;60;250;8,2;4,2;
2026/01/03;1500 UTC;0;1006,7;1007;1006,4;2875,1;28,2;17,2;29,1;27,8;19,6;15,9;59;37;45;250;7,7;3,8;
2026/01/03;1600 UTC;0;1007,5;1008,2;1007;2990,9;27,1;17,7;29,2;25,3;19;16;64;35;53;196;10,4;6,3;
2026/01/03;1700 UTC;0;1008,6;1009,1;1008,2;2903,3;25;16,9;25,9;24,1;17,8;16;63;56;60;193;10,3;5,4;
2026/01/03;1800 UTC;0;1009,4;1009,9;1009;2188,3;24;15,3;24,4;23,2;16,2;14,2;61;53;57;198;11,2;5,4;
2026/01/03;1900 UTC;0;1010,3;1010,7;1009,8;556,1;22,6;13,7;23,3;22,2;15;12,7;59;51;56;176;11;5,4;
2026/01/03;2000 UTC;0;1010,6;1010,8;1010,4;1514,6;22,5;12,6;23,2;21,9;13,3;12;54;47;50;194;11,9;6,2;
2026/01/03;2100 UTC;0;1011,1;1011,5;1010,7;687,1;21,9;12,5;22,8;21,5;13,1;11,7;56;49;53;186;8,5;4,5;
