REGIAO:;S
UF:;RS
ESTACAO:;CACHOEIRA DO SUL
CODIGO (WMO):;B822
LATITUDE:;-30,01833332
LONGITUDE:;-52,93888888
ALTITUDE:;73
DATA DE FUNDACAO:;17/09/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1000,2;1000,5;999,8;0;26,8;23,8;27,7;25,8;24,5;23,3;90;81;85;162;,9;,6;
2026/01/01;0100 UTC;0;1000,8;1001;1000,4;0;26;23,3;26,6;25,5;23,8;22,8;90;82;86;78;1,3;,8;
2026/01/01;0200 UTC;0;1000,7;1000,8;1000,6;0;25,1;23;25,5;24,8;23,2;22,8;92;87;89;294;,7;,5;
2026/01/01;0300 UTC;0;1000,8;1001;1000,6;0;24,5;23,1;24,8;24;23,3;22,9;96;92;93;219;1,1;,8;
2026/01/01;0400 UTC;0;1000,9;1001;1000,6;0;24,3;23,4;24,8;23,9;23,8;23;97;92;95;273;1,4;,7;
2026/01/01;0500 UTC;0;1000,4;1000,6;1000,2;0;24,8;24,2;25,2;23,9;24,5;23,3;98;96;97;245;1,4;,7;
2026/01/01;0600 UTC;0;999,8;1000,2;999,4;0;24,4;23,9;24,7;24,2;24,2;23,7;99;97;98;270;1,3;,6;
2026/01/01;0700 UTC;0;999,4;999,5;999,2;0;24,2;23,8;24,6;23,8;24,3;23,4;99;97;98;230;1,4;,6;
2026/01/01;0800 UTC;0;999,5;999,7;999,2;0;23,9;23,7;24,2;23,4;24,1;23,2;100;98;99;309;2,7;1,6;
2026/01/01;0900 UTC;0;1000,1;1000,4;999,7;24,8;24,2;23,9;24,3;24;24,1;23,7;99;97;98;321;3,2;2,1;
2026/01/01;1000 UTC;0;1000,3;1000,5;1000,2;438;24,7;23,7;25,2;24,3;23,9;23,6;97;93;95;315;3,2;2;
2026/01/01;1100 UTC;0;1000,5;1000,7;1000,4;1125,1;25,7;23,8;26,4;25,2;24,3;23,3;94;86;90;299;4,3;2,4;
2026/01/01;1200 UTC;0;1000,2;1000,5;1000;2026,1;26,8;23,7;27,5;26,2;24,3;23,3;89;81;84;305;5;2,7;
2026/01/01;1300 UTC;0;1000;1000,2;999,6;2685,8;27,9;23,8;28,8;26,8;24,8;23,2;84;74;79;315;5,5;3,4;
2026/01/01;1400 UTC;0;999,4;999,7;998,9;3323;29,1;24,1;29,6;28,6;24,9;23,4;79;69;75;293;6,2;3,3;
2026/01/01;1500 UTC;0;998,7;999,1;998,2;3724,1;30;24;30,5;29,5;25,1;22,8;77;62;70;283;5,4;2,9;
2026/01/01;1600 UTC;0;998,2;998,4;997,8;4060,3;30,9;23,4;31,4;30,5;24,8;22,7;70;57;62;316;6,4;3,6;
2026/01/01;1700 UTC;0;997,4;997,9;997,1;3942,6;31,9;22,8;32,6;31,4;24;21,7;63;47;55;292;6,9;3,2;
2026/01/01;1800 UTC;0;996,7;997,1;996,2;3569;32,6;22,5;32,9;32,3;23,6;21,5;54;45;49;310;6;3,4;
2026/01/01;1900 UTC;0;995,9;996,3;995,1;2998,2;32,9;22,6;33,4;32,5;23,8;21,7;53;44;48;291;4;2,2;
2026/01/01;2000 UTC;0;994,7;995,2;994,5;2246,9;33,1;23,1;33,4;32,9;24,1;22,3;55;46;50;323;4,6;2,8;
2026/01/01;2100 UTC;0;994,3;994,5;994,1;1439;32,9;23,1;33,4;32,6;24,1;22,5;55;48;51;322;4,6;3,1;
2026/01/01;2200 UTC;0;994,7;995,3;994,2;506;31,6;22,8;32,6;30,8;23,5;22,1;59;50;56;339;4;2,8;
2026/01/01;2300 UTC;0;995,7;996,1;995,2;55,9;29,3;22,2;30,8;28,4;22,7;21,6;69;59;64;224;2,2;1,3;
2026/01/02;0000 UTC;0;996,7;997,1;996;0;27,7;21,1;28,4;27;21,7;20,4;71;63;67;338;3;2,4;
2026/01/02;0100 UTC;0;997,9;998,6;997;0;27,8;20,9;28,3;26,8;21,9;20;72;61;65;169;9,7;4,9;
2026/01/02;0200 UTC;0;999,7;1000,4;998,6;0;26,9;20,6;28;25,9;21,6;20,1;74;66;68;199;5,4;3,3;
2026/01/02;0300 UTC;0;999,8;1000,3;998,9;0;25,5;20,7;25,9;25;20,9;20,5;78;74;76;107;2,2;1,2;
2026/01/02;0400 UTC;0;998,4;998,9;998,2;0;24,8;20,4;25,2;24,5;20,7;20,2;80;76;78;48;4,9;2,4;
