REGIAO:;S
UF:;RS
ESTACAO:;PINHEIRO MACHADO
CODIGO (WMO):;B823
LATITUDE:;-31,57472221
LONGITUDE:;-53,38833333
ALTITUDE:;419
DATA DE FUNDACAO:;17/09/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;960,5;960,6;960,3;0;23,4;15,5;25,4;22,6;16,2;15,1;64;52;61;54;3;1,8;
2026/01/01;0100 UTC;0;960,8;961,1;960,6;0;22,8;15,9;23,1;22,4;17;15,3;71;62;66;65;3,7;2,1;
2026/01/01;0200 UTC;0;961,2;961,4;961;0;21,9;17,2;22,7;21,3;17,4;16,5;79;71;76;64;3,1;2,1;
2026/01/01;0300 UTC;0;961;961,2;960,9;0;19,3;16,7;21,5;17,9;17,4;16,4;94;78;87;308;1,2;,8;
2026/01/01;0400 UTC;0;960,7;960,9;960,4;0;18,1;16,8;18,6;17,7;17,4;16,5;96;92;94;255;1,4;,6;
2026/01/01;0500 UTC;0;960,1;960,4;959,5;0;18,5;18,1;20;17,5;19,9;16,6;100;94;98;249;2;1,1;
2026/01/01;0600 UTC;0;959,3;959,5;959;0;19,5;19,4;20,1;18,9;20,1;18,7;100;99;100;202;,9;,5;
2026/01/01;0700 UTC;0;958,8;959;958,6;0;19,1;19;19,4;18,8;19,4;18,7;100;100;100;226;1,2;,6;
2026/01/01;0800 UTC;0;958,7;958,8;958,6;0;19,4;19,3;19,8;19,1;19,8;19;100;100;100;309;2,4;1,2;
2026/01/01;0900 UTC;0;959,1;959,4;958,8;23,3;19,8;19,8;19,9;19,7;19,9;19,7;100;100;100;273;2,7;1,3;
2026/01/01;1000 UTC;0;959,5;959,6;959,3;448,1;20,9;20;22,8;19,7;20,3;19,7;100;87;96;268;3,8;2,1;
2026/01/01;1100 UTC;0;959,9;960;959,6;1217,5;23,7;20,3;24,7;22,8;20,7;19,9;87;77;83;269;5,6;2,3;
2026/01/01;1200 UTC;0;959,5;959,8;959,3;2267,3;25,7;19,7;26,6;24,7;20,4;18,8;78;61;70;255;4,1;2;
2026/01/01;1300 UTC;0;959,5;959,7;959,3;2955,7;27,6;19,3;28,1;26,7;20;18,3;65;52;59;262;5,2;2,9;
2026/01/01;1400 UTC;0;959,4;959,5;959,3;3537,5;29;18,8;29,9;28;19,4;17,8;54;45;49;273;6,7;3,7;
2026/01/01;1500 UTC;0;959,1;959,3;958,7;3891,3;30,2;18,6;30,8;29,4;19,4;17,8;49;35;42;226;6,7;2,9;
2026/01/01;1600 UTC;0;958,4;958,7;958,1;3978,6;31;18,5;31,4;30,5;19,7;17,7;42;32;38;227;5,8;3,3;
2026/01/01;1700 UTC;0;957,8;958,1;957,5;3860,6;31,9;18,8;32,6;31,2;19,6;17,9;39;31;34;243;5,5;2,8;
2026/01/01;1800 UTC;0;957,3;957,6;956,9;3527;32,6;19,3;32,9;32,1;20;18,5;37;31;34;238;5,9;2,8;
2026/01/01;1900 UTC;0;956,6;956,9;956,1;2942,9;32,9;20;33,3;32,6;20,8;19,5;39;34;36;231;5,9;3;
2026/01/01;2000 UTC;0;955,8;955,8;955,8;1229,1;26,7;19,8;26,7;26,7;19,8;19,8;65;65;65;146;13,4;9;
2026/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2200 UTC;4,5;958,1;959,9;956,6;64;23,7;18,7;26,4;20,2;20,4;17,3;96;57;75;199;11,6;3,9;
2026/01/01;2300 UTC;,4;958;959,5;957,4;139,5;21;19,7;21,3;20,2;20,6;18,8;98;88;94;58;4,9;2;
2026/01/02;0000 UTC;0;958;958,3;957,5;0;20,6;19,8;20,9;20,4;20;19,4;98;92;96;157;2,6;1,1;
2026/01/02;0100 UTC;0;959;959,5;958,5;0;20,4;19,9;20,6;20,3;20,2;19,6;99;96;98;112;4,6;2,4;
2026/01/02;0200 UTC;0;959,5;959,6;959,4;0;20;19,7;20,3;19,8;20;19,6;99;98;99;103;3,8;2,2;
2026/01/02;0300 UTC;0;959,6;959,8;959,5;0;19,8;19,3;20;19,4;19,7;18,7;99;96;98;107;4,5;2,5;
2026/01/02;0400 UTC;0;959,2;959,7;958,8;0;19,4;19;19,4;19,3;19,1;18,8;99;97;98;96;4,4;2,3;
2026/01/02;0500 UTC;0;958,6;959;958,4;0;19,1;18,7;19,4;18,6;19;18,3;99;97;98;118;2,2;1,3;
2026/01/02;0600 UTC;0;958,3;958,5;958;0;18,4;18,3;18,6;18,2;18,4;18,2;100;99;100;114;3,7;2,3;
2026/01/02;0700 UTC;0;957,9;958;957,8;0;18,2;18,1;18,3;17,9;18,3;17,7;100;99;100;88;3,6;2;
2026/01/02;0800 UTC;0;957,8;957,9;957,8;0;17,8;17,6;17,9;17,6;17,8;17,5;100;99;99;83;1,9;1,1;
2026/01/02;0900 UTC;0;958;958,2;957,8;17,9;17,5;17,4;17,7;17,2;17,6;17,2;100;100;100;277;2,5;1,5;
2026/01/02;1000 UTC;0;958,4;958,7;958,2;305,4;17,1;17,1;17,3;17;17,3;17;100;100;100;316;1,2;,6;
2026/01/02;1100 UTC;0;959;959,2;958,8;1192,3;19,1;17,7;21,8;17,3;18,5;16,4;100;74;93;251;1,4;,7;
2026/01/02;1200 UTC;0;959;959,1;959;2176,5;23,5;16,2;24,4;21,9;18,4;14,5;82;58;64;198;4,2;2,5;
2026/01/02;1300 UTC;0;959;959,1;958,9;2985;24,6;16,9;25,2;24,2;18;16,1;68;56;62;171;5,6;3,2;
2026/01/02;1400 UTC;0;959,1;959,2;958,9;3588,5;25,7;15,2;26,5;24,8;17,3;13,4;61;36;47;195;7,3;3,7;
2026/01/02;1500 UTC;0;958,6;959;958,1;3915,3;26,6;15,9;27;26,2;16,9;14,6;52;41;47;181;6,2;3,2;
2026/01/02;1600 UTC;0;958,1;958,2;958;4012,9;27,2;16,1;28,1;26,4;17,2;15,3;51;39;45;244;5,1;2,4;
2026/01/02;1700 UTC;0;957,8;958,2;957,3;3752,5;28,2;16;28,5;27,8;16,9;15,2;44;35;39;243;6,6;2,8;
2026/01/02;1800 UTC;0;956,9;957,3;956,5;3227,4;28;16,6;28,7;27,5;18,2;15,9;51;40;43;218;6,7;3,6;
2026/01/02;1900 UTC;0;956,2;956,5;956;2926,9;28,1;17,1;28,5;27,8;17,6;16,6;47;43;45;210;6,7;3,8;
2026/01/02;2000 UTC;0;955,4;956,1;955;2234,2;28,2;17,2;28,6;27,8;18;16,8;49;43;45;245;5,8;2,9;
2026/01/02;2100 UTC;0;954,8;954,8;954,8;1036,6;27,5;16,5;27,5;27,5;16,5;16,5;45;45;45;212;5,5;3,5;
2026/01/02;2200 UTC;0;954,8;954,8;954,8;261,5;26;15,9;26;26;15,9;15,9;49;49;49;216;4,8;2,5;
2026/01/02;2300 UTC;0;954,8;954,8;954,8;0;23;16,2;23;23;16,2;16,2;66;66;66;261;1,5;,7;
2026/01/03;0000 UTC;0;955;955,2;954,8;0;22,2;16,1;23,2;21,6;16,8;15,5;73;63;69;245;2,6;1,2;
2026/01/03;0100 UTC;0;955,8;956;955,3;0;20,6;15,9;23,5;19,2;16,1;15,7;84;62;77;140;5,4;2,8;
2026/01/03;0200 UTC;0;956,3;956,5;956,1;0;18,6;16,1;19,2;18,1;16,7;15,9;93;84;88;91;4,8;2,1;
2026/01/03;0300 UTC;0;956,2;956,3;956;0;17,7;16,7;18,1;17,4;16,8;16,7;97;93;95;70;2,6;1,3;
2026/01/03;0400 UTC;0;955,6;956;955,2;0;17,3;16,6;17,4;17,2;16,8;16,4;97;96;97;70;1,9;1;
2026/01/03;0500 UTC;0;955,2;955,3;955;0;17,3;16,5;17,4;17,2;16,6;16,4;96;95;96;305;1,6;,9;
2026/01/03;0600 UTC;0;954,8;955;954,7;0;17,1;16,2;17,9;16,5;16,7;16;99;90;96;250;2;,9;
2026/01/03;0700 UTC;0;954,9;955,1;954,8;0;19,2;15,6;19,8;17,9;15,8;15,5;90;79;82;263;3,4;1,6;
2026/01/03;0800 UTC;0;955,5;955,7;955,1;0;18,2;15,8;19,8;17,2;16,2;15,5;95;78;88;237;4;2;
2026/01/03;0900 UTC;0;956;956,2;955,8;19,4;16,9;16,4;17,2;16,8;16,6;16;99;95;98;253;4,3;2,1;
2026/01/03;1000 UTC;0;956,4;956,8;956,1;406,1;17,6;16,4;18,5;17;16,7;15,7;98;86;94;240;6,6;3,2;
2026/01/03;1100 UTC;0;957,3;957,7;956,9;1324,6;19;14,5;19,4;18,5;15,8;13,5;86;70;77;216;10,9;5,6;
2026/01/03;1200 UTC;0;958,4;959,4;957,6;1597;18,7;12,3;19,9;17;13,6;10,5;70;66;68;178;12;6,8;
2026/01/03;1300 UTC;0;959,9;960,5;959,3;2445;17,1;10,1;17,7;16,5;10,8;9,2;70;59;65;170;11,4;5,5;
2026/01/03;1400 UTC;0;960,9;961,3;960,5;3031,7;17,4;9,6;18,2;16,5;10,5;9,1;68;57;61;180;11,8;7;
2026/01/03;1500 UTC;0;961,7;962,2;961,1;3959,9;18,1;8,8;18,6;17,4;9,8;7,5;59;47;54;180;10,6;6,1;
2026/01/03;1600 UTC;0;962,3;962,7;962;2896,3;18,3;8;19,2;17,7;8,8;7,4;52;46;49;161;10,5;4,2;
2026/01/03;1700 UTC;0;962,8;963;962,6;3469,4;18,7;7,7;19,7;17,9;8,7;6,9;51;39;45;177;10,6;6,2;
2026/01/03;1800 UTC;0;962,8;962,9;962,5;3776,8;19,5;6,6;20;19;7,4;5,7;41;31;35;189;9,8;5,3;
2026/01/03;1900 UTC;0;962,9;963;962,7;3105,2;20,1;7,3;20,4;19,7;8,1;6,7;39;33;36;183;10,2;5,6;
2026/01/03;2000 UTC;0;963;963,1;962,8;2417,2;20,1;7;20,5;19,6;7,7;6,4;38;31;35;181;8,4;3,9;
2026/01/03;2100 UTC;0;963;963,2;962,9;1527,8;19,7;6,5;20,3;19,4;7,1;6,2;37;32;34;176;8,5;4,9;
2026/01/03;2200 UTC;0;963,3;963,5;963,1;660,6;18,9;6,3;19,6;18,1;6,6;6;41;33;37;164;4,9;2,7;
2026/01/03;2300 UTC;0;963,8;964,1;963,5;48,1;17;6,1;18,1;16,1;6,7;5,8;50;40;46;155;4,5;2,3;
2026/01/04;0000 UTC;0;964,5;964,9;964,1;0;15,3;6,1;16,1;14,5;6,7;5,8;61;49;54;145;3;1,4;
2026/01/04;0100 UTC;0;965,2;965,4;965;0;13,8;6,3;14,6;13,1;6,7;5,8;67;58;62;129;2,8;1,4;
2026/01/04;0200 UTC;0;965,7;966;965,5;0;12,9;6,5;13,1;12,5;7,1;6,3;73;66;68;144;2,2;1,2;
2026/01/04;0300 UTC;0;966,1;966,3;965,9;0;12,2;6,7;12,5;11,9;7,1;6,4;75;70;72;157;2,5;1,3;
2026/01/04;0400 UTC;0;966,1;966,2;966;0;12,2;6,4;12,5;11,8;6,8;6,2;73;69;71;187;3,4;1,6;
