REGIAO:;S
UF:;RS
ESTACAO:;ACEGUA
CODIGO (WMO):;B828
LATITUDE:;-31,87472221
LONGITUDE:;-54,11972221
ALTITUDE:;271
DATA DE FUNDACAO:;17/09/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;977,7;977,9;977,4;0;28,6;15,8;28,9;28,3;16,2;15,6;37;35;36;208;,8;,6;
2026/01/01;0100 UTC;0;978,3;978,6;977,9;0;27,1;16,1;28,4;26,1;16,7;15,3;53;36;45;66;4,4;3,3;
2026/01/01;0200 UTC;0;978,6;978,6;978,5;0;25,8;15,5;26,5;25,1;16;15,2;51;47;48;42;3,9;2,9;
2026/01/01;0300 UTC;0;978,5;978,6;978,5;0;25;15,3;25,3;24,8;15,4;15,1;52;50;51;39;2,6;1,9;
2026/01/01;0400 UTC;0;978,2;978,6;977,9;0;24,2;15,2;25;23;15,4;15;60;51;55;40;4;3,5;
2026/01/01;0500 UTC;0;977,7;977,9;977,4;0;22,8;15,5;23,1;22,4;16,1;14,9;68;59;64;135;4,9;3;
2026/01/01;0600 UTC;0;977,2;977,4;976,9;0;22,5;16,3;22,9;22,2;16,7;16;71;67;69;343;4,3;3,1;
2026/01/01;0700 UTC;0;976,6;976,9;976,4;0;21,9;16,4;22,5;21,3;17;16;75;70;72;325;5,2;3,4;
2026/01/01;0800 UTC;0;976,6;976,8;976,5;0;21,9;17,4;22,9;21,5;18,1;16,1;81;73;78;311;4,3;3;
2026/01/01;0900 UTC;0;977,2;977,4;976,8;9,1;20,6;17,2;22,9;19,4;17,7;16,9;88;72;83;209;3,1;2,4;
2026/01/01;1000 UTC;0;977,4;977,5;977,3;153;21,4;17,1;21,6;21,3;17,3;16,9;80;77;78;192;4,2;2;
2026/01/01;1100 UTC;0;977,3;977,5;977,2;252,7;22,8;18,7;23,1;22,6;19,2;17,6;82;75;79;200;3,2;2,2;
2026/01/01;1200 UTC;0;977,3;977,5;977,2;329,3;24,8;19;26,4;23,2;19,8;18,1;81;63;71;305;3,9;2,6;
2026/01/01;1300 UTC;0;977,1;977,4;976,9;415,4;27,7;19,7;29,1;26,4;20,7;18,9;67;51;60;294;5,6;3,7;
2026/01/01;1400 UTC;0;976,8;977;976,7;490,2;29,8;19,1;30,5;29;20,3;17,9;53;41;47;290;5,3;3,4;
2026/01/01;1500 UTC;0;976,5;976,7;976,1;563,4;30,7;20,1;31,3;30,2;21,4;18,9;53;42;47;262;5,3;3;
2026/01/01;1600 UTC;0;975,8;976,1;975,4;890,7;31,7;20,3;32,4;31,1;22;19,1;50;36;43;239;6,5;3,7;
2026/01/01;1700 UTC;0;975,1;975,4;974,9;1205,4;32,5;20,5;33;31,7;22,2;19,9;49;36;40;241;6,6;4,2;
2026/01/01;1800 UTC;0;974,5;975,1;974;1336;33,1;20,8;33,4;32,8;21,8;19,9;43;34;38;230;7,7;5,4;
2026/01/01;1900 UTC;0;973,5;974;972,9;1319,8;33,4;21,6;33,6;33;22,3;20,6;44;37;41;251;6,7;3,8;
2026/01/01;2000 UTC;0;972,6;972,9;972,4;1133,4;31,6;20,9;33,8;30,1;22,9;20,1;55;35;46;93;6;2,4;
2026/01/01;2100 UTC;0;974,4;975,5;972,7;391;26,8;19;30,4;22,4;21,1;17,6;77;49;61;159;11,8;6,5;
2026/01/01;2200 UTC;0;974,8;975,1;974,6;1341,1;22,5;17,3;23,1;21,7;17,8;16,4;79;66;74;109;8,2;4,9;
2026/01/01;2300 UTC;0;975,2;975,7;974,6;347,7;22;18,8;22,8;21,4;19,3;17,1;89;71;84;146;4,4;2,4;
2026/01/02;0000 UTC;0;976,3;976,7;975,7;0;21,2;19,5;21,4;20,8;19,8;19,1;93;89;92;132;6,4;3,9;
2026/01/02;0100 UTC;0;977,2;977,6;976,6;0;20,4;18,9;20,8;20;19,1;18,8;95;91;93;132;5,1;3,1;
2026/01/02;0200 UTC;0;977,5;977,7;977,4;0;19,8;18,8;20;19,5;19;18,5;96;95;95;133;5,5;3,3;
2026/01/02;0300 UTC;0;977,6;977,8;977,5;0;19,3;18;19,5;19,2;18,5;17,8;95;93;94;117;4,8;3;
2026/01/02;0400 UTC;0;977,3;977,5;977;0;19,2;17,9;19,4;19;18;17,8;94;92;93;105;3,9;2,3;
2026/01/02;0500 UTC;0;976,9;977,1;976,7;0;18,6;17,6;19,1;17,6;17,9;17,2;98;93;95;170;2,9;1,5;
2026/01/02;0600 UTC;0;976,3;976,7;976,1;0;17,3;17;17,6;17,1;17,2;16,7;99;97;98;155;3,6;1,8;
2026/01/02;0700 UTC;0;976;976,1;975,9;0;17,1;16,7;17,3;17;16,8;16,5;99;97;98;147;3,4;1,8;
2026/01/02;0800 UTC;0;975,9;976,1;975,8;0;17,4;16,8;17,6;17;17,2;16,5;99;96;97;169;2,4;1,7;
2026/01/02;0900 UTC;0;976,3;976,5;976;7,8;17,2;16,9;17,7;16,8;17,3;16,4;99;97;99;115;2,9;2;
2026/01/02;1000 UTC;0;976,5;976,7;976,4;102,8;18,7;17,6;19,2;17,7;18;17,3;98;92;94;54;3,5;2,5;
2026/01/02;1100 UTC;0;977;977,4;976,6;188,3;20;18,2;21,1;19,2;18,8;17,8;95;87;91;182;2,8;1,7;
2026/01/02;1200 UTC;0;977,3;977,3;977,2;262;22,7;18,2;24,2;21;19,2;17;89;65;78;285;2,6;1,2;
2026/01/02;1300 UTC;0;977,2;977,3;977,1;333,1;25;17,7;25,7;23,9;19,5;16,8;70;58;64;213;4,5;2,6;
2026/01/02;1400 UTC;0;977,1;977,3;976,8;404,1;26,1;17,2;26,6;25,4;18,6;15,3;64;47;56;194;7,2;4,1;
2026/01/02;1500 UTC;0;976,5;976,8;976,4;478,3;26,5;17,2;27;26,1;18,6;16;61;48;54;230;7,7;3,9;
2026/01/02;1600 UTC;0;976,3;976,7;976;703,6;27,1;17,7;27,6;26,6;19,1;16,9;59;49;53;213;7,6;4,6;
2026/01/02;1700 UTC;0;975,8;976,1;975,4;819,7;27,4;17,3;27,9;26,9;18,5;16,3;55;44;49;205;7;4,2;
2026/01/02;1800 UTC;0;974,9;975,4;974,5;1349,4;27,8;17,3;28,2;27,4;18,7;16,2;54;42;48;218;8,5;4,8;
2026/01/02;1900 UTC;0;974;974,5;973,5;1890;27,9;17,3;28,3;27,3;18,4;16,4;52;44;47;245;4,9;2,8;
2026/01/02;2000 UTC;0;973,2;973,5;972,9;2372,8;28,1;17,7;28,5;27,7;18,4;16,7;52;42;48;219;6,8;4,3;
2026/01/02;2100 UTC;0;972,5;972,9;972,1;2692,8;28,2;17,9;28,5;27,7;18,7;16,3;53;41;49;227;10,8;5,3;
2026/01/02;2200 UTC;0;972,3;972,4;972,2;2381;27,6;16,5;28,2;26,8;16,9;16,1;47;41;44;230;8,4;5,4;
2026/01/02;2300 UTC;0;972,3;972,5;972,2;431,8;25,8;16;26,7;25;16,2;15,7;54;47;51;228;5,1;3,3;
2026/01/03;0000 UTC;0;972,8;973,3;972,4;0;22,9;16,7;25;20,7;17,7;15,6;84;54;69;149;6,1;3,4;
2026/01/03;0100 UTC;0;973,5;974;973,1;0;19,9;17,3;20,6;19,4;17,6;16,9;89;85;87;142;7,2;3;
2026/01/03;0200 UTC;0;974;974,1;973,7;0;19,1;16,6;19,4;18,8;17;16,4;88;87;88;121;7,6;5;
2026/01/03;0300 UTC;0;974;974,3;973,7;0;18,5;16,4;18,8;18,3;16,4;16,4;91;88;90;115;5,1;3,1;
2026/01/03;0400 UTC;0;973,8;974;973,5;0;18,4;16,6;18,7;18,1;16,7;16,4;92;90;91;58;3,8;3;
2026/01/03;0500 UTC;0;973,4;973,6;973,3;0;18,2;16,8;18,5;17,8;17,2;16,6;95;91;93;339;3,6;2,6;
2026/01/03;0600 UTC;0;973,6;973,8;973,4;0;17,7;16,9;18,5;16,8;17,3;16,5;98;93;96;209;5,5;3,7;
2026/01/03;0700 UTC;0;974;974,2;973,7;0;16,5;16,4;16,8;16,2;16,5;16,2;100;98;99;218;5,5;4;
2026/01/03;0800 UTC;0;974,2;974,4;974;0;16,7;16,3;17,7;16,2;16,8;16,1;100;92;98;233;4,7;2,8;
2026/01/03;0900 UTC;0;974,6;975;974,3;7;18,4;15,3;18,9;17,8;16,2;13,8;92;75;85;258;7,1;3;
2026/01/03;1000 UTC;0;975,2;975,7;974,9;100,2;19,3;13,8;19,6;19;14,5;13,2;77;68;72;230;9,4;6,2;
2026/01/03;1100 UTC;0;976,4;977,2;975,6;259,5;18,5;13;19,1;16,8;14,5;10,3;78;64;73;190;14,4;8,6;
