REGIAO:;S
UF:;SC
ESTACAO:;RIO DO CAMPO
CODIGO (WMO):;A861
LATITUDE:;-26,93749999
LONGITUDE:;-50,14555555
ALTITUDE:;591,67
DATA DE FUNDACAO:;10/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;944;944,2;944;;22,5;21,5;22,8;22,5;21,7;21,4;94;93;94;217;0;0;
2026/01/01;0100 UTC;;944,5;944,5;944;;22,4;21,5;22,6;22,4;21,6;21,5;95;94;95;8;0;0;
2026/01/01;0200 UTC;;944,4;944,5;944,4;;22,2;21,3;22,4;22,1;21,5;21,3;95;95;95;312;0;0;
2026/01/01;0300 UTC;;944,1;944,5;944,1;;22,3;20,3;22,6;22,1;21,5;20,3;95;89;89;344;3,7;1,9;
2026/01/01;0400 UTC;;943;944,1;943;;21,7;20,4;22,3;21,7;20,4;20,2;92;88;92;2;3,4;1,5;
2026/01/01;0500 UTC;;942,3;943;942,2;;21,4;20,4;21,7;21,4;20,4;20,3;94;92;94;306;2,7;0;
2026/01/01;0600 UTC;;942,5;942,5;942,2;;21,2;20,2;21,4;21,2;20,5;20,2;95;94;94;327;2;,4;
2026/01/01;0700 UTC;;942,5;942,6;942,2;;21,1;20,2;21,3;21;20,4;20,1;95;94;95;343;2;0;
2026/01/01;0800 UTC;;942,1;942,7;942,1;;20,9;20,1;21,1;20,9;20,2;20;96;95;96;26;2,1;0;
2026/01/01;0900 UTC;;941,9;942,1;941,5;;20,9;20,1;20,9;20,8;20,2;20;96;95;95;349;3,5;2;
2026/01/01;1000 UTC;;941,4;942;941,3;;21,1;20,2;21,1;20,8;20,2;20;95;95;95;1;3,5;1,6;
2026/01/01;1100 UTC;;941,4;941,6;941,4;;22,1;20,6;22,1;21,1;20,7;20,3;95;91;91;17;3,2;,8;
2026/01/01;1200 UTC;;941,7;941,7;941,2;;23,5;21,1;23,6;22,1;21,1;20,5;91;85;87;15;3,1;2;
2026/01/01;1300 UTC;;941,6;941,8;941,5;;25,2;21,3;25,2;23,5;22;21,1;88;79;79;38;4,2;1,7;
2026/01/01;1400 UTC;;941,2;941,6;941,2;;27,1;20,9;27,6;25,2;22,3;20,4;81;67;69;123;2,8;0;
2026/01/01;1500 UTC;;940,3;941,2;940,3;;28,1;20;28,5;26,8;21,8;19,8;73;62;62;150;3;,3;
2026/01/01;1600 UTC;;940,1;940,3;940;;28,3;20,2;28,9;27,4;21,4;19,9;67;60;61;63;3,7;,1;
2026/01/01;1700 UTC;;939,4;940,1;939,4;;26,1;20,9;28,3;26,1;22,4;20,3;76;61;73;173;5,1;2,1;
2026/01/01;1800 UTC;;939,3;939,7;939,2;;25,4;19,2;26,2;25,3;21,4;18,9;77;65;69;192;7,5;2,1;
2026/01/01;1900 UTC;;938,2;939,3;938,2;;27,5;21;27,7;25,4;21;19,2;70;64;68;150;6,6;,9;
2026/01/01;2000 UTC;;938;938,3;937,7;;28,2;21,6;28,8;26,7;21,9;20;70;64;68;288;2,5;,8;
2026/01/01;2100 UTC;;938,2;938,2;937,9;;27,1;20,8;28,2;26,9;21,6;20,6;71;65;69;347;3;1,8;
2026/01/01;2200 UTC;;938,3;938,5;938,2;;25;22,1;27,1;25;22,1;20,6;84;68;84;3;3;1,4;
2026/01/01;2300 UTC;;938,7;938,7;938,2;;23,9;21,9;25;23,8;22,2;21,8;89;84;89;338;2,3;1,5;
2026/01/02;0000 UTC;;939,3;939,3;938,7;;23,5;21,9;24,1;23,5;22;21,7;90;88;90;347;2,3;,4;
2026/01/02;0100 UTC;;939,9;939,9;939,2;;23,1;21,8;23,5;23,1;21,9;21,7;92;90;92;356;1,7;0;
2026/01/02;0200 UTC;;940,1;940,2;939,7;;22,6;21,7;23,1;22,4;21,8;21,4;94;92;94;320;1,5;0;
2026/01/02;0300 UTC;;940;940,2;939,9;;22,1;21,2;22,7;22,1;21,7;21,2;95;94;95;298;1,4;,2;
2026/01/02;0400 UTC;;939,5;940;939,5;;21,8;20,9;22,2;21,8;21,3;20,9;95;94;94;213;1,6;0;
2026/01/02;0500 UTC;;938,8;939,5;938,8;;21,6;20,8;21,8;21,6;20,9;20,7;95;94;95;236;0;0;
2026/01/02;0600 UTC;;938,7;938,8;938,6;;21,3;20,6;21,6;21,2;20,9;20,5;96;95;96;255;2,3;,5;
2026/01/02;0700 UTC;;938,5;938,7;938,5;;21;20,4;21,3;21;20,7;20,4;96;96;96;326;1,5;0;
2026/01/02;0800 UTC;;938,7;938,8;938,5;;20,8;20,2;21,1;20,6;20,5;20;97;96;97;261;0;0;
2026/01/02;0900 UTC;;939,3;939,3;938,6;;20,9;20,4;21,1;20,8;20,5;20,2;97;97;97;284;0;0;
2026/01/02;1000 UTC;;939,8;939,8;939,3;;21;20,4;21,2;20,9;20,6;20,4;97;97;97;279;0;0;
