REGIAO:;S
UF:;SC
ESTACAO:;RIO NEGRINHO
CODIGO (WMO):;A862
LATITUDE:;-26,2486111
LONGITUDE:;-49,57416666
ALTITUDE:;856
DATA DE FUNDACAO:;22/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;916,8;916,8;916,4;;21,3;;21,7;21,3;;;;;;5;3;2;
2026/01/01;0100 UTC;,2;917,6;917,6;916,8;;21,1;;21,3;21,1;;;;;;306;3,6;1,6;
2026/01/01;0200 UTC;1,8;917,8;917,9;917,6;;20,9;;21,2;20,9;;;;;;307;5;1,8;
2026/01/01;0300 UTC;,8;916,8;917,8;916,8;0;20,4;;20,9;20;;;;;;311;5,3;1,5;
2026/01/01;0400 UTC;0;915,7;916,8;915,7;;20,5;;20,5;20,4;;;;;;275;3,7;1,3;
2026/01/01;0500 UTC;0;915;915,7;915;;20,4;;20,5;20,4;;;;;;310;6,7;2,6;
2026/01/01;0600 UTC;0;914,6;915;914,6;,2;20,1;;20,4;20,1;;;;;;315;7,4;3,7;
2026/01/01;0700 UTC;1,6;914,7;914,7;914,6;;19,8;;20,1;19,8;;;;;;288;8,4;1,7;
2026/01/01;0800 UTC;0;914,4;914,7;914,3;;19,9;;19,9;19,8;;;;;;261;5,1;1,1;
2026/01/01;0900 UTC;0;914,8;914,8;914,4;13,2;19,9;;19,9;19,8;;;;;;282;3,8;1,3;
2026/01/01;1000 UTC;0;914,9;915;914,8;139,9;20,2;;20,3;19,9;;;;;;312;4,4;1,9;
2026/01/01;1100 UTC;0;913,9;914,9;913,9;437,5;20,8;;20,8;20,2;;;;;;318;7,2;3,1;
2026/01/01;1200 UTC;,2;914,3;914,4;913,8;710,7;21,6;20,8;21,6;20,8;21,6;20,8;100;95;95;293;9,6;3;
2026/01/01;1300 UTC;0;914,5;914,6;914,2;1429,7;23,5;21,3;23,5;21,6;21,8;20,6;97;88;88;295;8,9;2,4;
2026/01/01;1400 UTC;0;913,8;914,6;913,8;1896,5;25,5;21,5;25,6;22,7;21,8;20,5;89;77;78;309;9,7;3,2;
2026/01/01;1500 UTC;0;913,6;914;913,6;2371,3;25,3;20,8;26,8;24,7;22,7;20,3;80;71;76;277;10,2;3,4;
2026/01/01;1600 UTC;0;913,4;913,7;913,3;2162;25,5;21,3;26;24,7;22,2;20,2;81;73;77;309;9,3;2,8;
2026/01/01;1700 UTC;0;912,7;913,4;912,6;2136,2;25,4;20,2;26,3;25;21,9;20,2;80;72;73;292;10;3,5;
2026/01/01;1800 UTC;0;911,6;912,7;911,6;2348,3;26,8;20,8;28;25,4;21,8;20,2;75;64;70;266;10,6;3,6;
2026/01/01;1900 UTC;0;910,9;911,7;910,8;1456,5;25,8;20,4;27,8;25,8;21,6;20,1;73;65;72;266;9;3,3;
2026/01/01;2000 UTC;4;911,6;911,7;910,8;397,8;22;;25,8;20,8;;;;;;268;12,2;2,3;
2026/01/01;2100 UTC;0;911,6;911,6;911;896;23,3;21;23,8;22;23;20,5;100;85;87;278;7,6;1,2;
2026/01/01;2200 UTC;0;911,9;911,9;911,6;247,1;22,5;20,9;23,4;22,4;21,2;20,7;91;86;91;276;2,8;,2;
2026/01/01;2300 UTC;0;911,8;912;911,8;4,5;21,1;;22,5;21;21,2;20,7;100;90;;355;1,6;0;
2026/01/02;0000 UTC;0;912,1;912,2;911,8;;21;;21,4;20,7;;;;;;307;3,2;1,4;
2026/01/02;0100 UTC;0;912,9;913;912;;20,7;;21;20,6;;;;;;140;3,1;,3;
2026/01/02;0200 UTC;0;912,7;912,9;912,6;;20,5;;20,8;20,3;;;;;;75;3;2;
2026/01/02;0300 UTC;0;912,5;912,9;912,5;;20,8;;20,8;20,3;;;;;;147;3;,1;
2026/01/02;0400 UTC;0;912,4;912,5;912,3;;20,7;;20,9;20,6;;;;;;299;1,2;,2;
2026/01/02;0500 UTC;0;911,5;912,4;911,5;;20,5;;20,8;20,3;;;;;;327;3,2;1,8;
2026/01/02;0600 UTC;0;911,1;911,6;911,1;;20,4;;20,5;20,4;;;;;;305;3,4;1,3;
2026/01/02;0700 UTC;0;911,1;911,2;911;;20,3;;20,5;20,3;;;;;;307;2,8;,8;
2026/01/02;0800 UTC;0;911,1;911,2;911,1;;20,2;;20,3;20,2;;;;;;310;2,2;,3;
2026/01/02;0900 UTC;0;911,9;911,9;911;20,9;20,1;;20,2;20;;;;;;269;3,3;1,1;
2026/01/02;1000 UTC;0;912,4;912,4;911,9;208,6;20,5;;20,6;20;;;;;;304;2,9;1;
2026/01/02;1100 UTC;0;912,6;912,7;912,3;660,4;22,4;21,9;22,4;20,5;;;;;97;268;2,8;1,1;
2026/01/02;1200 UTC;0;912,6;912,6;912,3;1130,7;23,3;21,1;23,4;22,1;21,7;20,3;97;85;87;274;4,9;1,1;
