REGIAO:;S
UF:;SC
ESTACAO:;MAJOR VIEIRA
CODIGO (WMO):;A864
LATITUDE:;-26,3936111
LONGITUDE:;-50,36333333
ALTITUDE:;799,58
DATA DE FUNDACAO:;09/02/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;923,1;923,1;922,5;0;22,4;;22,7;22,4;;;;;;77;4,7;3,5;
2026/01/01;0100 UTC;;923,5;923,7;923,1;,3;20,4;;22,4;20,4;;;;;;53;8,2;4,5;
2026/01/01;0200 UTC;;923,8;924,1;923,5;0;20,3;;20,8;20,3;;;;;;341;6,2;1,4;
2026/01/01;0300 UTC;;923,2;923,8;923,2;,1;20,3;;20,4;20,2;;;;;;50;3,1;2,1;
2026/01/01;0400 UTC;;922;923,2;922;,1;20,1;;20,3;20,1;;;;;;250;3;,7;
2026/01/01;0500 UTC;;921,6;922;921,4;0;20,3;;20,3;20,1;;;;;;316;3,9;2,5;
2026/01/01;0600 UTC;;921,1;921,6;921;0;20,7;;20,7;20,3;;;;;;307;3,9;,2;
2026/01/01;0700 UTC;;920,7;921,1;920,7;,1;20,7;;20,7;20,6;;;;;;267;1,2;0;
2026/01/01;0800 UTC;;920,8;920,8;920,4;0;20,8;;20,8;20,6;;;;;;263;1,2;,1;
2026/01/01;0900 UTC;;920,9;921;920,8;6,9;20,8;;20,9;20,6;;;;;;356;3,5;1,5;
2026/01/01;1000 UTC;;920,4;920,9;920,2;134,7;21,1;;21,2;20,6;;;;;;356;7,5;2,4;
2026/01/01;1100 UTC;;920,4;920,5;919,9;740;22,4;22,3;22,4;21,1;;;;;100;331;7,2;2,8;
2026/01/01;1200 UTC;;920,7;920,7;920;793,9;22,3;21,4;23,2;22,3;22,4;21,2;100;92;94;331;7;4,1;
2026/01/01;1300 UTC;;920,5;921;920,5;931,2;23,5;21,9;23,9;22,2;22,7;21,4;96;89;91;336;7;3,7;
2026/01/01;1400 UTC;;920;920,5;920;2241,9;25,1;22,5;25,2;23,5;23;21,6;92;83;86;316;10,9;5,9;
2026/01/01;1500 UTC;;919,5;920,1;919,5;1778,7;25,5;22,5;25,5;24,5;22,5;21,4;86;80;83;308;10,9;4,9;
2026/01/01;1600 UTC;;919,4;919,6;919,2;2533;25,8;22;26,4;25,4;22,9;21,4;84;78;80;322;11,3;5,6;
2026/01/01;1700 UTC;;918,3;919,4;918,2;3456,9;27,8;22,8;27,9;25,7;23,9;21,3;84;72;74;329;13,4;6,2;
2026/01/01;1800 UTC;;918,2;918,6;918,1;808,5;20,8;20,4;27,8;20,5;22,5;19,4;97;72;97;347;13,5;3;
2026/01/01;1900 UTC;;917,4;918,2;917,2;1875,4;25,4;22;26,6;20,8;23,4;20,4;98;78;82;302;5,6;2,4;
2026/01/01;2000 UTC;;917,2;917,4;917,1;1504,4;25,3;21,6;26,9;25,2;23,5;21;87;74;80;315;6,7;2,2;
2026/01/01;2100 UTC;;917,3;917,5;917,2;959;25,6;22,2;26;25,2;22,7;21,6;84;79;82;290;5,4;2,6;
2026/01/01;2200 UTC;;917,4;917,5;917,2;179,2;24;22,2;25,5;24;22,3;21,9;90;81;90;294;4;1,4;
2026/01/01;2300 UTC;;917,7;917,9;917,4;10,8;22,7;22,1;24;22,5;22,4;21,6;97;90;97;107;3;1;
2026/01/02;0000 UTC;;918;918,1;917,5;0;22,4;;22,9;22;22,6;21,8;100;97;;312;3;1,7;
2026/01/02;0100 UTC;;918,7;918,7;918;0;22,3;21,8;22,6;22,3;22,5;21,8;100;97;97;13;2,8;1,1;
2026/01/02;0200 UTC;;918,8;918,9;918,5;0;21,8;21,4;22,3;21,7;21,9;21,3;98;97;98;334;2,6;1,2;
2026/01/02;0300 UTC;;918,5;918,8;918,5;0;21,7;21,5;22;21,4;21,8;20,9;100;97;99;288;3,1;1,8;
2026/01/02;0400 UTC;;917,9;918,5;917,9;0;20,3;;21,8;20,3;;;100;98;;231;3,1;1,2;
2026/01/02;0500 UTC;;917,6;917,9;917,5;0;20,1;;20,9;20,1;;;;;;95;2,4;,7;
2026/01/02;0600 UTC;;917,3;917,6;917,1;0;19,4;;20,7;19,4;;;;;;325;2,6;1,9;
2026/01/02;0700 UTC;;917,4;917,5;917,2;0;19,5;;19,7;19,1;;;;;;261;2,6;0;
2026/01/02;0800 UTC;;917,3;917,5;917;0;19,3;;19,8;18,8;;;;;;347;2;1,6;
2026/01/02;0900 UTC;;918;918,1;917,3;25,2;19,1;;19,4;18,8;;;;;;313;2,2;1,1;
2026/01/02;1000 UTC;;918,6;918,6;918;365,4;20,8;;20,9;19,1;;;;;;250;2,2;,6;
2026/01/02;1100 UTC;;918,6;918,6;918,5;655,5;22,3;;22,4;20,8;;;;;;331;3,2;1,9;
2026/01/02;1200 UTC;;918,9;918,9;918,6;1957,4;24,4;22,2;24,5;22,2;23;21,1;100;83;87;245;4,5;2,6;
2026/01/02;1300 UTC;;918,5;918,9;918,4;2585,3;27;22,1;27;24;22,5;20;87;70;74;260;4,5;1,4;
2026/01/02;1400 UTC;;918,2;918,5;918,2;2289,4;26,7;20,9;28,4;25,9;22,2;19,9;75;62;71;348;5,6;2,5;
2026/01/02;1500 UTC;;917,6;918,2;917,6;3459,7;28,9;22,6;29,6;26;22,7;19,7;75;58;69;355;5,4;3,1;
2026/01/02;1600 UTC;;917,2;917,6;917;1301,9;23,8;20,7;29,1;23,5;21,7;19,5;85;61;83;342;11,4;4,5;
2026/01/02;1700 UTC;;916,3;917,2;916,3;3046,2;27,5;21;28;23,8;22,3;19,2;85;65;67;351;6,8;3,1;
2026/01/02;1800 UTC;;915,3;916,3;915,3;3391,7;30,6;19,9;30,6;27,3;22,5;19,8;70;52;53;348;5,2;2,3;
2026/01/02;1900 UTC;;914,6;915,4;914,6;2987,6;29,2;17,2;31,2;29,2;20,8;16,9;58;44;48;256;5,1;3,6;
2026/01/02;2000 UTC;;914,7;914,7;914,4;1980;28,4;18,2;29,8;27,9;19,6;15,3;56;45;54;242;5,9;3,5;
2026/01/02;2100 UTC;;914,6;914,7;914,4;1254,5;26,5;19,9;28,8;26,5;19,9;16,8;67;49;67;224;6;3,2;
2026/01/02;2200 UTC;;915,3;915,3;914,6;381,5;25,9;18;26,8;25,8;19,8;17,8;68;58;62;191;4,3;1,6;
2026/01/02;2300 UTC;;916,8;916,8;915,3;14,1;24,6;17,6;25,9;22,9;19,5;17,6;79;61;65;198;9,8;5,3;
2026/01/03;0000 UTC;;917,7;917,7;916,8;0;22,5;17,7;24,6;22,1;17,8;17,2;76;65;74;211;9,8;4,3;
2026/01/03;0100 UTC;;918,2;918,3;917,7;0;20,4;18,9;22,6;20,4;19,5;17,6;91;73;91;29;6,7;1,4;
2026/01/03;0200 UTC;;918,6;918,7;918,1;0;19,9;19,2;20,4;19,7;19,3;18,8;96;91;96;158;3,4;0;
2026/01/03;0300 UTC;;918,5;918,8;918,4;0;18,9;;20,2;18,6;19,5;18;100;95;;313;2,4;1,5;
2026/01/03;0400 UTC;;918,1;918,6;918,1;0;18,2;;18,9;18,2;;;;;;292;2,7;2,1;
2026/01/03;0500 UTC;;918;918,1;918;0;17,7;;18,5;17,6;;;;;;269;2,9;1,4;
2026/01/03;0600 UTC;;917,7;918;917,7;0;17,6;;17,9;16,8;;;;;;301;2,1;,9;
2026/01/03;0700 UTC;;917,8;917,9;917,7;0;17,4;;17,9;17,2;;;;;;15;2,8;0;
2026/01/03;0800 UTC;;918;918;917,8;0;16,3;;17,4;16,2;;;;;;228;2,2;0;
2026/01/03;0900 UTC;;917,9;918;917,8;34,2;15,3;;16,9;15,2;;;;;;33;2,9;2,3;
2026/01/03;1000 UTC;;918,6;918,6;917,9;502,7;19,7;;19,7;15,3;;;;;;107;2,9;,2;
2026/01/03;1100 UTC;;918,7;918,8;918,6;1369;22,1;19,6;22,1;19,4;20,4;18,8;100;85;86;343;5,4;3,2;
2026/01/03;1200 UTC;;918,8;918,8;918,7;2220,1;24,3;19,7;24,5;22,1;20,5;19,3;86;74;76;353;6,5;4,2;
2026/01/03;1300 UTC;;918,5;918,9;918,5;2928,9;26,7;20,7;26,8;23,9;20,9;18,8;78;68;69;341;7,7;4;
2026/01/03;1400 UTC;;918,4;918,6;918,4;3491,8;27,9;18,8;28,2;26,4;20,9;18,1;71;55;58;293;9;4,5;
2026/01/03;1500 UTC;;918,2;918,5;918,2;3919,6;29,6;19,3;30,5;27,8;21;17,7;62;49;54;314;7,6;3,2;
2026/01/03;1600 UTC;;917,9;918,2;917,9;3652,2;29,2;16,3;30;28,4;21,4;15,2;62;43;46;251;10,8;7;
2026/01/03;1700 UTC;;918,2;918,3;917,8;2906,8;29,7;18,7;30,1;28,3;19,7;15,5;58;44;52;262;10,8;5;
2026/01/03;1800 UTC;;918,6;918,6;918;2463,1;23,3;16,3;29,7;23,3;19,4;16,3;65;48;65;267;19,6;9;
2026/01/03;1900 UTC;;917,7;919,2;917,7;2280,5;27,8;21,4;27,8;21,6;22,7;16,5;89;65;69;326;19,6;1,2;
2026/01/03;2000 UTC;;917,8;918;917,6;1150,5;25,8;18,5;27,7;25,2;22,1;18;74;63;64;281;9,2;5;
2026/01/03;2100 UTC;;918;918;917,7;745,2;24,7;19,5;26,1;24,6;19,6;17,9;74;62;73;260;9,4;2,8;
2026/01/03;2200 UTC;;918,6;918,6;918;437,6;24,1;18,7;25,6;24,1;19,7;18,2;74;66;72;271;5,5;2,3;
2026/01/03;2300 UTC;;919;919;918,5;10,6;22,4;18,2;24,1;21,9;18,8;18,2;82;72;77;274;3,7;1,7;
2026/01/04;0000 UTC;;919,3;919,3;918,9;0;21,4;18,1;22,8;20,8;18,3;17,7;85;74;82;262;4,1;1,4;
2026/01/04;0100 UTC;;920,1;920,1;919,3;0;18,9;17,7;21,4;18,7;18,5;17,5;94;81;93;241;3,3;1,9;
2026/01/04;0200 UTC;;920,6;920,7;920,1;0;18,4;17,3;19,8;18,3;18,2;16,7;94;89;93;246;2,7;2,1;
