REGIAO:;S
UF:;SC
ESTACAO:;CHAPECO
CODIGO (WMO):;A895
LATITUDE:;-27,0853111
LONGITUDE:;-52,6357111
ALTITUDE:;679
DATA DE FUNDACAO:;19/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;2,6;933,5;933,7;932,8;1,3;;;;;;;;;;287;12,2;4,1;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;13,2;935,1;935,3;934,7;;;;;;;;;;;239;7,4;1,1;
2026/01/01;0400 UTC;1,8;933,5;935,1;933,5;;;;;;;;;;;339;4,5;2,9;
2026/01/01;0500 UTC;5,2;932,4;933,5;932,4;;;;;;;;;;;65;6,2;2,4;
2026/01/01;0600 UTC;,2;932,1;932,4;932,1;;;;;;;;;;;11;6,7;2,8;
2026/01/01;0700 UTC;0;931,9;932,3;931,8;,1;;;;;;;;;;32;5,1;3,4;
2026/01/01;0800 UTC;0;932,2;932,2;931,8;,6;;;;;;;;;;6;5,1;3,1;
2026/01/01;0900 UTC;0;932,1;932,4;931,9;6,3;;;;;;;;;;348;6,1;2,6;
2026/01/01;1000 UTC;1,4;932,9;932,9;932,1;106,1;;;;;;;;;;319;4,5;1,7;
2026/01/01;1100 UTC;10,2;933;933,1;932,7;130,2;;;;;;;;;;352;3,9;2,3;
2026/01/01;1200 UTC;,6;933,1;933,1;932,9;641;;;;;;;;;;303;6,1;3,3;
2026/01/01;1300 UTC;0;932,9;933,3;932,9;1210,3;;;;;;;;;;281;8,3;3,8;
2026/01/01;1400 UTC;0;932,9;933;932,9;880,3;;;;;;;;;;265;7,2;4,9;
2026/01/01;1500 UTC;0;932,9;933;932,8;1604,8;;;;;;;;;;253;8,3;4;
2026/01/01;1600 UTC;0;932,2;932,9;932,2;1576,4;;;;;;;;;;268;6,4;2,3;
2026/01/01;1700 UTC;0;931,4;932,2;931,4;2392,9;;;;;;;;;;278;6,3;2,9;
2026/01/01;1800 UTC;0;930,8;931,5;930,8;2181,3;;;;;;;;;;300;5,7;3,9;
2026/01/01;1900 UTC;0;930,3;930,9;930,3;1175,3;;;;;;;;;;286;5,6;3,7;
2026/01/01;2000 UTC;5,8;929,6;931,9;929,5;429,7;;;;;;;;;;81;14,3;2,2;
2026/01/01;2100 UTC;0;930,1;930,5;929,6;475,6;;;;;;;;;;344;3,8;2,8;
